cellID,abs_X,abs_Y,nucleusArea,cytoplasmArea,total_count
16345,-438.9991425120781,-312.47584541062827,193.03607232000002,1040.4009907200002,828.0
16347,-437.42858168761177,-334.3168581687612,214.73891712000002,472.26344256000004,557.0
16348,-432.6566181061397,-438.8866597294485,276.36545664,1083.3296947200001,961.0
16349,-429.7817879656165,-411.28979369627433,292.24907712000004,1597.3770758400003,1745.0
16351,-412.9161251086008,-358.0686359687231,179.63277696000003,887.3840102400001,1151.0
16352,-410.7388934147994,-310.5911676849964,196.08878016,929.8834272000001,1473.0
16353,-404.5332234871178,-388.65841821449993,209.53977408000003,1365.51437568,1669.0
16354,-406.5914469453375,-334.7000214362274,216.36066816000002,722.7285811200001,933.0
16355,-395.1422418710785,-430.6081916714204,299.4992582400001,1380.68251776,1753.0
16388,-442.32632930513563,-158.92602719033223,214.8820128,866.0627539200001,662.0
16389,-436.4915058236282,-194.09463394342762,278.46419328,1188.3619238400001,1202.0
16391,-439.5160928433271,-238.5423791102513,209.34897984000003,551.10916224,517.0
16392,-426.26883675843425,-271.76357115160897,542.76191424,1922.4904608000004,2579.0
16393,-429.4240764849474,-110.7094214808787,215.16820416000002,716.670864,1229.0
16394,-424.1912056737592,-219.08368794326216,188.55240768000002,704.31693696,987.0
16395,-427.28821656050917,-145.0764968152866,252.08688960000003,947.5795929600001,1256.0
16396,-402.6868339100346,-227.78237024221423,208.29961152000004,857.8109030400001,1156.0
16397,-402.3291364902503,-129.30708913649028,307.94190336,1094.0618707200001,1436.0
16427,-445.01343362831904,24.57703876106194,227.66522688,954.3050899200001,565.0
16428,-441.5685076252716,-93.71166557734203,218.03011776000002,760.2196492800001,918.0
16429,-445.8199632352941,60.272363970588245,177.39094464000001,678.4643174400001,272.0
16430,-438.3365778159927,-19.17726599570079,205.24690368000003,982.5426374400001,1163.0
16431,-436.4829791894856,-65.14693647316538,204.24523392,760.02885504,913.0
16432,-436.14059294871726,81.2736322115385,192.4636896,908.6575680000002,1248.0
16433,-431.5355974842773,46.82734860736747,215.35899840000002,797.71071744,1113.0
16434,-425.749099099099,5.873997106981978,187.6938336,707.0834534400001,888.0
16435,-419.10951195219116,-50.089516932270875,210.35064960000003,813.5943379200002,1004.0
16436,-409.78196664749765,41.7585089131685,249.12957888000005,1253.5658553600001,1739.0
16437,-398.2452834978845,103.08395655853296,535.9887187200001,1820.0339539200004,3545.0
16438,-409.97391327063735,-93.8478014629051,235.6308864,1011.4956633600001,1914.0
16439,-401.39227983539115,-0.7525396460905351,189.02939328000002,996.8999040000001,1215.0
16467,-443.1971352313169,210.2188434163702,1060.38668736,2285.7149952000004,562.0
16471,-443.32939999999974,176.9707833333332,564.13086912,1043.26290432,600.0
16472,-443.5294124423963,111.12217396313372,236.91874752,695.25421056,868.0
16473,-420.8378070567219,143.92092451987475,613.97586432,1743.81165504,2239.0
16474,-429.57668433734926,245.77077590361432,353.01704256000005,1583.5444934400002,2075.0
16475,-428.3465805340222,216.30163652024137,186.024384,769.09158144,1161.0
16476,-429.236339181287,186.6102807017544,191.50971840000003,535.6548288,855.0
16477,-428.9969469835464,160.14261425959774,210.63684096000003,404.00680320000004,547.0
16478,-424.6761097256854,113.52784704904413,224.08783488000003,739.3753785600001,1203.0
16479,-410.2580170454536,297.4425340909094,334.41460416000007,777.0572409600001,1760.0
16480,-409.5873758865247,169.49955082742315,184.45033152000002,319.48495488000003,423.0
16481,-410.1936419172945,269.87144736842026,362.9860416,1512.47363904,2128.0
16482,-397.89663784822284,185.9504274735833,403.43442048,1480.5156038400003,2082.0
16507,-445.150479704797,388.9366420664205,307.84650624,1257.47713728,542.0
16508,-434.78520606347666,318.4182733301742,1332.3161779200002,4735.274544,4222.0
16509,-438.4389762076428,465.6619899062723,289.62565632,1197.1861574400002,1387.0
16510,-436.53803558718835,420.9206903914587,306.27245376,1235.53579968,1405.0
16511,-423.40073170731654,385.52374216027886,229.28697792,1041.4503590400002,1435.0
16512,-415.34929463629726,361.3758706833214,221.75060544000004,1091.15225856,1361.0
16513,-413.6994716618632,436.34995196925945,182.87627904000001,836.68044096,1041.0
16514,-410.83098026315844,469.9941184210527,205.53309504,1192.98868416,1520.0
16515,-399.95421576128547,408.3128615149197,234.96310656000003,1002.5283340800001,1307.0
16544,-442.24572222222275,507.68079166666615,332.79285312,1550.2032000000002,1440.0
16545,-440.1591043397969,550.8998707294551,284.66500608,1291.7247033600001,1083.0
16547,-440.0587966101698,590.1350508474577,185.7858912,660.19576896,590.0
16550,-411.17183517417163,536.1225403568394,201.526416,918.3880742400002,1177.0
16551,-411.1874924012158,584.0890273556224,171.61941888,1093.29869376,1316.0
16553,-414.2014828137488,503.7849720223809,375.00607872,1295.4928896000001,2502.0
16554,-405.7949253731341,561.6541466580138,235.53548928,1192.6070956800002,1541.0
17800,-382.64774572649566,528.5955555555565,191.41432128000002,721.7746099200001,936.0
17803,-365.52100445009455,589.9042403051488,330.0740352,1445.6479564800002,1573.0
17805,-368.2167559808608,563.2519904306224,177.48634176000002,787.5032256000001,1045.0
17806,-354.6532824074074,532.7907685185189,322.15607424000007,1432.2446611200003,2160.0
17809,-332.58079800498774,559.2234039900243,198.99839232000002,590.8420627200001,802.0
17810,-329.03488354620606,497.42652892561944,324.5887008,1553.780592,2662.0
17813,-327.5714417744918,533.6517005545282,167.23115136,419.69962944,541.0
17814,-302.5948283499441,585.406408268733,391.74827328000003,2067.0647961600002,2709.0
17815,-308.91374100719395,549.2631474820143,176.10308352,719.5327776000001,1112.0
