,gene,fdr,counts
243,Aplp2,0.001797830433214652,7
244,Pbx1,0.0005700325740270242,12
245,Dlg3,0.00010179454828740702,6
246,Dbi,0.000578594965600793,11
247,Mapre3,0.00037661510426785033,8
248,Dock3,4.2252759971082106e-05,11
249,Atp2b2,0.0006678162828457978,11
250,Slc4a10,0.001369923787639784,8
251,Map1b,5.8682017305546934e-05,12
252,Pcdh10,0.0016411200459923155,8
253,Pde4d,0.002801575856111601,7
254,Bex2,0.0005861248260670319,11
255,Rnf220,0.005236794308680674,7
256,Cttnbp2,0.0009223279622378133,6
257,Gpsm1,5.355887634018557e-06,11
258,Hspa8,0.0031689117691919354,6
259,Gnb2l1,0.0002276014132355041,6
260,Ppp3ca,8.01574804673399e-05,12
261,Epha4,0.00042540134929856745,6
262,Ftl1,0.001960426251403584,10
263,Atp5d,0.0014310668118909318,7
264,Psd3,0.0005749073788456107,12
265,R3hdm4,0.0002419170621828996,7
266,Sash1,5.858188346915121e-05,12
267,Oaz1,0.002360328951504593,6
268,Rpl27a,0.0035273737503781423,6
269,Pfkp,0.001062289032221691,7
270,Ppp1r9b,0.0012974282028381104,7
271,Rasa1,0.0002205529739994205,10
272,Nsf,0.00015785225951684055,10
273,Cdk5r1,0.0015009009983344725,11
274,Hap1,0.0007001516699308062,8
275,Pcbp3,0.0006363878143188367,11
276,Snn,0.00038320977305954246,10
277,Epas1,6.323729914111622e-05,12
278,Hpcal4,0.00038005647774775486,12
279,Rpl14,0.0019540503805696614,7
280,Tshz1,0.00010567978747464952,12
281,Fgf13,0.00015387571140996532,8
282,Cd81,0.00098913769198265,8
283,Bcl11a,0.0004907516738272485,9
284,Ube2i,0.0014579762928706313,6
285,Vapa,0.00194326085067602,8
286,Clu,0.0008866304214208021,9
287,Csdc2,7.705148009936485e-05,8
288,Atp1a1,4.294754524097608e-05,12
289,App,0.002815886833767314,6
290,Cx3cl1,2.856719111064604e-05,12
291,Sptbn2,0.0006090394355214128,10
292,Selm,0.0011709853563187402,8
293,Fam168b,0.003184662713965313,6
294,Oxr1,0.0015009009983344725,9
295,Slc4a4,8.892897765847238e-05,11
296,Prrc2b,0.00978746069760296,6
297,Nptn,0.0005169613193593679,11
298,Rps24,0.002395221783680675,8
299,Pnmal2,0.000746548987286912,12
300,Bin1,7.651131728819786e-05,11
301,Cpne4,1.2218662563184167e-06,12
302,Ctxn1,6.906936949392189e-07,12
303,Camk2n1,0.00021268698232116014,12
304,Sipa1l1,5.790741560246174e-05,11
305,Gabrb3,6.0063757044507714e-05,11
306,Sepp1,3.086071601959933e-05,12
307,Pacsin2,0.0024825833330425085,7
308,Bai2,0.00015079774954223854,8
309,Syn1,0.0002006556467292268,12
310,Pgam1,0.0029696401042700322,8
311,Cadps,0.0028674948219623037,9
312,Fam131b,1.5246744530754673e-05,12
313,Mt1,1.5348981568628528e-05,11
314,Atp1b2,0.00018127107583651328,11
315,Rbfox1,8.080995847231582e-06,11
316,Pgrmc1,0.002598383770925446,7
317,Vtn,9.962537662169302e-05,9
318,Atp5a1,0.00044397780181666457,9
319,Btg1,0.00018127107583651328,7
320,Gja1,5.790741560246174e-05,12
321,Atp5c1,0.002260459238779816,7
322,Fut9,0.0024825833330425085,7
323,Nsg2,1.3732699038638987e-05,12
324,Tpm1,0.0009732659831899387,7
325,Apoe,5.40014568458591e-07,12
326,Scg2,0.0008184375476715876,9
327,Syne1,0.001116661993158442,12
328,Gm12070,0.003738576789232975,8
329,Arc,7.781564686862167e-05,8
330,Elmo2,0.00571443588573454,7
331,Myo6,0.0009273760627016502,6
332,Nrep,2.2294832404513333e-05,11
333,Rbm3,0.0013557337394207725,6
334,Irf2bpl,0.0033207677835638025,7
335,Ppfia2,0.003317920576397286,10
336,Zfand5,0.0005125674664382039,9
337,Usp22,0.001923117546882738,6
338,R3hdm2,0.0004168389988586451,7
339,Ccni,0.0005541498265476787,10
340,Ppp1cc,0.0011716355911753668,10
341,Srsf11,0.002343543770186641,6
342,Bzrap1,3.5454768056440635e-05,8
343,Dync1i1,0.00013445770349233764,12
344,Cplx2,0.003417954390287764,9
345,Grina,0.0007772699212045849,6
346,Stxbp6,0.00016528661374973368,11
347,Arf1,0.0013459703211156227,10
348,Cox6b1,0.004193704827160542,7
349,Timm8b,0.00277988492243286,6
350,Mapt,0.004689110309958,8
351,Slc17a7,1.2218662563184167e-06,11
352,Rps8,0.00300114040841183,7
353,Cbx6,0.0049797658364840605,10
354,B2m,0.0003379494027682299,12
355,Zfp385b,0.00040566750767502736,6
356,Ncam1,0.0007889142582891139,9
357,Camkk2,0.0005592062083075825,10
358,C1qtnf4,8.449883876496271e-05,12
359,Map7d1,0.0006577677921549722,12
360,Marcks,0.0008329140659196242,12
361,Ptprn,0.004527324031866746,9
362,Trank1,0.0015243710539419402,6
363,Timp3,1.5553017716840844e-05,11
364,Anks1b,0.0004180733150441337,12
365,Arl6ip1,0.00019245262757702306,11
366,Vamp2,0.0009262312338910653,11
367,Dpp6,0.002890604852083875,6
368,Aldh2,0.0002205529739994205,7
369,Ywhag,0.0015006806848191034,8
370,Myo5a,7.820744647606215e-07,12
371,Dynll1,1.4152242433501206e-05,12
372,Hivep2,0.0004819563308386868,10
373,Clta,0.001062289032221691,9
374,Slc8a1,0.00013445770349233764,11
375,Pink1,0.007292801383046002,6
376,Rpl32,0.001484209466007234,7
377,Egr1,8.771579015208343e-06,12
378,Etl4,0.0001537097803643498,10
379,Fscn1,4.644844558394398e-05,11
380,Vdac2,0.0005343345290728522,7
381,1110004F10Rik,0.002507324775720064,7
382,Sec14l1,0.004841916443516922,6
383,Nrxn3,4.156803355218412e-05,12
384,Gabrg2,0.002849854346030377,6
385,Eif4a2,0.006546924339198779,7
386,Pak1,3.932473961729535e-05,7
387,Nrgn,6.698123589714953e-08,12
388,Tiam1,5.7428899478437974e-05,9
389,Clip3,0.00039103741868343255,8
390,Azin1,0.003546171906021403,8
391,Phyhipl,0.0031182251005986237,6
392,Synj1,0.0005541498265476787,6
393,Serpini1,0.0007785270445532327,10
394,Sncb,0.00041519859911469815,12
395,H2afz,0.005294599392807372,7
396,Gabarap,0.0005909790115683875,6
397,Camk2a,2.6831650061356694e-05,12
398,Ldha,0.002239684606247344,7
399,Tubb3,0.001630023211885449,10
400,Sp9,0.0002250261347383125,12
401,Snap91,0.00011729272697460916,11
402,Fgf12,0.001389209503328024,9
403,Ppp2r2c,0.001389209503328024,7
404,Hnrnpa0,0.001197817410840268,10
405,Grm5,0.000540116663051271,6
406,Pisd-ps1,0.0007308260200330921,9
407,Stox2,0.0027462808299124467,6
408,Syn2,0.0006831822645367809,11
409,Nrip3,0.002047274332121388,10
410,Fam184a,0.0011189955251747563,6
411,Camta1,0.0013517597213575227,11
412,Stmn3,0.0003384777756092497,8
413,Epb4.1l3,0.00022991528569753241,9
414,Smarcd1,2.30185797730493e-05,8
415,Hmgn1,0.0014310668118909318,7
416,Camk2b,1.5707140432340846e-05,12
417,Kif5b,1.1295882277516424e-05,12
418,Celf5,0.00018037811289038966,11
419,Scn3a,0.0001224565525304339,8
420,Mat2a,0.002105358890282477,6
421,Snrk,0.0002419170621828996,9
422,Mkl2,0.000174326151165465,7
423,Ppp3cb,0.0003613613571563879,9
424,Meg3,0.0007847798777277326,7
425,Eif4h,0.0016945456099257256,11
426,Dctn1,0.0011974445907050196,6
427,Srsf7,0.00046382391383553153,7
428,Kctd12,8.449883876496271e-05,12
429,Uqcrfs1,0.00283209922684768,6
430,Ncdn,1.7548098058178116e-05,10
431,Dcx,0.0001865735829481481,11
432,Rtn3,0.001697782665431691,6
433,Tanc2,0.00010582857507669727,10
434,Glul,5.570732743683294e-07,12
435,Igfbp5,1.6928880539939674e-06,10
436,Plcb1,6.5217816735373576e-06,12
437,Pdxp,0.0027307270092184572,8
438,Celf1,0.0005541498265476787,11
439,Lrp8,0.0009258310051766444,6
440,Pclo,0.0008897096775834078,7
441,Rpl41,0.003447780383850763,10
442,Unc80,0.00022679566379007042,9
443,Atp5f1,0.00011431971542504558,7
444,Pcp4l1,0.0002360224081641001,11
445,Sorbs1,1.1304120400190042e-05,10
446,Synpr,0.00017535951573521472,12
447,Baiap2,3.294058236485722e-05,11
448,Srsf3,0.003958700701747103,8
449,Gnai1,9.320316499842766e-05,10
450,Actr3,0.0012134140867222074,7
451,Snhg11,0.0007257206997818435,9
452,Olfm1,5.856703298614441e-05,11
453,Cxx1a,0.001434145706267749,7
454,Icam5,4.279301742027218e-05,11
455,Itm2b,0.0005541498265476787,8
456,Ube2v1,0.005276680943704096,6
457,Nacc2,0.002970384407635502,8
458,Gria2,0.0004594745991979722,11
459,Hspa2,0.0005541498265476787,9
460,Arhgef9,0.001366747761542364,8
461,Anp32a,0.0008036438999245867,8
462,Ppm1e,5.537915091704291e-05,11
463,Cmip,0.0037234076015579508,6
464,Pafah1b2,0.00024163421285512682,6
465,Calb2,0.00033121189635958187,10
466,Cdkn1b,0.0012631549731343366,6
467,Atp6v1d,0.003414859412867221,10
468,Fam163b,9.049300485976891e-06,10
469,Serinc3,0.002551173527915793,6
470,Pik3r1,1.5872275078533922e-05,11
471,Fasn,0.001388188115458351,9
472,Foxg1,0.00044891329313176973,6
473,Nfib,0.0006746454995732102,9
474,Negr1,0.003321925753020795,9
475,Ccnd1,6.95242524559676e-05,6
476,Lin7a,0.0009099170815410539,6
477,Scd1,1.3873693591787016e-05,10
478,Cntn1,0.0021297150441206615,9
479,Aqp4,8.045222554340628e-06,10
480,Npy,0.0009679415522464713,6
481,Aes,0.003772010166373242,7
482,Rab3b,1.464153574343543e-06,9
483,Syt7,7.431891515238279e-06,12
484,Kcna2,0.00010436393793979975,9
485,Ndufa3,0.005892025688175821,6
486,Tma7,0.003065540010340357,9
487,Arx,0.00043088385652690123,6
488,Trim32,0.0012665748294989321,6
489,Tmem47,0.0006271536033669918,9
490,Dnajc6,0.0006562257769332343,11
491,Robo2,0.00017328689255133623,6
492,Nr2f2,6.813480843986141e-06,9
493,Ola1,0.0007772699212045849,6
494,Jup,0.0011745393897059663,7
495,Ptn,5.790741560246174e-05,9
496,Lpgat1,0.002241999400683122,8
497,Wasf1,0.00020934545233466207,7
498,Atp6v0e2,0.004376784787994979,8
499,Plekha1,0.0010535854838195733,6
500,Sep15,0.00031584518932790327,11
501,Dpp10,0.0003359599493849268,8
502,Mcf2l,1.5579896292792732e-05,11
503,Grik5,0.00046879771611448967,6
504,Efhd2,0.0020838581691199867,8
505,Tmbim6,0.0014702537071656016,11
506,Rps20,0.0050222910818679715,7
507,Pygb,0.00018127107583651328,6
508,Mest,0.00010685439177901856,7
509,Dst,0.00011494912201275117,9
510,Ik,0.0017799763237215552,6
511,Tceb2,0.005172033080221034,6
512,Desi1,0.0005691248005055413,9
513,Rab3a,0.0026998306008080768,11
514,Scg5,0.0007939413508816466,6
515,Ppfia1,4.747603501553852e-05,7
516,Prex1,0.0011567717813362596,8
517,Gnb2,0.0007795456868846157,9
518,Car2,0.0005125674664382039,10
519,Scp2,0.0054688326919634395,7
520,Ptprd,0.00027417141726377207,6
521,Pacsin1,0.0002419170621828996,9
522,Pla2g7,8.287006599176495e-05,10
523,Smim13,0.0020454362198243053,6
524,Eid1,0.0013816507659760722,7
525,Gpt2,3.374368722067633e-05,9
526,Dhx15,0.0019770756700710325,7
527,Fndc5,0.0011974445907050196,9
528,Isca1,0.0012138588425862904,7
529,Nrsn1,1.5707140432340846e-05,11
530,Ddx6,0.0016702638009715304,9
531,Tmod2,0.000903188823560159,10
532,Htra1,7.97925038471432e-05,9
533,Rpl3,0.0002472481505397539,9
534,Lbh,0.0015362984100217307,7
535,Camk2g,0.00023173399917270903,9
536,Sox11,0.0001377866652615417,6
537,6430548M08Rik,0.0016264622297743473,10
538,Wipf3,0.0002096369951889524,7
539,Mt2,5.1728701898185525e-06,10
540,Apod,1.1295882277516424e-05,12
541,Tulp4,0.0008060238848343834,6
542,Gabrb2,5.570732743683294e-07,11
543,Gnb5,2.4700550516809463e-06,10
544,Pitpnm3,0.0006051880834009594,8
545,Snph,0.000903188823560159,9
546,Plp1,6.0063757044507714e-05,11
547,Rbfox2,0.0005834447938784822,6
548,Mir684-1,0.002529988901267045,6
549,Sall1,0.00044891329313176973,6
550,Trak2,3.448584212663078e-05,11
551,Ahcyl1,0.0002497866754666197,10
552,Ypel3,0.0007612739434920501,8
553,Hnrnpl,0.0020393006329519512,8
554,Lamp1,0.00034992605091108885,11
555,Snrnp70,0.00036213529204677763,7
556,Gatm,0.0004131205302999672,8
557,Add3,0.0020454362198243053,6
558,Glrb,0.0014830155993958713,7
559,Got2,0.002350670036409816,8
560,Hmgcs1,0.0033629434507283012,6
561,Spock3,0.001042156947162245,6
562,Zc3h15,0.0019770756700710325,6
563,Sema3c,0.000738502746974062,6
564,Rasgrf1,0.0011781152530423188,8
565,Rapgef2,0.0003379494027682299,8
566,Rtn4,0.0017198817863445625,6
567,Chst2,0.0018478853025932155,7
568,Diras2,5.712925018632532e-05,6
569,Dbn1,0.00033545185450138475,6
570,Mgll,0.003721534649921642,7
571,Fyn,0.0011736865943263212,6
572,Adk,0.0021866064281194086,6
573,Lrrc40,0.00017932241031751083,9
574,Aplp1,3.039920521157024e-05,12
575,Tmem229a,0.00032845375858862966,6
576,Kank3,0.0001013682133262746,9
577,Tubb5,0.00043088385652690123,6
578,6330403K07Rik,0.0015174128395624787,10
579,Mfap3l,0.0006907270721802231,10
580,Fkbp1a,0.0004600151673297542,11
581,Dld,0.0008427010753909463,6
582,Crebrf,0.005599256119003555,6
583,Igfbp2,9.933164058877464e-05,10
584,Vim,0.00031547252657712003,12
585,S100a5,1.1295882277516424e-05,12
586,Mmd2,0.00012696815326866594,10
587,Brk1,0.0009681711969741967,7
588,Frzb,2.2294832404513333e-05,8
589,Gng13,1.4327129375514115e-05,11
590,Pmepa1,7.999608260467305e-05,9
591,Igf1,0.00035515685955742364,7
592,Ube2k,0.0015494671386559126,6
593,Omp,1.0971940831170089e-05,8
594,Lpar1,1.3732699038638987e-05,8
595,Beta-s,0.001819203973418079,8
596,Plcxd2,0.0016941807900946015,8
597,Shisa9,0.00019204060792326176,8
598,Id3,0.00013679581397053477,9
599,Rgcc,5.858188346915121e-05,6
600,Cldn5,0.00019921116684175176,7
601,Atf5,8.950856734194603e-05,9
602,Crmp1,0.0012901826688161676,11
603,Ncor2,0.0001416776806013339,6
604,Hmgcs2,2.9002478094970837e-05,7
605,Ddx17,0.0028389803805280987,7
606,Zmynd11,0.0027710409343827693,8
607,Laptm4a,0.0016991650485438119,10
608,Cox6c,0.0053435676500114965,6
609,Nucks1,0.004116122382696957,7
610,Pfn2,0.0018105110306574558,7
611,E030024N20Rik,0.00011873700955645041,9
612,Cnbp,0.006129819233625457,6
613,Reln,0.00014516466442771362,8
614,Ccdc88a,0.005472747003240823,9
615,Ptms,0.00129037680430091,7
616,Ndrg2,0.0011569604391386185,7
617,Chd3,0.002583091149079616,8
618,Atp5e,0.005767914756427348,6
619,Slc9a3r1,0.0007802704198292407,6
620,Tmsb10,0.0001731730432608542,8
621,Sptbn1,0.004616083602826625,7
622,Cycs,0.002797579210114256,8
623,Fam107a,0.0031978638127924826,7
624,Atp5j2,0.002950150718956702,7
625,Abat,0.00015700250762836333,8
626,Slc1a2,0.0001871690490599145,11
627,Ywhaz,0.0036988368279882397,7
628,Celf2,0.00014773339348358558,8
629,Ryr2,0.004716630732030316,7
630,Trnp1,0.0001377866652615417,9
631,Canx,0.0007542154500861523,9
632,Ttyh1,0.0009517263409004084,10
633,Sumo2,0.005845362712742164,7
634,Faim2,0.00011824621795626365,7
635,Psmb4,0.004419962388517953,6
636,Atp6v1a,0.007114950262238709,6
637,Macf1,0.0004615764276130501,9
638,Sparc,0.00015365087076463392,11
639,6330403M23Rik,0.005799845916487436,7
640,Adipor1,3.247093080010785e-05,6
641,Scd2,0.00021268698232116014,8
642,Glud1,0.0010388824848106073,8
643,Taok1,0.0030126339247439266,6
644,Aldoc,6.323729914111622e-05,11
645,Prdx1,0.00033435279893081213,11
646,Rpl37a,0.004138450718417922,6
647,Gls,0.0031182251005986237,8
648,Rpl31-ps12,0.006184482163254759,6
649,Mdh1,0.004425263456038826,7
650,Gpm6a,0.0013887425187157974,10
651,Celf4,0.0003121392485138167,8
652,Kif1a,0.003256274527450119,6
653,Elmo1,2.2960042285429143e-05,7
654,Rnf14,0.0016230305709493962,6
655,Gad1,4.470159278206727e-05,10
656,Dlx1,0.001482629268961405,9
657,Rps29,0.002350670036409816,7
658,Rc3h2,0.0010869285288452114,7
659,Nbea,0.0010537302456405976,6
660,Ndufb9,0.0052813123087407,6
661,Gapdh,0.00019204060792326176,8
662,S100a16,0.0019947353263292077,7
663,Gnao1,0.0065917085863378645,6
664,Etnk1,0.002177958203413289,9
665,Bsg,0.0003117671585280481,8
666,Klc1,0.0004986796699743229,7
667,Mll1,0.0030015981475748736,7
668,Gm20594,2.9047362769326563e-05,6
669,AI848285,0.0006745883278511457,9
670,Adarb1,0.00036738751845593216,10
671,Matr3,0.005085059868401887,6
672,Dner,0.00029724304342142616,9
673,Atp2a2,0.0018979507565922984,9
674,Sdhb,0.0008036438999245867,6
675,2010107E04Rik,0.009302048294731032,6
676,Gnai2,0.00041623105009111814,8
677,Epn1,0.005066904892900096,6
678,Tspyl4,0.015601152136922406,8
679,Chgb,0.0029864551195780114,7
680,Atp2b1,0.0010822775148704956,9
681,Rab6a,0.003439425474274805,6
682,Cnn3,0.000191589479581302,8
683,Mapre2,0.004841195649840798,6
684,Fads1,0.0038272719835701664,8
685,Ywhah,0.003121086860489509,10
686,Slc38a1,0.0026681290404336885,7
687,Ndufa4,0.003831413114204316,6
688,Gng3,0.00044334424674271434,6
689,Pea15a,0.00031504247700798777,8
690,Atxn7l3b,0.004069506005960204,9
691,Stmn1,0.00013404317382398063,7
