 Tal1 Dmbx1 Emx2 Uncx Paxip1 Ctnnb1 Prdm1 Rybp Nfkb2 Tfdp2 Grhl1 Sp8 Irf2 Zfp287 Esr2 Zfp128 Vav1 Sp1 Ppargc1b Sp7 Pin1 Nfya Vsx1 Klf1 Vsx2 Mybl1 Mybl2 Rnf2 Blzf1 Topors Nr3c2 Nfia Taf6l Nr4a3 Hoxd12 Hoxd13 Ttf1 Sox9 Nr2e1 Polr2b Hltf Sox6 Pbx3 Sox5 Foxa1 Cdc5l Cebpg Ciita Rest Ets1 Mafk Tbx15 Scml2 Myb Clock Rbpj Foxc1 Zfp422 Pias3 Runx1 Ppara Relb Vdr Cdc6 Arid3a Lhx1 Hoxb8 Hoxb9 Hic1 Lhx6 Six4 Hoxb3 Zfp263 Cbfa2t3 Ehf Nhlh1 Gata6 Gata4 Gata5 Lpp Nfe2l3 Nfe2l2 Tmf1 Gli1 Tbx2 En1 En2 Hnf1a Tbx4 Zfp423 Elf1 Foxb1 Elf2 Elf4 Mxd1 Wt1 Rfx4 Bhlhe41 Sox13 Taf4b Rfx2 Sox17 Ahr Sall4 Med14 Smyd1 Sall3 Arid2 Zfp64 Pgr Trps1 Hoxa1 Bach2 Bach1 Notch3 Pknox1 Pknox2 Sin3a Etv3 Smad9 Smad5 Alx1 Egf Mn1 Nkx3-1 Rbak Gabpa Nfkbiz Zscan21 Trp73 E2f7 Esrrg Rbpjl Nfatc4 Nr5a1 Neurod4 Esrrb Tbx21 Rorc Mitf Pax7 Pax6 Pax1 Pax3 Pax2 Pax9 Zkscan17 Gfi1 Mzf1 Runx3 Smarca4 Foxd4 Foxd3 Creb1 Srebf1 Sox11 Gmeb2 Irx4 Pou3f2 Ikzf1 Tcf23 Mtf2 Npas3 Nfatc3 Nfil3 Phox2b Plag1 E2f2 Ddx3x Taf2 Pou4f1 Trim33 Tsc2 Lmx1a Nr2f2 Eomes Wwtr1 Foxo1 Ar Zfp354a Elk4 Foxo4 Sall1 Mycn Maml3 Foxp3 Atm Uaca Tbr1 Pml Lhx3 Atr Zbtb33 Ptch1 Lhx5 Barhl1 Irx5 Tfap2b Tfap2e Rxra Rxrb Gli2 Gli3 Zic4 Zic5 Zic2 Zic3 Satb1 Onecut2 Foxn4 Mnat1 Foxn1 Dlx2 Vezf1 sncg sst th vip xdh slc17a8 slc5a7 slc6a3 slc6a8 smad3 opalin pdgfra palvb reln slc17a7 lyve mfge8 mog myl14 ndnf ctss foxj1 gad1 htr3a igtp acta2 alldh1l1 camk2 chat cldn5 ngef tiam1 slc1a2 gja1 fbll1
372x318 16 14 22 5 17 46 19 52 22 22 17 21 11 11 7 15 14 21 2 18 29 22 12 21 3 13 9 24 16 20 28 16 7 20 19 8 19 20 5 13 6 8 35 18 11 10 26 6 14 9 14 17 9 21 20 22 17 6 14 15 20 26 21 21 15 21 10 31 10 22 15 9 25 13 5 8 15 4 7 18 16 32 16 16 1 22 19 5 9 22 6 16 15 9 20 14 25 13 19 17 24 2 13 7 29 8 21 14 13 14 14 17 5 16 24 23 4 25 37 8 20 38 25 21 10 17 6 21 15 19 10 20 30 30 2 24 13 22 4 8 15 15 13 28 14 21 7 8 16 24 42 7 10 26 33 20 14 20 24 10 10 14 11 16 18 21 12 14 6 28 11 13 51 13 18 27 22 29 45 17 6 21 23 13 20 25 31 11 33 8 18 7 7 18 40 23 6 28 12 10 27 16 38 12 14 22 12 15 28 20 12 13 17 19 60 6 70 25 103 20 69 29 31 74 24 97 76 32 239 16 41 63 75 72 23 76 30 59 57 35 49 125 36 32 34 44 55 16 62
551x327 6 7 8 4 10 18 24 15 8 17 3 16 17 4 2 9 2 8 7 7 5 10 16 33 9 19 16 1 16 10 14 10 8 22 11 15 8 12 5 25 13 0 27 20 15 3 15 12 10 23 8 14 5 10 11 19 10 11 5 7 4 24 12 14 8 3 14 9 11 7 5 29 23 6 3 17 15 12 10 19 2 7 2 4 2 7 19 11 22 3 17 8 5 3 4 14 20 15 8 3 20 5 16 5 12 11 7 11 19 6 36 5 2 13 13 7 10 10 16 15 14 9 15 8 3 7 9 3 30 20 9 13 4 11 11 12 11 18 8 12 8 21 14 15 1 4 15 3 1 3 19 12 0 17 11 19 10 14 8 5 8 16 10 8 3 7 12 10 13 18 28 5 22 14 9 15 29 24 11 25 12 1 0 11 6 16 13 14 8 11 1 6 18 8 6 1 15 3 9 12 8 10 3 18 3 15 24 15 6 10 13 22 11 23 32 0 42 5 48 11 33 21 10 29 16 52 35 27 73 14 31 33 45 26 11 44 16 35 33 25 22 41 17 15 18 26 18 5 23
672x370 14 7 14 9 8 8 6 21 9 20 7 13 11 7 12 6 12 14 12 8 12 0 3 9 5 2 2 7 6 0 6 5 3 18 25 4 14 12 4 20 0 7 8 17 7 10 13 3 7 5 7 8 15 15 6 7 34 16 4 8 2 20 22 17 5 14 4 9 20 7 12 17 8 5 1 14 3 9 2 16 6 18 6 6 5 10 14 4 10 13 13 8 10 12 6 12 11 7 17 4 6 5 6 9 2 4 9 8 17 3 5 13 4 15 5 14 9 10 4 6 12 9 12 17 6 6 18 11 8 10 14 4 12 7 17 28 17 19 9 14 9 8 8 8 6 11 3 21 17 16 15 5 8 14 6 2 0 12 17 8 7 43 4 6 4 5 2 8 9 4 14 5 4 5 14 9 28 10 7 21 3 8 9 9 12 10 20 11 8 7 17 11 9 5 20 4 9 7 8 7 5 3 20 8 13 11 10 6 10 5 9 16 4 23 31 2 43 10 47 14 27 19 13 29 14 53 46 25 66 10 22 31 42 17 9 52 11 30 22 14 21 41 16 16 11 14 28 2 21
695x462 6 2 13 4 9 13 5 10 2 11 11 18 4 6 1 8 8 1 14 8 4 4 13 7 2 2 11 7 10 0 5 10 1 22 1 2 7 11 0 10 12 4 1 20 5 10 17 2 5 10 5 1 4 3 3 4 10 4 33 0 19 10 9 14 1 8 3 13 3 3 13 9 10 12 6 7 7 1 5 3 12 5 0 1 0 2 7 3 9 7 6 8 4 11 13 11 6 9 6 2 8 2 4 7 4 10 3 9 13 5 5 7 9 22 6 12 13 9 15 18 6 7 11 4 6 7 5 5 14 7 15 10 3 6 1 1 2 7 8 10 6 1 19 9 5 3 3 2 4 4 16 16 1 18 4 11 3 0 4 0 5 6 3 4 8 12 2 7 8 8 7 1 11 5 6 15 1 0 19 9 10 2 3 8 8 12 8 18 5 0 5 2 18 22 9 6 1 2 2 11 5 7 9 16 10 14 4 4 7 17 9 4 5 8 23 3 27 17 31 7 22 11 8 36 10 38 26 20 71 11 24 23 33 23 7 29 7 28 14 10 20 30 13 11 13 16 10 4 16
353x507 4 7 12 1 16 9 6 5 10 6 5 20 1 5 8 4 3 3 0 13 5 11 6 3 15 2 14 4 0 5 5 2 11 11 4 0 11 2 2 8 6 11 11 3 10 0 5 6 8 7 1 10 3 1 4 5 2 0 6 9 3 9 12 15 2 1 15 5 6 0 9 6 1 7 13 8 9 5 1 7 4 9 8 2 3 1 2 1 2 7 0 11 0 0 12 4 8 6 1 1 9 4 13 0 3 12 2 7 5 4 8 13 5 2 6 11 5 7 1 5 11 17 3 1 8 3 3 7 10 0 6 0 0 8 10 7 6 10 1 8 5 8 4 2 10 0 16 10 6 2 6 3 3 16 5 4 2 3 8 5 18 5 1 12 8 0 6 4 7 6 3 1 5 9 2 14 5 9 4 8 9 11 1 0 15 0 18 4 13 2 2 11 5 10 21 3 0 1 4 5 3 4 12 9 9 13 2 9 9 16 2 2 1 7 5 0 9 9 16 3 9 8 4 11 9 14 7 6 26 8 10 9 18 8 6 20 7 13 10 3 6 19 8 6 9 8 32 11 6
495x715 29 19 37 7 20 81 18 36 28 27 39 28 15 8 2 18 6 16 14 25 29 23 1 18 12 10 16 27 25 29 9 24 10 63 25 17 9 10 21 35 29 29 25 16 18 14 21 13 10 13 21 10 33 12 29 27 26 13 37 2 21 27 27 30 11 26 5 29 21 16 8 17 22 14 12 12 11 19 20 11 28 17 16 4 28 12 28 11 26 33 10 26 21 21 23 20 16 6 20 8 26 22 26 16 36 13 10 29 25 23 3 25 11 24 11 41 14 25 23 12 17 35 21 36 6 21 27 19 51 10 14 47 12 9 10 30 10 8 3 28 13 12 14 27 29 23 24 39 15 30 51 8 21 36 3 11 9 27 18 7 29 10 17 20 10 11 8 15 17 12 15 18 18 19 3 16 36 29 34 38 17 33 18 8 18 36 28 33 19 8 8 21 24 28 28 7 9 14 22 20 17 21 18 24 34 19 14 26 22 32 34 26 11 30 37 1 55 16 72 14 30 15 20 52 13 73 44 27 137 8 27 43 63 38 16 61 23 54 41 28 26 89 38 27 18 33 37 8 40
816x782 24 4 3 5 11 39 17 13 20 6 1 14 8 17 18 5 2 5 2 10 22 16 12 5 13 12 3 17 18 2 7 10 0 20 7 7 3 3 5 8 4 15 15 25 5 18 9 3 9 8 10 8 17 15 14 29 15 5 17 15 14 9 17 20 6 8 5 9 3 5 3 21 1 5 7 11 3 8 11 12 18 14 9 5 2 13 12 0 5 12 5 7 6 4 4 8 9 8 5 5 8 4 12 6 9 10 10 5 2 10 16 0 10 18 10 20 3 6 4 8 9 8 6 0 10 8 9 3 5 4 6 8 1 16 9 20 4 8 19 10 6 11 13 2 7 10 10 20 1 6 34 11 8 9 0 4 2 5 1 3 10 12 1 3 6 5 4 5 5 6 4 15 5 7 5 12 8 9 19 25 13 0 2 12 9 6 19 2 10 7 9 9 5 4 6 3 2 3 5 13 7 5 14 5 8 10 21 4 5 10 23 1 7 22 8 2 28 6 42 5 19 10 12 22 12 29 17 17 70 2 8 19 34 18 3 20 8 26 26 7 15 37 13 10 15 9 19 4 18
699x878 1 15 14 5 4 13 8 8 9 16 12 10 12 7 5 3 8 11 7 5 11 5 3 7 3 8 4 7 4 4 1 5 4 7 17 3 5 0 3 8 3 2 10 13 14 2 6 2 11 9 12 6 5 12 11 19 21 8 10 7 6 3 14 5 7 4 1 2 7 5 1 11 12 0 3 11 3 5 2 13 9 13 2 6 3 16 3 8 8 5 6 6 5 11 16 9 4 7 19 7 12 11 8 4 2 4 13 10 7 4 8 5 2 10 6 12 4 4 8 3 2 9 3 5 10 6 0 6 10 10 2 13 7 2 15 15 6 8 10 2 12 13 3 8 7 2 1 22 5 11 10 12 4 6 0 12 7 6 1 1 0 11 2 4 7 5 3 1 1 1 3 3 7 14 11 3 23 20 6 12 2 4 9 11 6 4 8 3 5 4 10 0 5 5 8 0 7 3 1 9 3 6 4 17 4 21 8 8 9 15 13 6 0 9 10 0 21 10 35 0 9 3 7 10 2 29 15 4 54 2 10 12 32 22 2 19 5 16 20 9 5 23 9 5 4 10 15 2 15
735x924 18 3 4 6 0 3 1 6 0 6 3 5 6 1 0 5 9 7 7 1 0 0 3 4 7 1 7 15 3 1 7 10 3 9 6 4 6 9 3 3 0 1 0 8 3 0 0 6 12 0 3 4 2 3 1 1 7 6 6 7 2 14 11 7 0 5 3 6 6 9 1 1 24 0 3 12 4 2 1 14 5 4 6 3 4 5 6 2 12 2 4 0 1 13 2 1 9 0 10 0 6 0 7 15 9 3 3 2 4 7 1 2 0 27 6 11 2 1 12 4 8 7 3 5 15 0 5 5 4 1 5 33 1 2 6 6 9 12 2 12 2 3 21 9 0 2 6 15 1 3 15 2 3 21 5 12 7 5 5 2 6 4 2 14 9 1 0 8 0 2 1 5 4 10 33 5 22 2 1 13 3 1 1 3 11 7 9 13 1 3 12 6 2 2 2 3 0 2 0 7 5 6 5 12 11 8 9 6 1 6 27 3 1 4 7 1 11 3 44 0 4 2 5 8 2 17 8 8 15 4 6 13 18 7 4 11 8 20 12 5 10 13 13 20 0 5 7 2 18
560x36 0 0 0 4 0 4 4 0 0 0 0 4 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 4 0 0 0 0 6 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 4 0 8 4 0 0 0 0 0 0 0 0 0 0 4 0 4 0 0 0 4 4 0 0 0 0 0 0 0 0 0 4 0 0 7 0 0 0 4 5 0 0 4 0 4 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 4 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 6 0 0 0 0 0 0 0 0 0 4 4 0 0 0 0 0 8 0 0 9 4 8 0 0 0 8 0 0 0 0 0 0 0 0 0 4 48 7 70 24 80 23 41 39 19 78 26 85 57 29 151 16 42 43 54 53 19 59 27 47 59 32 21 67 20 32 22 24 44 15 58
