 Tal1 Dmbx1 Emx2 Uncx Paxip1 Ctnnb1 Prdm1 Rybp Nfkb2 Tfdp2 Grhl1 Sp8 Irf2 Zfp287 Esr2 Zfp128 Vav1 Sp1 Ppargc1b Sp7 Pin1 Nfya Vsx1 Klf1 Vsx2 Mybl1 Mybl2 Rnf2 Blzf1 Topors Nr3c2 Nfia Taf6l Nr4a3 Hoxd12 Hoxd13 Ttf1 Sox9 Nr2e1 Polr2b Hltf Sox6 Pbx3 Sox5 Foxa1 Cdc5l Cebpg Ciita Rest Ets1 Mafk Tbx15 Scml2 Myb Clock Rbpj Foxc1 Zfp422 Pias3 Runx1 Ppara Relb Vdr Cdc6 Arid3a Lhx1 Hoxb8 Hoxb9 Hic1 Lhx6 Six4 Hoxb3 Zfp263 Cbfa2t3 Ehf Nhlh1 Gata6 Gata4 Gata5 Lpp Nfe2l3 Nfe2l2 Tmf1 Gli1 Tbx2 En1 En2 Hnf1a Tbx4 Zfp423 Elf1 Foxb1 Elf2 Elf4 Mxd1 Wt1 Rfx4 Bhlhe41 Sox13 Taf4b Rfx2 Sox17 Ahr Sall4 Med14 Smyd1 Sall3 Arid2 Zfp64 Pgr Trps1 Hoxa1 Bach2 Bach1 Notch3 Pknox1 Pknox2 Sin3a Etv3 Smad9 Smad5 Alx1 Egf Mn1 Nkx3-1 Rbak Gabpa Nfkbiz Zscan21 Trp73 E2f7 Esrrg Rbpjl Nfatc4 Nr5a1 Neurod4 Esrrb Tbx21 Rorc Mitf Pax7 Pax6 Pax1 Pax3 Pax2 Pax9 Zkscan17 Gfi1 Mzf1 Runx3 Smarca4 Foxd4 Foxd3 Creb1 Srebf1 Sox11 Gmeb2 Irx4 Pou3f2 Ikzf1 Tcf23 Mtf2 Npas3 Nfatc3 Nfil3 Phox2b Plag1 E2f2 Ddx3x Taf2 Pou4f1 Trim33 Tsc2 Lmx1a Nr2f2 Eomes Wwtr1 Foxo1 Ar Zfp354a Elk4 Foxo4 Sall1 Mycn Maml3 Foxp3 Atm Uaca Tbr1 Pml Lhx3 Atr Zbtb33 Ptch1 Lhx5 Barhl1 Irx5 Tfap2b Tfap2e Rxra Rxrb Gli2 Gli3 Zic4 Zic5 Zic2 Zic3 Satb1 Onecut2 Foxn4 Mnat1 Foxn1 Dlx2 Vezf1 sncg sst th vip xdh slc17a8 slc5a7 slc6a3 slc6a8 smad3 opalin pdgfra palvb reln slc17a7 lyve mfge8 mog myl14 ndnf ctss foxj1 gad1 htr3a igtp acta2 alldh1l1 camk2 chat cldn5 ngef tiam1 slc1a2 gja1 fbll1
342x436 4 1 5 0 1 22 4 0 5 2 6 10 2 7 4 0 2 15 3 8 0 10 6 3 1 6 0 3 7 14 6 5 2 4 0 2 4 13 0 0 4 17 5 7 0 6 2 0 4 2 1 2 0 13 0 11 2 2 0 3 4 1 1 1 1 0 5 8 5 0 5 4 2 2 3 5 0 7 0 0 15 3 3 7 3 3 3 0 9 5 1 4 6 0 3 3 13 6 6 2 5 1 4 0 0 4 5 7 0 2 8 3 9 1 1 0 1 4 5 1 2 1 6 2 0 4 3 7 5 15 0 6 2 1 1 6 2 2 1 1 0 5 4 6 0 2 3 2 4 1 6 5 2 5 5 2 0 0 8 0 4 5 0 5 11 1 9 5 4 0 2 0 7 7 0 4 5 1 4 10 2 6 0 0 6 4 0 0 1 1 9 0 0 8 2 5 1 1 0 6 0 6 16 11 0 5 4 1 5 8 4 0 4 3 3 3 6 2 6 1 6 3 3 10 2 6 4 8 1 4 12 2 6 9 3 3 5 5 3 4 7 3 6 1 3 1 18 13 3
507x440 7 0 0 2 4 3 0 4 7 1 4 0 1 0 3 3 5 0 2 2 7 10 0 5 0 0 5 0 5 5 4 6 3 0 0 0 1 7 2 1 5 4 1 2 0 0 12 3 3 0 0 1 2 4 21 9 4 10 8 0 0 1 1 2 2 1 5 7 2 0 0 0 0 7 7 11 1 0 1 1 3 0 3 1 0 5 1 0 0 2 0 0 2 0 14 3 5 5 0 2 5 3 1 5 10 5 3 0 0 5 1 4 2 7 2 6 1 9 6 7 0 4 5 4 8 15 0 0 4 6 7 8 0 2 8 2 1 4 0 2 0 6 1 6 4 11 4 4 1 4 7 5 2 0 0 14 0 2 10 8 3 3 1 7 8 11 2 5 5 4 2 3 6 10 6 4 3 0 7 10 0 2 0 1 13 0 0 0 5 0 2 1 0 3 11 2 5 0 4 3 2 0 7 9 1 3 8 0 0 0 0 1 4 0 13 1 15 4 8 5 9 6 2 6 0 7 9 9 2 2 2 6 4 5 3 10 5 11 7 4 6 6 5 1 3 10 5 0 7
618x482 15 7 5 2 11 19 4 10 0 2 5 3 12 2 12 0 5 5 3 2 0 16 3 8 10 1 6 5 6 10 5 8 0 6 0 4 4 8 5 3 4 6 7 3 7 9 13 4 5 1 5 5 11 0 18 8 2 0 3 7 6 8 5 9 6 5 0 7 5 8 3 4 14 12 9 1 0 3 2 4 5 0 11 0 2 3 2 0 0 5 3 7 2 4 3 10 4 6 11 6 10 11 1 7 11 7 1 16 6 19 1 3 6 6 2 7 3 13 5 8 11 1 13 6 1 11 13 2 4 3 9 7 3 1 3 4 3 3 4 7 5 1 2 4 3 5 0 5 7 1 4 6 0 23 0 7 3 2 6 0 7 5 13 2 4 6 3 10 2 9 7 2 21 7 13 5 7 10 3 6 10 5 4 4 12 6 7 6 15 0 4 0 7 15 4 0 11 10 0 4 8 1 7 5 2 2 2 6 5 7 5 1 5 10 24 5 25 1 15 1 10 10 5 21 3 19 13 5 32 3 11 8 16 13 10 13 12 21 10 15 16 18 8 4 8 20 0 1 11
523x494 1 1 1 0 5 14 10 3 6 2 1 6 3 1 1 8 4 0 1 4 6 5 0 1 3 0 0 0 2 1 15 9 3 3 3 1 1 0 2 10 2 11 7 4 11 6 2 0 3 6 6 0 2 3 0 6 1 3 3 3 1 0 2 5 2 5 1 0 3 0 0 7 8 11 4 0 2 1 0 2 3 4 10 0 0 4 2 5 0 1 1 4 6 5 5 4 0 1 8 4 1 9 6 1 5 4 13 4 6 10 0 0 5 4 6 4 2 1 1 0 1 4 0 7 2 11 12 0 9 0 4 15 3 4 8 2 1 9 0 0 2 5 2 2 8 6 2 2 3 14 3 8 6 5 3 2 5 9 1 4 7 3 1 5 6 0 2 9 1 2 4 5 12 3 7 5 5 4 0 0 3 1 10 8 17 1 6 2 4 2 1 1 0 7 11 3 2 10 12 0 2 8 5 5 16 5 9 2 1 2 7 5 6 9 13 1 15 3 10 3 8 4 3 7 4 13 10 8 9 3 1 8 12 6 7 15 4 11 10 8 10 11 9 5 4 6 6 1 13
369x512 4 1 0 6 6 5 0 1 1 3 8 4 4 1 0 2 1 4 5 0 0 2 6 0 3 5 0 1 2 10 8 5 5 7 5 10 0 10 6 5 3 11 2 1 1 0 4 0 0 3 2 2 1 10 2 6 0 2 3 2 6 5 7 3 5 0 0 0 5 4 1 16 9 1 2 4 1 1 1 7 4 10 5 2 3 2 3 4 0 1 4 0 0 3 1 5 8 3 0 7 9 11 6 6 0 0 7 5 5 3 1 2 5 0 1 6 10 5 1 0 1 2 2 0 9 0 9 5 9 2 3 10 6 0 2 4 0 5 0 11 0 9 0 4 5 5 2 5 3 8 3 2 2 18 0 2 6 4 1 15 1 9 4 8 2 0 5 1 5 8 0 0 13 5 1 7 9 5 5 3 1 0 14 1 3 4 5 4 0 4 1 2 5 10 3 3 2 4 2 8 0 5 9 8 2 6 3 6 3 2 5 4 1 7 3 3 10 3 5 4 5 7 4 9 1 13 8 6 1 1 11 0 11 9 3 5 2 6 2 0 8 3 2 6 1 1 14 6 8
609x519 6 10 8 7 15 17 7 9 5 4 9 5 4 5 10 5 7 7 12 2 9 17 3 15 10 6 8 6 2 6 19 11 0 7 3 0 2 3 1 15 5 11 1 6 4 7 2 3 1 4 20 8 4 4 13 7 2 5 4 10 10 1 8 7 6 0 2 3 2 10 8 12 21 9 5 4 5 11 8 7 4 8 11 5 7 1 2 2 7 15 2 4 10 5 5 7 12 21 12 9 7 3 15 12 8 8 7 8 5 6 5 7 6 1 3 3 10 8 3 2 1 7 2 8 8 7 11 7 18 7 3 18 14 3 7 10 1 5 0 6 2 4 3 9 3 1 0 7 8 2 7 6 3 9 6 20 1 3 2 2 2 9 7 12 5 1 16 5 3 11 13 17 6 7 6 0 3 10 6 2 14 6 0 7 7 11 18 0 3 3 1 7 13 6 2 0 10 4 12 5 6 3 18 17 2 14 1 3 12 11 7 2 12 4 20 4 27 9 15 12 12 16 10 22 6 12 13 23 20 3 3 11 24 20 5 18 10 25 9 7 18 20 11 6 14 20 5 2 13
432x542 0 2 8 2 6 12 1 3 0 2 5 1 7 2 0 0 0 1 0 6 0 2 5 2 0 0 3 3 1 3 8 4 0 0 0 4 0 8 5 4 1 0 1 0 0 3 0 1 0 1 6 3 6 0 0 1 7 5 0 0 3 0 5 9 5 0 0 3 0 3 2 6 0 0 8 4 0 1 2 0 0 0 6 6 5 2 0 5 0 0 0 2 0 4 4 0 3 6 0 2 0 0 0 0 6 6 7 3 0 1 0 0 3 7 6 1 1 1 1 2 3 0 2 1 0 0 0 5 6 14 2 7 2 5 3 0 0 0 9 6 0 0 0 0 4 0 0 0 0 8 5 1 0 0 0 0 2 2 0 0 0 2 0 9 7 0 3 2 5 0 4 1 4 3 0 3 0 0 1 0 4 5 0 4 1 0 0 3 1 0 1 0 1 6 6 4 0 0 4 0 2 3 0 0 0 5 4 8 6 0 5 0 0 1 6 0 8 4 7 5 5 7 4 1 2 1 5 5 4 2 3 4 5 7 0 9 4 3 1 2 6 2 4 4 1 6 2 0 7
534x599 0 5 2 6 4 6 1 6 1 14 1 2 0 2 4 0 1 1 5 5 2 0 0 5 5 0 0 0 9 2 13 1 0 17 5 4 1 2 4 12 0 9 0 0 0 4 0 0 1 1 4 5 0 0 5 2 6 0 14 3 1 0 7 0 3 1 0 0 6 1 1 0 0 0 0 0 6 1 0 5 0 0 5 0 0 0 1 3 1 0 2 3 0 1 5 3 11 2 0 6 6 2 10 2 3 0 2 0 0 2 8 1 2 5 0 3 1 17 7 1 4 2 3 8 0 6 8 4 7 0 5 2 8 2 11 5 6 4 0 0 1 1 1 0 2 1 0 2 2 1 5 0 0 4 0 1 0 1 0 2 0 2 1 13 0 0 0 3 0 2 4 2 11 2 10 9 1 5 2 3 3 7 1 13 0 5 4 1 6 0 1 4 3 7 3 0 5 4 2 2 4 1 5 0 0 0 3 4 0 3 1 0 0 6 11 4 9 4 9 3 5 6 8 8 0 10 1 7 15 2 4 8 8 8 6 11 1 10 4 3 7 9 7 2 2 8 1 0 6
495x621 17 3 5 2 2 14 4 8 7 8 0 16 15 2 5 6 1 3 2 0 1 12 0 4 11 4 3 12 3 3 2 4 2 8 6 0 0 1 0 10 2 4 0 4 0 5 5 2 3 4 5 8 1 0 2 7 0 1 6 3 1 1 0 2 0 0 2 5 12 1 3 0 3 5 5 5 4 8 0 0 0 4 8 4 3 2 5 5 5 13 0 2 1 2 2 4 6 9 0 4 3 3 2 7 1 6 9 3 5 6 3 7 0 10 7 6 0 0 8 6 10 4 3 10 5 13 10 3 5 5 6 9 10 0 0 15 4 17 2 0 5 3 1 3 1 9 7 1 2 5 1 0 8 8 2 8 8 4 2 2 6 2 3 5 0 1 2 0 1 1 0 3 8 2 1 0 10 2 3 0 1 10 4 7 12 1 6 4 8 4 3 4 7 8 5 0 3 2 8 4 3 0 3 3 2 16 9 10 2 5 5 0 6 1 15 3 15 4 11 3 7 4 6 9 4 6 8 8 15 6 1 7 5 5 2 12 3 14 7 4 11 9 4 12 6 5 1 0 12
373x625 2 5 0 5 0 17 6 13 3 2 1 22 3 0 3 8 0 4 0 1 0 16 4 1 7 4 3 7 7 1 2 8 0 1 6 3 0 0 5 1 4 8 1 2 1 4 0 3 5 0 2 0 12 2 7 8 1 2 5 4 0 3 9 5 3 13 5 2 0 2 1 2 4 0 2 2 2 6 3 1 8 0 10 1 3 1 8 8 8 6 2 1 5 0 3 1 3 2 0 6 0 8 2 8 8 3 0 8 0 6 0 0 0 4 5 11 1 2 7 10 2 0 1 1 11 3 2 2 2 3 7 11 9 4 3 18 6 1 4 1 1 3 5 2 1 0 1 7 7 2 11 0 4 21 1 10 1 7 10 12 2 3 2 3 4 0 0 5 4 4 5 3 17 4 5 0 6 7 3 8 1 8 6 5 7 4 8 5 0 1 9 0 6 4 1 2 0 5 3 4 3 0 1 3 5 13 5 13 4 2 4 2 7 3 6 3 11 0 10 3 8 5 0 9 4 9 7 15 5 5 0 6 17 10 2 8 4 11 6 1 6 1 6 1 2 7 0 1 7
