,x,y,z,field,total_count
2096,378,134,1,46,4239
2097,429,187,1,46,4120
2098,512,252,1,46,2644
2099,420,258,1,46,2961
2100,491,367,1,46,3879
2101,452,539,1,46,3625
2102,586,611,1,46,3104
2103,659,612,1,46,3967
2104,738,706,1,46,5315
2105,651,739,1,46,2072
2106,656,814,1,46,2526
2107,683,873,1,46,4187
2108,507,981,1,46,1891
2109,751,1005,1,46,1562
2110,408,41,2,46,1997
2111,392,331,3,46,3839
2112,421,518,3,46,2687
2113,556,98,4,46,1772
2114,677,513,5,46,5796
2115,510,763,5,46,4566
2116,487,120,6,46,4970
2117,551,176,6,46,7825
2118,460,339,6,46,4916
2119,496,434,6,46,7898
2120,508,524,6,46,5491
2121,612,663,6,46,4296
2122,618,808,6,46,6278
2123,608,911,6,46,6299
2124,694,972,6,46,3706
2125,414,574,7,46,3724
2126,518,682,7,46,6366
2127,680,840,7,46,4044
2128,565,942,7,46,4457
2129,317,36,8,46,1330
2130,482,182,8,46,3882
2131,602,717,8,46,4636
2132,550,1007,8,46,1671
2133,517,218,9,46,4964
2134,374,363,9,46,2802
2135,596,519,9,46,4625
2136,432,143,10,46,3227
2137,486,10,11,46,1055
2138,246,46,11,46,1841
2139,360,549,11,46,3469
2140,704,554,11,46,5472
2141,798,749,11,46,3176
2142,546,821,11,46,7078
2143,620,861,11,46,6804
2144,334,102,12,46,3035
2145,447,285,12,46,4552
2146,541,537,12,46,5903
2147,638,774,12,46,3808
2148,516,955,12,46,2756
2149,618,983,12,46,4885
2150,429,108,13,46,3061
2151,521,363,13,46,5703
2152,634,554,13,46,7286
2153,800,791,13,46,4173
2154,476,1011,13,46,811
2155,537,96,14,46,3168
2156,408,306,14,46,4078
2157,572,344,14,46,4403
2158,384,671,14,46,2372
2159,684,793,14,46,5105
2160,780,1013,14,46,1050
2161,298,74,15,46,1995
2162,234,82,15,46,2221
2163,444,191,15,46,3703
2164,407,498,15,46,2993
2165,522,628,15,46,7791
2166,356,28,16,46,1215
2167,742,644,16,46,6394
2168,658,728,16,46,4638
2169,557,750,16,46,6734
2170,479,919,16,46,1089
2171,746,927,16,46,2827
2172,456,138,17,46,2194
2173,339,164,17,46,5970
2174,537,260,17,46,4620
2175,488,308,17,46,5556
2176,421,379,17,46,5364
2177,458,404,17,46,4826
2178,423,469,17,46,3344
2179,460,614,17,46,5738
2180,535,11,18,46,1111
2181,392,93,18,46,3768
2182,288,125,18,46,4005
2183,377,238,18,46,5702
2184,584,478,18,46,8237
2185,646,616,18,46,5407
2186,391,630,18,46,4507
2187,393,25,19,46,1148
2188,426,539,19,46,2348
2189,584,628,19,46,4434
2190,471,669,19,46,6127
2191,772,749,19,46,3140
2192,237,6,20,46,418
2193,439,53,20,46,3590
2194,491,70,20,46,5095
2195,392,271,20,46,3122
2196,374,401,20,46,3480
2197,430,431,20,46,4023
2198,710,581,20,46,4109
2199,559,666,20,46,5255
2200,773,566,21,46,6232
2201,525,872,21,46,5660
2202,646,688,22,46,3574
2203,693,942,22,46,2777
2204,449,250,23,46,4344
2205,688,674,23,46,4607
2206,581,983,23,46,1926
2207,574,583,24,46,5438
2208,474,442,25,46,3719
2209,635,478,25,46,3890
2210,392,577,25,46,2999
2211,548,365,27,46,4451
2212,600,700,27,46,1954
2213,560,715,28,46,3974
2214,593,533,29,46,2110
2215,601,673,29,46,1546
2216,631,762,29,46,2720
2217,586,954,29,46,1274
