 Tal1 Dmbx1 Emx2 Uncx Paxip1 Ctnnb1 Prdm1 Rybp Nfkb2 Tfdp2 Grhl1 Sp8 Irf2 Zfp287 Esr2 Zfp128 Vav1 Sp1 Ppargc1b Sp7 Pin1 Nfya Vsx1 Klf1 Vsx2 Mybl1 Mybl2 Rnf2 Blzf1 Topors Nr3c2 Nfia Taf6l Nr4a3 Hoxd12 Hoxd13 Ttf1 Sox9 Nr2e1 Polr2b Hltf Sox6 Pbx3 Sox5 Foxa1 Cdc5l Cebpg Ciita Rest Ets1 Mafk Tbx15 Scml2 Myb Clock Rbpj Foxc1 Zfp422 Pias3 Runx1 Ppara Relb Vdr Cdc6 Arid3a Lhx1 Hoxb8 Hoxb9 Hic1 Lhx6 Six4 Hoxb3 Zfp263 Cbfa2t3 Ehf Nhlh1 Gata6 Gata4 Gata5 Lpp Nfe2l3 Nfe2l2 Tmf1 Gli1 Tbx2 En1 En2 Hnf1a Tbx4 Zfp423 Elf1 Foxb1 Elf2 Elf4 Mxd1 Wt1 Rfx4 Bhlhe41 Sox13 Taf4b Rfx2 Sox17 Ahr Sall4 Med14 Smyd1 Sall3 Arid2 Zfp64 Pgr Trps1 Hoxa1 Bach2 Bach1 Notch3 Pknox1 Pknox2 Sin3a Etv3 Smad9 Smad5 Alx1 Egf Mn1 Nkx3-1 Rbak Gabpa Nfkbiz Zscan21 Trp73 E2f7 Esrrg Rbpjl Nfatc4 Nr5a1 Neurod4 Esrrb Tbx21 Rorc Mitf Pax7 Pax6 Pax1 Pax3 Pax2 Pax9 Zkscan17 Gfi1 Mzf1 Runx3 Smarca4 Foxd4 Foxd3 Creb1 Srebf1 Sox11 Gmeb2 Irx4 Pou3f2 Ikzf1 Tcf23 Mtf2 Npas3 Nfatc3 Nfil3 Phox2b Plag1 E2f2 Ddx3x Taf2 Pou4f1 Trim33 Tsc2 Lmx1a Nr2f2 Eomes Wwtr1 Foxo1 Ar Zfp354a Elk4 Foxo4 Sall1 Mycn Maml3 Foxp3 Atm Uaca Tbr1 Pml Lhx3 Atr Zbtb33 Ptch1 Lhx5 Barhl1 Irx5 Tfap2b Tfap2e Rxra Rxrb Gli2 Gli3 Zic4 Zic5 Zic2 Zic3 Satb1 Onecut2 Foxn4 Mnat1 Foxn1 Dlx2 Vezf1 sncg sst th vip xdh slc17a8 slc5a7 slc6a3 slc6a8 smad3 opalin pdgfra palvb reln slc17a7 lyve mfge8 mog myl14 ndnf ctss foxj1 gad1 htr3a igtp acta2 alldh1l1 camk2 chat cldn5 ngef tiam1 slc1a2 gja1 fbll1
378x134 36 12 10 10 4 47 20 13 11 13 13 17 5 1 19 27 10 9 13 22 20 22 7 9 19 16 2 5 27 11 20 12 17 19 5 4 5 8 17 11 14 9 10 26 17 19 35 8 17 6 18 7 5 10 15 13 32 12 7 28 15 30 12 16 1 18 10 36 13 21 19 6 23 14 8 16 5 5 10 14 1 27 12 13 5 21 10 18 14 19 4 4 10 2 25 10 2 11 19 8 21 7 16 27 17 6 11 25 14 2 13 7 15 30 7 25 5 11 11 21 11 13 7 34 13 12 17 3 19 9 10 15 11 23 15 21 11 25 8 26 12 14 19 20 18 11 6 38 10 14 22 2 15 15 7 28 7 12 6 13 16 19 5 9 14 9 10 14 32 21 13 8 31 14 23 23 22 29 16 19 5 3 2 17 11 19 23 3 2 29 5 1 17 23 15 17 14 16 20 32 20 9 18 26 15 19 18 20 15 27 15 21 12 21 42 5 47 22 59 7 19 11 6 27 14 51 45 24 134 7 22 40 51 33 19 49 19 39 30 26 24 58 26 18 12 22 23 4 41
429x187 11 14 7 12 11 40 15 24 5 16 23 21 13 3 0 13 6 23 14 20 8 16 10 9 17 21 10 21 6 13 45 14 6 38 5 10 9 8 18 21 15 9 12 21 5 7 22 15 12 12 11 23 20 20 28 9 10 8 7 13 11 18 21 38 5 26 7 16 22 10 12 22 25 8 7 18 14 6 27 8 27 35 10 10 7 15 16 18 7 10 9 4 12 10 11 9 13 11 21 16 31 9 6 27 28 2 13 23 16 8 11 20 10 27 7 29 6 7 16 18 7 15 4 16 19 3 4 12 27 19 12 14 27 14 4 29 3 9 4 1 15 13 16 23 30 6 11 42 10 15 14 8 5 28 28 2 15 32 9 16 13 11 3 14 9 8 17 6 23 28 9 11 18 29 2 19 23 25 14 12 2 18 14 11 23 13 25 19 21 22 6 5 9 22 9 10 4 10 10 15 11 23 11 17 30 16 5 20 24 31 42 4 11 23 40 10 44 13 53 11 29 12 12 22 8 47 22 13 95 12 9 36 39 29 9 52 16 33 23 19 21 55 20 20 9 27 28 5 35
512x252 3 4 3 0 8 21 8 5 3 11 1 20 4 4 11 17 2 11 14 19 10 1 4 12 7 10 8 9 4 13 18 1 17 17 6 5 9 8 13 9 5 5 10 16 8 3 12 9 16 3 4 7 10 1 10 18 5 12 13 15 2 14 15 9 6 5 11 18 11 2 16 10 8 13 8 8 6 6 4 2 6 6 2 14 7 3 8 4 23 14 6 7 6 5 4 11 9 8 8 9 11 17 17 1 21 1 9 8 8 1 9 6 2 20 6 19 12 11 20 13 18 10 8 16 7 4 9 1 19 4 12 24 11 15 10 24 5 39 0 8 3 21 9 23 10 6 5 16 6 4 9 5 16 6 6 15 2 17 14 2 2 13 21 8 2 4 2 1 19 11 9 3 8 12 3 2 13 10 5 12 2 7 10 8 8 11 22 2 4 12 1 9 3 13 11 9 3 20 13 6 0 10 6 23 6 16 5 20 16 12 13 15 9 10 16 5 26 9 28 12 24 15 6 19 5 22 21 9 28 7 21 19 19 20 12 28 24 46 12 13 12 31 7 14 12 16 34 17 23
420x258 9 3 13 7 4 32 13 20 10 7 2 26 14 2 4 9 15 12 15 7 13 8 16 9 15 20 7 8 8 25 18 3 2 12 3 7 3 8 10 17 11 7 15 14 11 6 9 3 13 8 1 15 3 7 18 30 8 6 14 0 7 16 8 25 6 4 1 19 14 5 16 18 10 11 14 13 16 13 6 14 4 3 5 4 7 1 22 0 10 12 5 9 1 1 12 9 10 6 12 5 27 8 11 25 19 11 16 4 2 7 6 11 5 15 2 13 3 13 6 4 12 4 7 26 2 8 11 2 14 11 9 33 12 11 1 19 14 14 18 8 7 8 12 21 9 13 7 23 3 3 12 6 0 11 6 2 4 18 12 12 6 11 6 17 8 7 11 10 3 19 6 12 12 7 9 8 29 16 18 24 16 11 3 13 14 9 22 7 0 5 11 5 24 12 20 15 8 15 11 6 4 8 13 5 11 19 7 9 14 17 3 11 14 13 27 2 26 8 32 7 17 9 9 14 11 43 31 18 68 6 10 26 30 21 9 34 8 38 21 20 12 43 14 18 7 18 22 5 21
491x367 8 22 5 10 11 41 25 25 20 13 11 33 13 10 20 12 13 2 19 18 21 25 15 9 7 13 4 31 16 15 8 9 5 24 7 12 8 9 6 21 11 7 15 10 4 9 21 22 9 7 27 9 8 10 8 5 5 7 16 2 4 14 26 35 5 8 18 30 23 9 16 29 27 12 11 2 16 3 22 13 13 15 21 2 19 0 21 13 11 8 5 1 21 7 32 6 16 4 5 11 22 15 13 21 15 7 18 9 18 4 5 21 7 22 4 40 5 5 23 5 18 14 19 26 7 15 21 6 16 30 17 47 15 13 8 11 9 14 19 7 5 8 10 15 6 28 9 27 4 17 14 20 13 30 3 5 0 13 10 7 2 18 17 19 4 11 4 3 11 9 15 6 31 9 15 29 14 38 17 17 7 12 10 22 12 16 7 8 3 13 1 4 22 54 5 8 11 11 9 11 22 20 26 19 10 21 19 15 16 19 15 5 4 17 33 2 40 9 45 13 18 17 13 33 5 39 22 23 88 10 13 25 44 18 16 38 28 41 23 25 23 45 28 22 16 19 29 6 30
452x539 17 5 16 7 10 42 2 11 9 11 2 11 6 20 1 12 16 18 11 15 15 15 3 20 24 13 5 10 12 7 19 14 16 14 17 8 22 14 16 26 18 13 30 14 10 8 37 12 8 12 5 2 11 14 20 23 14 11 29 20 12 23 21 18 17 14 8 24 18 8 15 18 17 3 3 12 16 5 6 13 11 10 14 9 7 11 19 14 11 3 0 8 13 10 16 11 14 8 10 22 12 13 24 22 22 23 10 11 3 11 11 19 6 11 9 17 7 19 6 28 14 17 9 13 5 1 16 4 20 22 11 20 21 20 3 8 10 14 11 6 9 2 19 12 14 9 19 9 6 10 23 4 0 22 10 25 1 10 23 5 8 9 8 20 7 5 17 4 12 20 15 17 23 16 5 10 18 13 9 27 10 23 14 15 7 7 11 1 21 15 3 10 16 12 14 11 19 10 4 10 4 18 14 2 15 6 25 15 20 17 19 16 6 16 26 6 33 9 40 10 24 20 17 36 8 46 39 11 61 15 21 27 31 26 14 48 23 32 27 14 17 41 17 11 18 16 29 5 22
586x611 13 4 1 3 11 33 12 19 11 10 4 6 19 1 5 9 14 11 19 16 6 16 21 9 27 5 6 8 20 15 10 1 4 8 12 5 15 8 10 17 8 6 3 27 9 14 12 19 15 15 8 6 17 7 15 21 5 8 14 5 5 12 14 13 10 16 10 13 10 14 11 25 22 3 2 11 9 4 8 14 15 8 6 16 10 6 13 12 9 18 6 6 8 5 12 16 8 7 6 23 17 4 11 15 29 22 11 1 15 10 2 10 3 12 6 9 4 14 13 14 3 16 6 14 11 15 14 0 16 16 9 12 6 6 16 13 7 12 19 8 14 7 12 13 11 12 2 15 16 12 17 14 16 3 8 8 11 12 7 4 9 7 16 12 11 9 9 16 10 9 13 17 16 20 16 12 8 14 9 17 6 15 2 6 15 13 11 4 4 14 2 11 5 16 6 7 8 4 9 19 7 8 5 10 12 10 12 3 21 9 9 10 3 8 44 3 39 10 39 12 17 12 21 20 7 37 21 23 66 9 16 26 18 18 10 33 28 25 30 20 16 31 31 19 10 22 22 2 24
659x612 11 7 14 5 5 48 7 7 1 5 4 11 23 26 20 16 6 12 5 15 8 9 8 3 23 4 12 11 7 22 17 14 16 17 30 20 11 10 12 10 19 6 19 26 7 12 12 10 19 7 7 8 15 16 19 27 10 11 25 7 6 16 23 10 20 4 8 30 11 25 11 27 14 7 15 4 14 21 19 20 11 16 16 4 17 12 2 22 15 3 1 8 16 7 7 2 18 4 7 16 21 8 4 11 14 26 19 7 21 11 14 14 4 20 8 60 28 14 33 13 8 13 2 30 21 16 7 14 21 17 13 19 15 17 9 14 2 12 17 6 8 15 10 29 18 4 11 21 9 17 21 14 18 20 6 12 7 17 24 21 3 18 10 27 21 14 6 19 28 20 14 14 34 1 14 10 25 11 19 25 3 13 2 4 15 19 31 29 14 8 15 8 14 15 21 19 17 14 16 12 10 6 14 13 13 9 21 10 13 12 13 3 24 8 32 7 38 15 55 17 31 21 12 28 8 49 30 23 63 14 20 30 31 19 13 44 50 41 32 23 28 37 20 12 20 21 30 5 29
738x706 22 9 12 5 22 31 11 20 29 20 8 18 8 21 21 14 17 11 23 52 14 8 10 13 35 21 21 23 17 12 5 33 23 3 29 13 10 20 10 28 9 15 17 38 7 12 13 32 26 13 18 8 19 25 36 27 21 29 31 17 29 18 35 31 40 10 10 7 44 19 13 16 36 19 19 11 30 14 26 33 16 26 18 7 19 33 4 16 15 27 20 7 15 23 13 18 29 15 22 8 38 27 8 32 7 19 11 35 16 7 9 15 7 22 12 21 21 6 15 22 17 13 8 31 5 35 31 11 41 31 23 22 15 22 24 23 18 19 20 3 11 5 16 26 15 20 12 22 16 16 41 22 11 30 25 17 4 16 19 21 8 3 15 26 14 9 6 21 24 28 25 23 28 28 23 38 11 47 37 21 15 19 13 23 7 10 22 13 23 33 14 10 31 18 12 7 17 24 37 33 14 26 30 13 19 21 16 13 29 18 30 12 11 17 33 10 50 19 49 21 53 28 21 31 19 51 49 29 78 14 27 28 35 31 18 54 30 45 32 13 36 53 28 21 18 26 58 15 34
651x739 5 0 6 12 7 30 9 17 9 8 6 8 10 9 8 3 3 2 7 6 13 5 2 0 6 5 5 20 11 12 7 5 4 13 7 17 1 10 5 11 14 11 1 5 12 6 5 2 14 5 2 4 2 11 6 16 2 5 4 2 5 10 11 9 4 4 10 18 5 0 13 17 16 4 8 2 2 0 2 17 13 6 9 5 10 3 1 0 4 10 2 3 8 3 7 14 5 0 5 1 7 6 13 8 1 8 4 12 5 5 8 5 9 19 4 10 6 13 21 13 0 6 0 13 13 3 2 2 9 7 7 1 7 7 8 6 6 26 6 15 11 4 6 16 11 13 9 11 11 3 6 4 8 15 11 8 12 6 10 8 2 5 11 12 4 3 5 22 15 14 2 15 5 14 7 7 12 8 9 13 11 4 7 1 0 2 13 6 7 11 10 0 15 19 7 5 17 10 8 18 10 6 10 7 2 13 14 6 4 5 19 7 6 12 10 3 20 6 16 5 16 9 4 16 4 25 18 8 31 3 12 6 11 11 8 24 3 7 7 9 11 18 8 6 6 3 16 3 9
