,x,y,z,field,total_count
1144,451,223,1,42,3066
1145,429,392,1,42,1777
1146,294,410,1,42,3818
1147,259,485,1,42,1561
1148,426,488,1,42,2843
1149,167,490,1,42,4535
1150,824,640,1,42,2337
1151,811,662,1,42,1002
1152,593,715,1,42,2881
1153,559,780,1,42,2632
1154,167,792,1,42,2418
1155,382,808,1,42,3127
1156,569,850,1,42,1892
1157,388,861,1,42,3807
1158,439,871,1,42,3095
1159,205,87,2,42,2196
1160,76,220,2,42,1915
1161,389,222,2,42,3725
1162,220,244,2,42,2985
1163,350,266,2,42,3127
1164,158,314,2,42,2344
1165,71,327,2,42,2595
1166,600,338,2,42,3125
1167,222,456,2,42,2818
1168,688,473,2,42,3432
1169,430,577,2,42,3518
1170,193,625,2,42,3828
1171,415,627,2,42,4169
1172,279,632,2,42,5363
1173,785,667,2,42,1961
1174,840,734,2,42,1561
1175,90,740,2,42,3268
1176,89,818,2,42,1188
1177,171,869,2,42,3268
1178,271,895,2,42,3151
1179,479,909,2,42,3403
1180,769,935,2,42,644
1181,488,961,2,42,3808
1182,967,987,2,42,250
1183,58,49,3,42,1136
1184,694,340,3,42,3802
1185,726,357,3,42,4798
1186,777,513,3,42,3371
1187,198,576,3,42,4162
1188,525,725,3,42,5997
1189,973,741,3,42,832
1190,683,796,3,42,2787
1191,960,925,3,42,138
1192,647,981,3,42,2024
1193,786,985,3,42,986
1194,324,990,3,42,2944
1195,727,1013,3,42,903
1196,291,127,4,42,5107
1197,217,187,4,42,3051
1198,420,258,4,42,4917
1199,350,418,4,42,5243
1200,569,599,4,42,3129
1201,966,629,4,42,3646
1202,347,749,4,42,4546
1203,748,834,4,42,2623
1204,592,870,4,42,3244
1205,269,33,5,42,2480
1206,51,128,5,42,1863
1207,636,389,5,42,4298
1208,592,516,5,42,5268
1209,905,772,5,42,2051
1210,938,833,5,42,733
1211,848,840,5,42,2251
1212,387,364,6,42,2547
1213,635,479,6,42,4066
1214,226,535,6,42,1937
1215,371,701,6,42,5913
1216,134,706,6,42,5057
1217,1006,999,6,42,86
1218,118,293,7,42,3189
1219,283,523,7,42,4048
1220,134,548,7,42,6632
1221,238,851,7,42,3051
1222,765,913,7,42,2961
1223,122,37,8,42,3000
1224,178,149,8,42,3704
1225,471,386,8,42,2858
1226,654,563,8,42,3849
1227,656,624,8,42,2917
1228,317,630,8,42,3070
1229,939,699,8,42,3439
1230,72,809,8,42,1542
1231,345,884,8,42,3102
1232,661,921,8,42,4613
1233,240,940,8,42,3679
1234,351,188,9,42,5303
1235,489,289,9,42,4558
1236,236,348,9,42,4821
1237,576,423,9,42,4991
1238,607,597,9,42,3834
1239,536,625,9,42,6099
1240,3,649,9,42,74
1241,467,718,9,42,8716
1242,646,779,9,42,3926
1243,795,827,9,42,2386
1244,644,841,9,42,4994
1245,442,852,9,42,2851
1246,127,971,9,42,1257
1247,303,213,10,42,5780
1248,105,251,10,42,1876
1249,269,310,10,42,5920
1250,562,319,10,42,4131
1251,119,386,10,42,5562
1252,642,520,10,42,3946
1253,400,521,10,42,6780
1254,244,568,10,42,5133
1255,123,648,10,42,6786
1256,776,789,10,42,3847
1257,196,914,10,42,4328
1258,819,1003,10,42,1151
1259,187,323,11,42,3622
1260,737,476,11,42,5464
1261,734,521,11,42,2176
1262,333,672,11,42,3782
1263,710,720,11,42,6430
1264,881,730,11,42,3330
1265,983,830,11,42,281
1266,986,912,11,42,285
1267,877,947,11,42,1464
1268,577,1017,11,42,791
1269,145,111,12,42,2966
1270,263,168,12,42,5298
1271,337,233,12,42,2333
1272,335,315,12,42,3362
1273,391,344,12,42,2171
1274,64,371,12,42,1979
1275,543,393,12,42,2275
1276,67,433,12,42,6738
1277,336,468,12,42,5164
1278,758,604,12,42,4827
1279,894,628,12,42,4181
1280,1021,703,12,42,565
1281,33,730,12,42,2092
1282,388,781,12,42,5616
1283,342,929,12,42,1552
1284,787,953,12,42,1204
1285,372,955,12,42,2857
1286,579,976,12,42,2868
1287,78,83,13,42,1889
1288,14,91,13,42,409
1289,366,333,13,42,2660
1290,400,405,13,42,2796
1291,839,545,13,42,6297
1292,1006,644,13,42,1035
1293,181,695,13,42,7726
1294,967,774,13,42,427
1295,546,819,13,42,3565
1296,124,875,13,42,2647
1297,376,1009,13,42,1130
1298,222,44,14,42,3746
1299,109,156,14,42,2863
1300,187,253,14,42,2750
1301,698,368,14,42,2328
1302,595,465,14,42,5837
1303,432,466,14,42,3062
1304,26,562,14,42,2728
1305,469,615,14,42,6145
1306,847,661,14,42,3015
1307,626,730,14,42,4650
1308,146,794,14,42,3758
1309,893,852,14,42,1253
1310,1002,861,14,42,194
1311,522,880,14,42,4767
1312,424,944,14,42,2684
1313,250,1008,14,42,1583
1314,267,83,15,42,4934
1315,93,217,15,42,1243
1316,551,360,15,42,2566
1317,441,427,15,42,2383
1318,190,436,15,42,3760
1319,778,553,15,42,3569
1320,693,610,15,42,2622
1321,806,750,15,42,2301
1322,463,823,15,42,6976
1323,707,874,15,42,2866
1324,929,923,15,42,575
1325,544,279,16,42,7123
1326,314,379,16,42,5453
1327,265,488,16,42,2007
1328,382,614,16,42,5782
1329,758,676,16,42,4013
1330,49,689,16,42,2111
1331,552,755,16,42,3928
1332,720,782,16,42,3362
1333,291,925,16,42,3351
1334,166,60,17,42,2843
1335,612,311,17,42,6386
1336,502,323,17,42,4541
1337,25,344,17,42,1604
1338,197,488,17,42,2758
1339,694,502,17,42,3942
1340,454,513,17,42,4627
1341,313,561,17,42,6498
1342,706,572,17,42,3180
1343,753,577,17,42,2000
1344,24,607,17,42,1883
1345,821,696,17,42,2149
1346,935,788,17,42,837
1347,870,805,17,42,2040
1348,640,1002,17,42,852
1349,276,257,18,42,5910
1350,505,382,18,42,3841
1351,662,420,18,42,5871
1352,540,426,18,42,4132
1353,750,529,18,42,1500
1354,208,801,18,42,4886
1355,199,183,19,42,2817
1356,237,375,19,42,4822
1357,281,445,19,42,3838
1358,779,467,19,42,6258
1359,27,503,19,42,2934
1360,317,646,19,42,1127
1361,528,520,20,42,5695
1362,662,643,20,42,2967
1363,581,690,20,42,5569
1364,322,759,20,42,8394
1365,257,834,20,42,4392
1366,596,850,20,42,2561
1367,759,928,20,42,888
1368,332,155,21,42,6871
1369,648,377,21,42,3378
1370,488,497,21,42,6013
1371,473,555,21,42,5747
1372,568,794,21,42,2311
1373,417,348,22,42,3612
1374,604,526,22,42,3365
1375,16,653,22,42,1315
1376,808,827,22,42,1135
1377,112,88,23,42,2211
1378,867,560,23,42,3761
1379,163,823,23,42,1715
1380,905,901,23,42,1011
1381,843,817,25,42,1378
