,x,y,z,field,total_count
959,444,342,1,41,2317
960,462,404,1,41,3436
961,442,438,1,41,3276
962,802,646,1,41,2970
963,456,684,1,41,3546
964,206,722,1,41,5179
965,296,774,1,41,4115
966,610,782,1,41,3882
967,457,794,1,41,2686
968,741,809,1,41,2021
969,793,844,1,41,2129
970,314,860,1,41,4996
971,561,909,1,41,2791
972,646,920,1,41,3284
973,166,29,2,41,2161
974,41,113,2,41,964
975,820,446,2,41,4490
976,278,456,2,41,3560
977,937,602,2,41,3448
978,784,946,2,41,2518
979,937,981,2,41,659
980,870,1006,2,41,926
981,222,128,3,41,6418
982,121,186,3,41,1829
983,101,216,3,41,1598
984,406,278,3,41,4096
985,344,513,3,41,3804
986,360,561,3,41,2198
987,349,578,3,41,1303
988,494,682,3,41,5264
989,958,745,3,41,1397
990,962,778,3,41,1372
991,997,794,3,41,1418
992,416,844,3,41,3627
993,965,869,3,41,1601
994,681,909,3,41,1393
995,434,1006,3,41,1783
996,40,37,4,41,423
997,413,390,4,41,6669
998,177,418,4,41,2109
999,277,426,4,41,2872
1000,554,477,4,41,2783
1001,605,482,4,41,6204
1002,850,581,4,41,6080
1003,240,654,4,41,2939
1004,364,720,4,41,2543
1005,732,900,4,41,1530
1006,182,197,5,41,2104
1007,484,518,5,41,8929
1008,396,634,5,41,3998
1009,420,734,5,41,3954
1010,797,428,6,41,3878
1011,569,624,6,41,8671
1012,590,694,6,41,5957
1013,909,745,6,41,3870
1014,44,154,7,41,1200
1015,18,268,7,41,567
1016,173,284,7,41,3227
1017,205,357,7,41,5959
1018,172,401,7,41,2473
1019,236,450,7,41,3205
1020,265,584,7,41,5932
1021,214,588,7,41,4694
1022,721,628,7,41,3098
1023,306,644,7,41,3331
1024,785,782,7,41,3512
1025,926,801,7,41,4087
1026,121,436,8,41,2104
1027,117,500,8,41,4574
1028,261,502,8,41,5235
1029,749,597,8,41,3169
1030,260,689,8,41,3129
1031,777,689,8,41,6443
1032,513,304,9,41,8213
1033,54,308,9,41,2280
1034,448,310,9,41,4297
1035,340,680,9,41,5466
1036,520,762,9,41,7327
1037,769,840,9,41,1677
1038,833,952,9,41,1566
1039,10,116,10,41,135
1040,428,232,10,41,9714
1041,314,280,10,41,7127
1042,94,349,10,41,3900
1043,282,373,10,41,5044
1044,397,481,10,41,6366
1045,630,533,10,41,6196
1046,409,773,10,41,7050
1047,1006,882,10,41,1288
1048,482,920,10,41,5577
1049,420,928,10,41,7083
1050,669,1013,10,41,2466
1051,589,1018,10,41,2837
1052,156,225,11,41,3482
1053,292,234,11,41,5495
1054,294,322,11,41,6740
1055,346,338,11,41,6239
1056,58,348,11,41,2898
1057,697,690,11,41,6782
1058,864,710,11,41,5513
1059,534,857,11,41,5857
1060,982,968,11,41,779
1061,186,58,12,41,1979
1062,128,265,12,41,2089
1063,429,580,12,41,8746
1064,336,592,12,41,2402
1065,545,696,12,41,5982
1066,258,761,12,41,6666
1067,1006,932,12,41,715
1068,57,5,13,41,468
1069,304,37,13,41,8193
1070,126,100,13,41,3286
1071,242,357,13,41,4322
1072,656,472,13,41,3928
1073,853,505,13,41,4318
1074,205,509,13,41,6482
1075,725,528,13,41,5786
1076,740,554,13,41,3568
1077,597,598,13,41,6972
1078,738,646,13,41,2461
1079,708,738,13,41,6797
1080,329,744,13,41,4701
1081,736,944,13,41,3215
1082,329,165,14,41,10357
1083,308,198,14,41,4836
1084,52,284,14,41,1283
1085,917,606,14,41,3955
1086,890,660,14,41,4723
1087,1001,733,14,41,2753
1088,638,761,14,41,6144
1089,588,838,14,41,5211
1090,692,872,14,41,3746
1091,873,892,14,41,3975
1092,120,6,15,41,1615
1093,165,168,15,41,3591
1094,238,242,15,41,5551
1095,488,381,15,41,6043
1096,328,404,15,41,6897
1097,682,565,15,41,6211
1098,425,656,15,41,5449
1099,877,786,15,41,4801
1100,449,874,15,41,5284
1101,624,882,15,41,4630
1102,560,945,15,41,5598
1103,409,1017,15,41,779
1104,500,1018,15,41,1848
1105,81,214,16,41,1666
1106,537,381,16,41,7702
1107,204,444,16,41,3974
1108,722,465,16,41,3672
1109,758,465,16,41,4203
1110,796,500,16,41,2971
1111,637,706,16,41,5724
1112,250,18,17,41,3911
1113,284,161,17,41,7668
1114,92,162,17,41,2572
1115,361,265,17,41,3803
1116,553,501,17,41,3800
1117,180,584,17,41,5013
1118,777,600,17,41,4027
1119,238,278,18,41,3852
1120,669,526,18,41,4739
1121,826,586,18,41,5722
1122,345,228,19,41,6753
1123,377,306,19,41,4227
1124,116,413,19,41,2271
1125,63,431,19,41,1953
1126,136,469,19,41,2724
1127,673,485,19,41,2979
1128,958,705,19,41,5941
1129,802,777,19,41,3016
1130,722,808,19,41,4205
1131,148,357,20,41,3991
1132,532,893,20,41,2512
1133,445,276,21,41,6224
1134,561,452,21,41,4451
1135,916,960,21,41,1349
1136,936,760,22,41,2003
1137,977,800,22,41,1756
1138,968,929,22,41,428
1139,397,968,22,41,2531
1140,468,1001,24,41,2132
1141,270,394,25,41,2529
1142,752,550,26,41,3494
1143,484,962,27,41,3343
