 Tal1 Dmbx1 Emx2 Uncx Paxip1 Ctnnb1 Prdm1 Rybp Nfkb2 Tfdp2 Grhl1 Sp8 Irf2 Zfp287 Esr2 Zfp128 Vav1 Sp1 Ppargc1b Sp7 Pin1 Nfya Vsx1 Klf1 Vsx2 Mybl1 Mybl2 Rnf2 Blzf1 Topors Nr3c2 Nfia Taf6l Nr4a3 Hoxd12 Hoxd13 Ttf1 Sox9 Nr2e1 Polr2b Hltf Sox6 Pbx3 Sox5 Foxa1 Cdc5l Cebpg Ciita Rest Ets1 Mafk Tbx15 Scml2 Myb Clock Rbpj Foxc1 Zfp422 Pias3 Runx1 Ppara Relb Vdr Cdc6 Arid3a Lhx1 Hoxb8 Hoxb9 Hic1 Lhx6 Six4 Hoxb3 Zfp263 Cbfa2t3 Ehf Nhlh1 Gata6 Gata4 Gata5 Lpp Nfe2l3 Nfe2l2 Tmf1 Gli1 Tbx2 En1 En2 Hnf1a Tbx4 Zfp423 Elf1 Foxb1 Elf2 Elf4 Mxd1 Wt1 Rfx4 Bhlhe41 Sox13 Taf4b Rfx2 Sox17 Ahr Sall4 Med14 Smyd1 Sall3 Arid2 Zfp64 Pgr Trps1 Hoxa1 Bach2 Bach1 Notch3 Pknox1 Pknox2 Sin3a Etv3 Smad9 Smad5 Alx1 Egf Mn1 Nkx3-1 Rbak Gabpa Nfkbiz Zscan21 Trp73 E2f7 Esrrg Rbpjl Nfatc4 Nr5a1 Neurod4 Esrrb Tbx21 Rorc Mitf Pax7 Pax6 Pax1 Pax3 Pax2 Pax9 Zkscan17 Gfi1 Mzf1 Runx3 Smarca4 Foxd4 Foxd3 Creb1 Srebf1 Sox11 Gmeb2 Irx4 Pou3f2 Ikzf1 Tcf23 Mtf2 Npas3 Nfatc3 Nfil3 Phox2b Plag1 E2f2 Ddx3x Taf2 Pou4f1 Trim33 Tsc2 Lmx1a Nr2f2 Eomes Wwtr1 Foxo1 Ar Zfp354a Elk4 Foxo4 Sall1 Mycn Maml3 Foxp3 Atm Uaca Tbr1 Pml Lhx3 Atr Zbtb33 Ptch1 Lhx5 Barhl1 Irx5 Tfap2b Tfap2e Rxra Rxrb Gli2 Gli3 Zic4 Zic5 Zic2 Zic3 Satb1 Onecut2 Foxn4 Mnat1 Foxn1 Dlx2 Vezf1 sncg sst th vip xdh slc17a8 slc5a7 slc6a3 slc6a8 smad3 opalin pdgfra palvb reln slc17a7 lyve mfge8 mog myl14 ndnf ctss foxj1 gad1 htr3a igtp acta2 alldh1l1 camk2 chat cldn5 ngef tiam1 slc1a2 gja1 fbll1
463x793 15 5 6 5 29 23 13 3 1 27 12 9 4 5 12 9 8 8 11 13 9 5 16 11 10 4 6 17 2 10 9 11 8 2 0 8 5 3 7 2 8 7 12 9 2 7 11 5 19 5 10 4 2 16 16 10 5 9 0 0 7 12 11 11 2 2 8 10 19 3 4 1 8 15 8 3 5 7 1 3 10 2 10 2 3 8 0 16 0 2 1 9 8 3 6 9 11 2 2 1 16 4 5 16 12 9 2 4 4 17 5 14 4 8 8 16 7 13 13 11 12 2 3 9 7 5 8 0 12 6 3 12 6 5 6 9 11 12 0 7 2 3 2 16 9 5 6 18 8 3 3 6 1 10 6 4 0 4 16 6 1 1 4 8 7 5 7 5 3 4 7 23 16 2 2 2 12 12 11 23 10 9 5 4 7 11 9 3 2 12 11 2 11 6 19 3 1 12 15 12 11 3 6 14 6 16 3 10 7 4 20 8 7 7 18 7 28 4 16 4 16 11 11 6 2 21 17 17 32 4 1 21 20 23 7 27 15 20 21 15 18 28 13 12 8 25 8 0 26
570x812 8 5 1 3 4 10 1 2 3 4 10 6 0 5 1 1 2 0 6 2 3 11 0 0 2 2 2 4 3 5 5 4 7 5 6 2 7 0 8 9 1 3 6 2 0 2 6 2 1 2 12 2 2 6 0 7 0 0 2 6 1 8 2 0 2 0 6 1 2 1 3 7 2 2 1 2 0 8 6 2 7 1 3 2 0 5 5 2 1 0 0 0 6 2 19 2 0 0 4 5 7 0 2 6 13 2 5 1 0 0 5 4 7 2 1 1 10 9 2 16 3 4 1 5 3 4 3 3 5 9 2 16 1 2 1 8 4 3 5 3 2 2 6 2 2 6 0 10 9 1 5 3 0 8 2 12 3 9 3 2 1 2 4 15 3 0 4 2 5 17 10 2 6 0 4 5 5 9 5 6 5 3 4 0 0 3 3 5 10 4 0 0 6 10 4 1 3 14 9 7 2 2 3 10 7 18 4 5 1 4 13 7 4 0 4 2 20 2 13 1 6 3 4 2 6 12 9 5 10 2 0 10 14 6 2 10 4 10 15 8 15 9 5 3 2 5 4 1 13
612x827 10 9 18 6 8 9 1 5 8 2 4 1 1 5 4 7 5 2 9 3 14 10 1 2 1 2 1 8 8 1 4 15 1 7 6 0 2 4 1 14 5 6 10 4 7 3 9 4 2 1 9 1 2 7 0 10 11 7 3 0 0 1 0 5 7 2 8 6 6 1 3 12 4 3 4 0 8 6 3 0 5 10 7 0 8 8 2 0 4 1 10 0 2 5 7 3 4 2 0 1 2 0 11 1 9 0 0 0 4 7 3 12 3 2 3 1 5 9 2 5 6 7 0 3 2 2 5 0 1 0 5 1 6 1 4 1 2 4 2 7 7 10 0 8 3 0 0 1 8 0 9 6 0 3 1 17 7 3 9 1 0 0 0 1 1 2 8 1 14 8 3 12 2 3 0 3 8 9 4 0 9 4 1 15 2 0 7 6 1 1 14 10 6 9 3 13 7 2 3 9 13 1 12 2 2 9 4 12 12 4 5 16 7 13 8 8 15 4 13 2 7 5 5 3 2 10 8 11 6 1 1 6 5 7 2 11 4 10 7 5 11 3 12 4 6 7 0 3 7
431x883 12 5 7 1 7 15 9 4 10 12 3 7 1 1 3 5 10 3 1 9 9 6 4 5 9 0 1 1 11 9 18 1 4 13 4 2 2 0 2 1 0 3 6 5 1 2 3 8 5 6 6 2 8 4 19 7 4 4 6 2 0 8 15 4 2 0 0 12 3 2 5 2 13 6 3 3 4 6 3 9 8 4 10 10 0 8 4 1 0 11 2 1 2 0 7 2 5 1 4 9 7 4 3 10 2 4 1 9 0 0 4 3 4 12 2 16 1 5 0 7 10 1 5 6 3 8 9 3 11 1 12 16 4 10 2 5 6 16 2 0 5 6 11 3 0 5 10 12 10 2 15 2 1 9 1 5 6 8 12 3 1 13 5 0 1 5 5 4 13 5 14 19 7 6 4 6 26 17 14 11 6 12 6 8 10 9 9 6 4 5 3 1 20 13 7 5 2 10 2 11 14 7 3 10 4 18 15 5 3 3 6 4 9 7 8 3 14 5 21 3 7 3 7 3 1 12 8 8 44 4 0 10 13 7 3 13 11 21 21 18 7 42 13 7 6 13 10 0 19
667x885 3 4 6 1 1 9 4 1 0 6 1 0 1 7 3 1 0 0 4 1 2 0 4 4 5 2 3 6 1 5 3 9 5 1 2 5 6 2 1 14 1 4 0 3 0 1 5 0 1 0 2 3 3 7 0 11 2 5 5 0 8 5 8 11 3 5 0 7 4 1 1 3 5 0 0 1 8 4 0 8 6 6 2 1 0 5 4 5 2 0 5 4 1 5 3 4 1 0 2 3 3 2 6 1 0 0 1 0 0 2 2 9 10 3 1 2 7 4 0 0 0 7 5 0 2 8 5 4 3 4 1 5 3 2 4 6 1 1 1 4 0 0 5 1 0 0 3 4 4 1 5 7 1 0 0 13 4 3 4 3 2 5 18 5 6 6 6 3 5 0 7 3 6 7 0 6 3 5 3 4 10 6 2 2 0 8 0 2 0 4 5 3 2 5 7 3 8 6 4 0 1 4 13 17 0 6 0 2 2 2 4 7 7 2 5 4 5 3 5 1 7 6 3 2 2 2 3 3 2 2 2 8 11 11 3 4 10 6 9 3 6 2 2 2 2 2 3 2 4
504x978 3 6 1 9 6 5 5 8 0 0 3 3 3 1 5 0 0 7 0 2 1 2 0 1 5 1 7 5 3 1 17 3 9 0 0 0 7 1 1 1 4 5 8 1 5 5 7 4 0 7 1 3 6 0 3 1 4 1 5 2 4 7 2 0 0 0 0 11 5 7 3 3 3 5 2 1 4 10 0 0 0 7 3 1 2 0 4 0 2 5 0 4 0 1 2 4 0 5 7 0 6 2 5 4 5 0 0 10 0 3 2 0 3 2 0 7 5 2 0 9 4 3 3 8 1 1 5 5 0 11 8 0 0 1 0 2 0 0 0 0 0 0 1 5 5 5 1 14 1 1 5 0 10 1 0 1 2 0 6 0 0 4 2 1 4 1 0 3 7 4 8 0 4 8 0 0 3 2 6 5 7 2 0 4 5 1 6 0 1 1 2 0 10 6 0 9 0 4 1 2 8 6 1 4 3 0 4 10 3 0 0 0 0 3 1 2 4 1 7 0 6 4 2 0 0 9 3 11 13 0 1 2 7 3 0 6 6 4 13 3 6 8 7 10 4 3 0 0 9
727x85 0 1 6 3 0 28 11 6 0 2 0 7 0 1 7 3 0 5 0 0 1 7 0 4 3 2 6 2 8 0 3 14 7 2 8 0 2 8 1 3 0 8 0 8 3 3 5 6 2 4 6 6 0 2 5 4 2 7 4 1 5 5 0 0 1 2 0 0 5 3 5 2 10 5 1 0 0 1 3 4 1 10 5 0 0 10 0 0 1 4 0 3 1 4 0 4 2 0 0 8 6 3 1 1 12 10 6 10 3 6 1 1 1 6 12 3 0 0 6 2 0 3 8 4 0 3 3 0 4 1 0 3 4 0 0 7 2 0 0 0 2 0 7 0 1 5 0 2 1 1 3 0 1 3 9 1 7 0 2 5 9 0 3 5 2 6 0 2 2 6 12 1 0 0 0 0 3 1 6 1 3 1 0 12 3 2 5 4 5 1 1 0 3 1 4 4 2 1 0 2 1 6 7 0 0 1 6 1 4 10 5 0 1 5 4 4 5 2 6 2 2 3 2 3 2 3 7 2 4 3 6 2 7 3 3 8 6 2 2 5 3 4 5 3 0 4 4 1 9
459x87 11 3 9 0 1 40 1 7 7 3 0 12 3 5 9 5 16 10 3 11 5 19 10 10 9 6 12 8 1 11 42 10 1 9 6 0 3 0 4 8 12 8 5 1 2 13 2 7 2 6 2 3 1 2 9 7 4 11 13 2 5 6 7 11 7 0 2 4 5 0 14 10 4 3 12 8 8 7 5 9 11 1 1 8 3 4 6 11 1 5 2 0 10 9 2 4 5 14 3 5 9 4 4 11 11 8 2 9 7 5 10 1 2 0 9 7 2 12 11 5 10 10 0 21 4 14 6 10 8 3 9 8 6 7 2 14 0 2 14 9 1 8 5 5 2 6 1 9 4 4 24 7 8 15 14 2 0 10 3 3 0 10 3 11 0 11 3 5 8 7 4 31 14 3 9 10 3 13 0 5 11 15 2 13 4 5 4 16 10 0 2 2 5 5 5 1 3 13 12 1 2 9 15 10 3 13 4 2 7 0 10 8 8 2 26 10 24 6 25 5 10 17 9 7 3 19 12 15 47 8 3 24 13 16 6 14 9 12 8 16 15 35 18 13 9 21 12 1 13
524x188 2 4 4 3 3 11 0 5 4 2 4 9 0 3 9 8 0 1 8 4 5 0 2 4 4 1 4 0 7 4 4 3 0 12 3 12 3 4 2 0 0 9 5 6 5 4 8 4 2 10 10 4 9 6 3 0 0 4 2 2 6 3 13 0 4 5 3 11 5 8 10 6 0 5 1 1 0 11 2 1 0 4 6 6 0 4 0 0 3 1 7 3 8 4 13 7 15 12 2 6 7 5 0 3 2 4 1 10 0 7 0 5 1 6 8 5 7 7 3 3 4 5 3 1 0 5 3 1 9 2 5 5 0 0 3 12 2 9 4 1 7 1 3 3 2 5 10 9 2 4 1 1 6 0 2 4 1 5 4 8 7 6 6 5 0 6 1 6 8 1 3 8 4 0 6 1 13 5 6 9 10 2 0 2 16 5 5 0 0 4 5 1 3 10 4 9 4 3 5 6 4 8 3 5 1 3 6 2 6 8 5 1 0 10 22 12 23 4 24 4 5 13 4 6 4 15 12 10 29 9 4 12 13 11 5 12 8 18 16 12 2 11 7 3 6 13 2 0 14
653x305 5 3 7 0 0 7 6 12 0 4 1 4 0 2 3 1 0 6 0 2 0 0 1 2 0 2 1 0 5 7 2 2 1 5 5 1 0 6 4 16 1 2 3 3 3 0 7 0 0 1 0 0 10 0 1 0 0 3 0 4 0 3 3 6 1 4 2 9 0 4 0 10 6 3 2 4 0 1 2 4 2 7 8 2 8 0 0 3 0 8 1 1 1 6 1 0 1 0 0 5 0 0 0 0 0 7 0 5 5 0 4 3 6 5 1 1 0 10 8 7 1 4 2 2 4 6 4 2 4 0 3 0 4 1 2 8 7 1 0 3 6 5 0 5 5 2 0 4 1 5 14 5 2 5 1 17 2 1 4 2 3 3 1 16 8 5 3 8 3 11 4 3 6 4 0 2 1 0 3 0 4 2 0 2 4 3 3 0 3 1 0 0 0 1 6 0 2 4 17 0 5 2 8 2 2 1 1 3 2 4 0 2 0 8 13 5 14 5 11 0 6 5 2 2 7 8 4 3 6 2 4 4 8 5 2 9 3 5 2 5 4 0 1 3 0 3 4 3 5
