,x,y,z,field,total_count
98,417,376,2,34,6396
99,433,453,2,34,4161
100,541,470,2,34,4749
101,229,474,2,34,4705
102,341,484,2,34,2872
103,449,568,2,34,1862
104,341,664,2,34,3623
105,178,693,2,34,3775
106,712,721,2,34,3384
107,428,228,3,34,5781
108,746,249,3,34,5944
109,905,346,3,34,3206
110,29,406,3,34,2201
111,786,493,3,34,3248
112,852,494,3,34,3578
113,425,524,3,34,5173
114,753,556,3,34,2695
115,26,602,3,34,1573
116,112,802,3,34,4073
117,44,852,3,34,1421
118,9,864,3,34,132
119,814,176,4,34,6689
120,902,246,4,34,2934
121,265,441,4,34,6135
122,602,480,4,34,5709
123,174,824,4,34,3994
124,2,905,4,34,54
125,40,917,4,34,1201
126,800,60,5,34,1946
127,762,104,5,34,3055
128,610,358,5,34,4720
129,378,390,5,34,4886
130,653,528,5,34,4580
131,5,686,5,34,1026
132,713,184,6,34,4022
133,857,262,6,34,2837
134,338,344,6,34,6855
135,749,466,6,34,4465
136,92,736,6,34,4368
137,864,205,7,34,3112
138,688,549,7,34,3172
139,96,568,7,34,5014
140,98,605,7,34,4205
141,998,312,8,34,4360
142,88,456,8,34,2779
143,301,506,8,34,6219
144,697,629,8,34,3077
145,6,642,8,34,682
146,170,646,8,34,5971
147,728,648,8,34,2848
148,764,666,8,34,2299
149,749,697,8,34,2542
150,689,304,9,34,6255
151,562,361,9,34,4493
152,738,378,9,34,9168
153,34,550,9,34,3517
154,841,578,9,34,2629
155,277,618,9,34,9524
156,373,641,9,34,6241
157,162,728,9,34,4304
158,42,745,9,34,3358
159,934,313,10,34,3539
160,810,445,10,34,6689
161,977,460,10,34,2145
162,876,461,10,34,6478
163,524,554,10,34,8206
164,617,648,10,34,8249
165,258,736,10,34,8146
166,306,562,11,34,5379
167,374,589,11,34,7036
168,277,676,11,34,7233
169,220,769,11,34,6923
170,846,112,12,34,3916
171,669,237,12,34,8919
172,544,298,12,34,11305
173,352,508,12,34,3959
174,730,514,12,34,5343
175,168,516,12,34,5836
176,700,594,12,34,2915
177,100,666,12,34,3563
178,333,701,12,34,7925
179,4,760,12,34,69
180,689,122,13,34,2849
181,738,154,13,34,5305
182,309,453,13,34,5845
183,401,481,13,34,2522
184,470,556,13,34,4794
185,941,188,14,34,5687
186,844,238,14,34,3339
187,938,240,14,34,2898
188,462,268,14,34,5522
189,886,317,14,34,4614
190,654,377,14,34,5632
191,905,400,14,34,6088
192,117,440,14,34,5044
193,368,460,14,34,3997
194,485,472,14,34,7993
195,573,506,14,34,4900
196,609,565,14,34,8809
197,652,616,14,34,6624
198,433,656,14,34,3702
199,169,784,14,34,4788
200,814,284,15,34,7315
201,845,405,15,34,7528
202,149,564,15,34,4968
203,774,633,15,34,5038
204,29,789,15,34,1045
205,677,156,16,34,4854
206,666,338,16,34,5313
207,731,430,16,34,4220
208,710,752,16,34,2657
209,81,824,16,34,1596
210,893,98,17,34,6537
211,185,469,17,34,5487
212,522,500,17,34,5256
213,429,572,17,34,4713
214,326,625,17,34,5512
215,73,776,17,34,2002
216,40,870,17,34,1449
217,725,274,18,34,6119
218,974,358,18,34,6253
219,476,598,18,34,3882
220,440,618,18,34,4761
221,760,122,19,34,3124
222,937,150,19,34,5266
223,344,400,19,34,5760
224,708,473,19,34,5179
225,841,172,20,34,4156
226,660,438,20,34,6922
227,785,568,20,34,4043
228,776,513,21,34,2626
229,136,672,21,34,2574
230,388,437,22,34,3497
231,727,449,22,34,1998
232,450,493,22,34,3722
233,189,740,22,34,3608
234,994,250,23,34,4343
235,1020,289,23,34,1161
236,146,484,24,34,3656
237,101,696,24,34,2463
238,869,334,25,34,3408
239,1018,428,25,34,2821
240,314,674,25,34,2907
241,656,212,27,34,5650
