,x,y,z,field,total_count
3224,342,436,1,53,983
3225,507,440,1,53,929
3226,618,482,1,53,1620
3227,523,494,1,53,1128
3228,369,512,1,53,1010
3229,609,519,1,53,1921
3230,432,542,1,53,627
3231,534,599,1,53,833
3232,495,621,1,53,1167
3233,373,625,1,53,1088
3234,480,674,1,53,1817
3235,579,750,1,53,1635
3236,254,758,1,53,902
3237,400,773,1,53,1225
3238,519,845,1,53,1226
3239,513,900,1,53,1001
3240,257,912,1,53,515
3241,472,917,1,53,1666
3242,434,929,1,53,640
3243,357,955,1,53,629
3244,847,54,2,53,1450
3245,815,80,2,53,2283
3246,775,123,2,53,2183
3247,659,136,2,53,1003
3248,607,159,2,53,1243
3249,486,226,2,53,1088
3250,422,333,2,53,1081
3251,736,356,2,53,2708
3252,609,372,2,53,1518
3253,515,466,2,53,1105
3254,596,611,2,53,1892
3255,531,634,2,53,1524
3256,615,689,2,53,2397
3257,452,734,2,53,2328
3258,485,761,2,53,1284
3259,371,773,2,53,1187
3260,316,867,2,53,830
3261,403,869,2,53,849
3262,375,927,2,53,998
3263,457,952,2,53,1010
3264,667,75,3,53,1353
3265,544,77,3,53,708
3266,505,83,3,53,1174
3267,635,84,3,53,917
3268,581,168,3,53,979
3269,646,237,3,53,1722
3270,777,309,3,53,2765
3271,666,396,3,53,2153
3272,461,491,3,53,1327
3273,483,530,3,53,1203
3274,406,597,3,53,1143
3275,531,667,3,53,1416
3276,359,739,3,53,1561
3277,284,933,3,53,801
3278,391,959,3,53,1138
3279,756,14,4,53,2108
3280,646,15,4,53,1609
3281,707,21,4,53,2011
3282,681,120,4,53,1622
3283,403,139,4,53,1423
3284,626,140,4,53,1443
3285,757,156,4,53,2751
3286,605,286,4,53,1486
3287,518,364,4,53,1142
3288,492,393,4,53,1584
3289,535,524,4,53,1705
3290,631,598,4,53,4047
3291,417,624,4,53,1090
3292,373,812,4,53,1497
3293,347,895,4,53,1242
3294,298,980,4,53,994
3295,376,993,4,53,983
3296,291,1016,4,53,485
3297,539,172,5,53,1508
3298,600,226,5,53,873
3299,513,245,5,53,1654
3300,597,247,5,53,1505
3301,555,268,5,53,1783
3302,704,415,5,53,3963
3303,530,426,5,53,1525
3304,429,462,5,53,1140
3305,425,561,5,53,923
3306,466,626,5,53,1384
3307,363,669,5,53,1660
3308,537,708,5,53,1642
3309,396,730,5,53,1241
3310,339,788,5,53,2110
3311,405,802,5,53,1629
3312,432,807,5,53,1507
3313,494,938,5,53,1611
3314,328,948,5,53,1149
3315,414,983,5,53,1000
3316,557,17,6,53,1432
3317,521,64,6,53,1128
3318,608,74,6,53,1580
3319,592,116,6,53,1410
3320,722,221,6,53,2622
3321,467,314,6,53,2469
3322,555,314,6,53,1811
3323,562,499,6,53,2740
3324,411,520,6,53,1031
3325,580,572,6,53,2900
3326,436,710,6,53,1415
3327,628,731,6,53,2732
3328,287,740,6,53,1230
3329,276,761,6,53,1104
3330,426,843,6,53,2087
3331,354,845,6,53,1167
3332,461,987,6,53,1722
3333,752,49,7,53,2014
3334,709,59,7,53,1691
3335,649,111,7,53,1740
3336,532,129,7,53,1753
3337,695,165,7,53,3064
3338,552,198,7,53,1144
3339,505,273,7,53,1804
3340,435,297,7,53,2316
3341,529,339,7,53,1157
3342,486,434,7,53,1281
3343,699,451,7,53,2947
3344,460,457,7,53,1597
3345,414,491,7,53,1496
3346,642,535,7,53,3147
3347,671,32,8,53,2247
3348,578,56,8,53,1151
3349,812,117,8,53,5157
3350,512,195,8,53,2070
3351,802,269,8,53,3371
3352,576,287,8,53,1265
3353,502,300,8,53,1812
3354,594,327,8,53,2010
3355,662,339,8,53,1889
3356,628,396,8,53,1932
3357,593,456,8,53,2484
3358,648,484,8,53,3612
3359,448,548,8,53,1474
3360,433,587,8,53,1503
3361,290,720,8,53,1098
3362,325,751,8,53,1983
3363,467,877,8,53,1918
3364,537,949,8,53,2930
3365,882,70,9,53,3381
3366,576,89,9,53,1508
3367,477,203,9,53,844
3368,681,234,9,53,2465
3369,550,243,9,53,1901
3370,457,271,9,53,2053
3371,644,366,9,53,1672
3372,549,372,9,53,1810
3373,434,428,9,53,1355
3374,361,453,9,53,1135
3375,360,531,9,53,1192
3376,515,808,9,53,2852
3377,354,973,9,53,1112
3378,609,40,10,53,1522
3379,712,97,10,53,2677
3380,500,152,10,53,1968
3381,652,159,10,53,2097
3382,413,168,10,53,804
3383,478,174,10,53,1550
3384,603,183,10,53,1439
3385,581,218,10,53,1573
3386,700,268,10,53,2448
3387,770,286,10,53,1943
3388,391,396,10,53,1562
3389,438,409,10,53,1149
3390,403,453,10,53,1280
3391,377,478,10,53,1330
3392,716,526,10,53,6235
3393,513,560,10,53,2665
3394,478,593,10,53,2722
3395,290,700,10,53,1244
3396,419,771,10,53,1445
3397,612,808,10,53,3106
3398,302,876,10,53,904
3399,317,922,10,53,1316
3400,499,1001,10,53,1516
3401,238,1014,10,53,440
3402,611,14,11,53,1486
3403,762,87,11,53,2430
3404,565,145,11,53,2131
3405,441,154,11,53,2056
3406,622,217,11,53,1522
3407,672,291,11,53,2120
3408,464,363,11,53,2439
3409,436,512,11,53,1303
3410,591,528,11,53,2794
3411,548,536,11,53,2537
3412,461,647,11,53,1579
3413,496,692,11,53,2535
3414,331,711,11,53,2931
3415,475,829,11,53,2906
3416,547,835,11,53,2330
3417,334,865,11,53,1107
3418,394,890,11,53,1154
3419,434,907,11,53,1693
3420,495,964,11,53,1394
3421,727,150,12,53,3092
3422,658,195,12,53,2813
3423,636,286,12,53,1940
3424,695,341,12,53,1967
3425,587,387,12,53,2208
3426,468,413,12,53,1693
3427,517,484,12,53,1490
3428,526,594,12,53,2178
3429,437,688,12,53,1805
3430,335,824,12,53,1685
3431,540,904,12,53,2670
3432,724,329,13,53,2258
3433,588,428,13,53,2213
3434,668,429,13,53,2956
3435,477,504,13,53,1072
3436,621,576,13,53,2394
3437,390,709,13,53,1927
3438,567,773,13,53,2891
3439,474,783,13,53,2341
3440,513,854,13,53,1869
3441,500,892,13,53,1939
3442,413,943,13,53,1100
3443,793,42,14,53,1698
3444,664,58,14,53,1775
3445,562,81,14,53,683
3446,539,94,14,53,1216
3447,752,227,14,53,2915
3448,667,319,14,53,1668
3449,511,323,14,53,1304
3450,582,350,14,53,2188
3451,507,386,14,53,1170
3452,406,544,14,53,934
3453,505,637,14,53,1748
3454,298,950,14,53,763
3455,272,964,14,53,827
3456,614,312,15,53,1728
3457,631,459,15,53,2250
3458,386,513,15,53,830
3459,381,591,15,53,943
3460,602,648,15,53,4000
3461,376,653,15,53,1834
3462,562,707,15,53,2205
3463,420,732,15,53,1189
3464,383,851,15,53,1498
3465,828,52,16,53,1631
3466,606,108,16,53,1335
3467,515,119,16,53,1352
3468,495,456,16,53,1231
3469,556,459,16,53,2682
3470,399,567,16,53,1604
3471,408,659,16,53,1462
3472,592,745,16,53,1905
3473,490,750,16,53,2412
3474,526,776,16,53,3279
3475,420,875,16,53,1247
3476,434,981,16,53,1037
3477,799,55,17,53,1376
3478,633,65,17,53,1732
3479,597,135,17,53,1166
3480,709,194,17,53,3293
3481,597,201,17,53,1320
3482,537,223,17,53,1490
3483,433,336,17,53,2177
3484,623,347,17,53,1788
3485,554,395,17,53,1653
3486,534,415,17,53,986
3487,491,544,17,53,1404
3488,427,664,17,53,1352
3489,512,668,17,53,1562
3490,409,1003,17,53,1177
3491,586,41,18,53,934
3492,560,55,18,53,1000
3493,625,88,18,53,1073
3494,700,121,18,53,1688
3495,758,195,18,53,3259
3496,719,298,18,53,2562
3497,689,377,18,53,2761
3498,618,423,18,53,2184
3499,670,543,18,53,3886
3500,436,614,18,53,1382
3501,552,659,18,53,1784
3502,651,674,18,53,3164
3503,639,700,18,53,1940
3504,390,911,18,53,1002
3505,363,936,18,53,943
3506,301,997,18,53,639
3507,785,17,19,53,2444
3508,690,58,19,53,1523
3509,664,102,19,53,1493
3510,488,124,19,53,1337
3511,760,136,19,53,2427
3512,591,154,19,53,971
3513,800,207,19,53,4543
3514,626,261,19,53,1740
3515,543,340,19,53,1453
3516,502,362,19,53,848
3517,464,514,19,53,647
3518,549,599,19,53,1875
3519,402,631,19,53,1278
3520,556,634,19,53,2024
3521,596,705,19,53,2120
3522,424,707,19,53,815
3523,511,726,19,53,2453
3524,437,758,19,53,1350
3525,459,811,19,53,1328
3526,482,864,19,53,1445
3527,324,909,19,53,839
3528,516,917,19,53,1348
3529,369,999,19,53,770
3530,336,1015,19,53,642
3531,913,64,20,53,4897
3532,568,179,20,53,1110
3533,541,188,20,53,473
3534,629,225,20,53,724
3535,569,298,20,53,919
3536,421,408,20,53,623
3537,589,610,20,53,1923
3538,382,747,20,53,1200
3539,436,785,20,53,1151
3540,373,805,20,53,1054
3541,356,869,20,53,847
3542,518,979,20,53,1949
3543,524,402,21,53,1066
3544,505,510,21,53,1221
3545,443,646,21,53,1048
3546,366,687,21,53,1417
3547,543,717,21,53,1362
3548,712,18,22,53,1430
3549,772,60,22,53,1171
3550,632,138,22,53,922
3551,605,240,22,53,368
3552,752,257,22,53,2029
3553,665,258,22,53,1511
3554,509,260,22,53,968
3555,499,337,22,53,806
3556,478,489,22,53,716
3557,617,546,22,53,1507
3558,408,823,22,53,1187
3559,735,73,23,53,1392
3560,643,195,23,53,1404
3561,581,263,23,53,1011
3562,623,481,23,53,845
3563,562,510,23,53,1234
3564,553,564,23,53,2075
3565,370,836,23,53,872
3566,366,908,23,53,740
3567,643,34,24,53,1246
3568,844,43,24,53,2736
3569,783,100,24,53,1670
3570,669,223,24,53,1603
3571,716,244,24,53,1935
3572,529,312,24,53,1234
3573,715,449,24,53,3326
3574,407,683,24,53,1206
3575,370,776,24,53,803
3576,713,46,25,53,1049
3577,612,99,25,53,527
3578,659,130,25,53,732
3579,568,432,25,53,1355
3580,536,462,25,53,1298
3581,625,306,26,53,514
3582,673,79,27,53,782
3583,609,179,27,53,665
3584,756,35,28,53,937
3585,693,68,30,53,493
