 Tal1 Dmbx1 Emx2 Uncx Paxip1 Ctnnb1 Prdm1 Rybp Nfkb2 Tfdp2 Grhl1 Sp8 Irf2 Zfp287 Esr2 Zfp128 Vav1 Sp1 Ppargc1b Sp7 Pin1 Nfya Vsx1 Klf1 Vsx2 Mybl1 Mybl2 Rnf2 Blzf1 Topors Nr3c2 Nfia Taf6l Nr4a3 Hoxd12 Hoxd13 Ttf1 Sox9 Nr2e1 Polr2b Hltf Sox6 Pbx3 Sox5 Foxa1 Cdc5l Cebpg Ciita Rest Ets1 Mafk Tbx15 Scml2 Myb Clock Rbpj Foxc1 Zfp422 Pias3 Runx1 Ppara Relb Vdr Cdc6 Arid3a Lhx1 Hoxb8 Hoxb9 Hic1 Lhx6 Six4 Hoxb3 Zfp263 Cbfa2t3 Ehf Nhlh1 Gata6 Gata4 Gata5 Lpp Nfe2l3 Nfe2l2 Tmf1 Gli1 Tbx2 En1 En2 Hnf1a Tbx4 Zfp423 Elf1 Foxb1 Elf2 Elf4 Mxd1 Wt1 Rfx4 Bhlhe41 Sox13 Taf4b Rfx2 Sox17 Ahr Sall4 Med14 Smyd1 Sall3 Arid2 Zfp64 Pgr Trps1 Hoxa1 Bach2 Bach1 Notch3 Pknox1 Pknox2 Sin3a Etv3 Smad9 Smad5 Alx1 Egf Mn1 Nkx3-1 Rbak Gabpa Nfkbiz Zscan21 Trp73 E2f7 Esrrg Rbpjl Nfatc4 Nr5a1 Neurod4 Esrrb Tbx21 Rorc Mitf Pax7 Pax6 Pax1 Pax3 Pax2 Pax9 Zkscan17 Gfi1 Mzf1 Runx3 Smarca4 Foxd4 Foxd3 Creb1 Srebf1 Sox11 Gmeb2 Irx4 Pou3f2 Ikzf1 Tcf23 Mtf2 Npas3 Nfatc3 Nfil3 Phox2b Plag1 E2f2 Ddx3x Taf2 Pou4f1 Trim33 Tsc2 Lmx1a Nr2f2 Eomes Wwtr1 Foxo1 Ar Zfp354a Elk4 Foxo4 Sall1 Mycn Maml3 Foxp3 Atm Uaca Tbr1 Pml Lhx3 Atr Zbtb33 Ptch1 Lhx5 Barhl1 Irx5 Tfap2b Tfap2e Rxra Rxrb Gli2 Gli3 Zic4 Zic5 Zic2 Zic3 Satb1 Onecut2 Foxn4 Mnat1 Foxn1 Dlx2 Vezf1 sncg sst th vip xdh slc17a8 slc5a7 slc6a3 slc6a8 smad3 opalin pdgfra palvb reln slc17a7 lyve mfge8 mog myl14 ndnf ctss foxj1 gad1 htr3a igtp acta2 alldh1l1 camk2 chat cldn5 ngef tiam1 slc1a2 gja1 fbll1
417x376 25 17 29 18 17 67 24 32 29 15 25 25 41 34 9 14 18 19 29 40 16 36 36 21 41 22 24 27 20 31 58 47 25 34 18 6 22 24 27 17 12 18 23 39 15 28 19 21 11 19 9 20 23 15 44 21 12 31 24 17 30 40 20 13 23 12 33 42 20 19 23 30 45 47 25 14 28 23 16 26 25 20 26 20 15 25 16 16 26 14 19 21 16 20 26 6 37 14 19 8 19 17 18 17 47 31 8 20 8 20 18 21 23 22 10 22 24 9 30 7 27 18 8 9 25 24 20 21 50 38 28 8 13 15 21 27 18 20 18 23 16 23 23 6 34 20 29 29 16 19 27 27 14 35 24 30 13 13 33 20 26 24 13 40 25 30 28 13 37 60 18 39 58 17 17 50 20 12 24 23 28 30 17 18 32 21 21 13 29 18 16 13 12 38 22 40 30 8 19 25 20 18 23 22 17 32 26 10 17 41 25 25 11 39 35 24 67 21 54 13 47 41 24 51 12 69 56 34 92 19 29 36 45 33 27 59 25 41 38 34 28 68 50 28 4 36 54 17 44
433x453 18 17 9 15 5 58 23 29 13 22 22 21 6 9 12 9 14 29 18 14 17 21 13 16 21 6 22 20 1 11 27 14 12 29 13 12 27 14 23 20 3 14 21 35 28 18 24 11 4 15 23 12 5 12 25 30 13 10 25 7 22 35 14 3 8 12 12 7 16 19 4 25 17 27 8 10 11 8 21 12 22 23 20 10 20 18 7 9 2 12 17 2 18 21 23 2 13 2 7 6 21 2 10 8 4 21 11 13 13 5 14 18 20 11 10 16 1 25 6 11 6 27 3 28 7 7 18 4 12 11 17 14 21 29 20 6 11 9 8 13 14 18 9 23 29 21 13 29 14 7 21 16 24 21 14 17 8 13 17 7 11 6 16 27 31 19 10 15 17 19 8 11 22 18 1 23 12 7 21 27 18 17 7 9 26 11 23 8 27 2 16 9 13 8 22 6 23 26 7 18 22 9 20 21 9 14 12 8 15 20 23 21 5 21 19 14 56 20 28 7 22 21 15 28 9 32 31 25 66 6 20 40 27 28 18 44 31 31 18 23 20 57 34 19 5 22 34 7 19
541x470 29 18 12 18 15 80 24 16 20 24 8 11 12 8 18 21 15 8 18 24 20 25 5 15 22 6 11 22 30 18 36 6 14 31 18 11 10 22 20 40 8 32 14 16 23 8 25 8 13 18 9 8 15 9 39 27 16 10 9 5 13 25 23 13 20 7 12 23 22 14 17 31 21 29 7 19 16 18 7 13 17 9 18 9 25 27 8 5 16 24 8 9 17 10 28 10 21 6 21 23 17 2 7 12 13 14 11 14 8 34 3 15 14 17 20 7 15 24 33 1 17 16 13 44 25 31 15 9 24 16 13 27 4 19 13 11 13 17 19 12 15 7 11 9 15 15 31 37 18 10 71 29 25 29 14 29 11 7 27 11 29 14 16 11 14 10 24 15 25 24 11 25 28 8 16 11 18 18 20 19 28 23 26 25 7 16 18 20 18 15 24 14 19 15 21 18 18 25 10 24 27 16 3 14 11 10 36 8 15 23 25 14 8 26 25 14 68 10 42 7 29 21 27 30 5 46 45 24 112 10 24 21 42 26 9 51 23 29 27 34 22 32 17 13 4 22 21 5 22
229x474 13 14 31 10 15 57 21 31 15 20 13 13 13 23 25 6 11 22 17 3 20 17 13 7 24 12 29 2 17 19 41 10 21 34 10 4 17 17 24 20 8 16 13 49 9 19 9 5 7 15 18 13 11 23 13 19 17 16 9 28 20 6 6 20 15 23 1 22 22 20 19 37 17 33 7 20 14 6 14 22 9 13 21 16 1 12 8 18 10 17 19 21 11 14 20 5 22 11 7 12 13 15 28 20 25 8 13 6 6 12 16 16 17 10 13 27 8 13 26 20 8 13 12 19 19 13 20 18 31 9 10 36 17 28 6 12 19 21 22 22 24 3 14 25 20 21 18 39 10 14 43 23 15 23 22 23 16 8 13 7 19 9 17 13 10 13 15 9 29 18 19 18 32 14 18 23 31 19 36 19 18 21 10 18 10 19 26 31 29 10 12 18 25 26 21 16 16 14 26 32 15 17 9 24 20 30 15 11 19 17 16 20 12 22 19 14 54 12 44 4 38 33 20 34 10 39 40 21 77 6 23 26 36 44 12 39 25 43 33 23 26 40 25 18 4 17 30 10 33
341x484 16 18 8 7 19 28 5 17 17 13 23 9 5 6 7 3 13 12 9 11 7 10 4 17 12 8 12 7 12 8 20 5 10 19 10 1 17 4 12 10 8 7 13 23 7 13 6 9 13 9 6 5 11 15 32 25 10 12 16 9 15 4 7 6 15 9 6 11 6 11 6 22 13 23 11 10 5 6 7 16 4 7 16 6 2 2 8 19 8 5 10 15 23 5 9 18 3 1 5 7 12 5 13 13 23 3 4 18 11 9 5 3 8 8 11 15 3 4 20 11 12 19 6 9 7 10 11 5 15 13 6 5 5 10 7 25 8 23 10 2 1 0 16 5 15 13 14 12 4 11 24 9 3 15 5 8 1 6 15 7 6 10 14 7 17 8 5 20 8 12 7 24 20 4 17 5 12 9 10 17 17 6 9 5 17 4 23 20 7 10 7 5 15 8 5 13 4 6 8 19 9 2 7 10 7 10 5 9 4 16 17 10 0 18 12 12 31 5 37 4 21 16 12 18 1 32 30 19 75 5 8 14 25 21 9 32 11 27 22 11 18 22 25 16 6 13 8 1 16
449x568 3 2 6 3 9 16 5 0 3 9 5 7 7 8 8 7 7 5 1 8 10 7 3 3 16 3 1 12 4 4 7 4 5 16 0 1 4 5 10 10 2 11 4 4 10 3 6 2 5 1 8 5 2 1 10 20 4 10 3 12 2 5 7 9 2 6 6 5 14 18 2 11 8 23 3 7 3 4 0 10 4 21 19 1 1 12 11 2 6 7 2 3 4 4 0 5 6 0 2 2 10 11 7 12 14 4 3 12 9 2 1 9 3 1 2 3 7 10 5 7 6 11 7 17 0 6 9 2 6 4 5 5 7 7 1 5 6 3 8 12 5 14 8 10 9 9 8 12 6 0 18 7 12 3 1 1 5 3 10 9 5 12 9 17 1 1 4 4 5 5 2 10 3 3 7 14 10 13 0 17 8 3 9 8 11 3 7 4 1 2 11 5 14 17 10 5 5 14 12 10 2 4 2 9 9 0 4 4 6 4 12 5 3 7 15 3 27 8 21 0 14 9 7 25 5 13 17 7 31 5 7 17 23 20 6 14 24 27 14 12 10 18 11 9 1 10 9 4 14
341x664 22 12 29 4 22 34 13 33 18 12 10 2 13 7 18 19 16 11 8 16 3 18 9 18 14 2 7 24 10 11 55 10 15 25 8 2 15 12 6 20 21 11 5 9 8 13 18 3 14 2 14 5 9 11 23 17 16 7 4 14 14 16 10 13 18 8 8 37 14 12 24 25 15 3 35 20 9 2 12 18 0 12 40 13 7 12 15 4 17 16 6 6 23 7 6 3 8 6 6 4 11 3 12 10 18 7 6 12 11 3 19 9 5 20 17 13 4 19 28 9 14 18 3 22 13 17 15 10 21 16 19 33 4 20 17 9 10 20 14 19 14 5 7 5 0 11 21 14 5 2 34 8 10 10 10 25 15 5 12 14 14 17 14 9 11 9 14 12 23 10 9 25 14 19 3 7 12 7 27 3 4 8 16 9 22 17 19 27 16 10 17 25 15 21 12 24 10 5 19 10 15 12 18 1 4 13 10 11 18 5 14 11 3 21 19 10 48 16 33 2 18 22 18 32 4 37 40 22 69 5 17 17 32 32 9 31 18 39 28 20 16 23 22 12 5 18 12 5 23
178x693 21 21 16 16 12 31 18 5 15 12 10 26 13 7 20 7 13 13 25 28 16 10 10 28 12 8 7 18 2 24 28 3 14 29 8 5 16 3 14 16 3 15 11 10 9 10 16 12 15 1 17 12 8 18 26 12 6 15 33 17 18 12 15 24 4 8 1 3 9 21 6 19 12 24 9 19 10 20 7 15 7 4 20 13 18 20 14 7 10 23 15 4 7 9 15 5 13 14 5 19 9 5 14 11 8 9 5 22 14 5 0 4 15 16 19 30 10 15 6 21 13 4 5 64 8 21 15 8 20 22 11 18 1 22 11 19 19 15 3 6 4 10 10 18 22 16 21 17 22 10 40 4 0 5 10 19 1 11 10 10 19 17 15 15 24 15 18 3 9 27 5 35 24 15 8 26 11 17 15 8 21 17 24 18 18 19 18 9 16 7 7 9 22 43 29 16 16 18 17 39 10 9 8 7 14 19 25 16 8 25 8 18 6 19 10 12 27 10 42 4 20 22 18 33 2 35 32 22 69 7 14 26 37 30 8 34 17 31 22 14 15 16 13 12 3 12 2 5 31
712x721 12 11 5 16 15 37 35 18 11 7 7 20 5 13 10 13 9 15 21 23 13 11 7 16 4 16 16 13 13 14 7 16 10 3 9 18 20 27 18 12 11 16 16 14 2 17 8 19 15 16 17 11 6 9 19 27 12 11 16 7 6 19 5 20 1 10 4 11 8 17 8 22 24 5 17 6 2 22 13 14 22 12 10 6 4 3 14 12 11 19 9 4 20 6 22 16 5 13 16 8 10 16 10 14 25 13 4 15 13 12 13 8 9 16 16 13 3 12 18 20 14 17 12 26 11 19 18 6 9 6 14 11 4 26 11 9 19 19 8 1 9 11 8 7 14 16 8 9 17 12 17 8 5 14 1 12 6 8 10 9 17 9 12 18 16 13 12 22 18 10 3 18 25 16 13 6 22 12 10 7 6 8 3 12 23 5 1 12 5 14 20 3 9 14 17 18 15 11 21 17 8 8 7 19 49 19 10 5 13 20 17 7 4 16 9 6 39 13 36 2 23 22 17 19 5 34 29 17 26 8 14 17 22 24 13 30 21 27 18 12 19 23 21 10 3 22 14 5 27
428x228 21 30 12 7 17 53 26 25 16 22 21 14 4 33 13 11 13 32 22 22 20 37 10 7 19 19 26 25 5 26 80 16 11 29 15 14 28 25 12 45 13 25 27 22 9 16 24 10 17 31 39 26 22 22 21 17 24 10 22 17 18 16 19 13 27 22 21 11 31 19 27 19 13 12 26 9 18 18 14 33 26 16 22 14 5 15 10 6 24 19 29 12 25 21 30 15 21 10 14 19 17 27 13 24 26 11 15 15 26 28 13 24 7 18 5 17 22 28 17 23 24 20 17 39 22 11 29 19 49 14 35 41 18 16 11 15 13 37 5 34 19 11 17 19 20 18 19 17 24 27 75 24 32 16 19 5 15 25 10 9 11 20 20 22 5 32 23 18 39 21 14 31 22 10 10 37 10 11 16 15 33 32 24 22 32 14 27 10 39 18 11 15 27 41 21 30 31 21 24 14 27 16 21 15 16 23 34 31 21 30 23 14 6 43 34 25 69 13 57 9 38 44 29 53 8 59 50 33 109 12 25 36 35 44 19 70 25 58 38 31 30 58 44 28 3 25 25 7 43
