 Tal1 Dmbx1 Emx2 Uncx Paxip1 Ctnnb1 Prdm1 Rybp Nfkb2 Tfdp2 Grhl1 Sp8 Irf2 Zfp287 Esr2 Zfp128 Vav1 Sp1 Ppargc1b Sp7 Pin1 Nfya Vsx1 Klf1 Vsx2 Mybl1 Mybl2 Rnf2 Blzf1 Topors Nr3c2 Nfia Taf6l Nr4a3 Hoxd12 Hoxd13 Ttf1 Sox9 Nr2e1 Polr2b Hltf Sox6 Pbx3 Sox5 Foxa1 Cdc5l Cebpg Ciita Rest Ets1 Mafk Tbx15 Scml2 Myb Clock Rbpj Foxc1 Zfp422 Pias3 Runx1 Ppara Relb Vdr Cdc6 Arid3a Lhx1 Hoxb8 Hoxb9 Hic1 Lhx6 Six4 Hoxb3 Zfp263 Cbfa2t3 Ehf Nhlh1 Gata6 Gata4 Gata5 Lpp Nfe2l3 Nfe2l2 Tmf1 Gli1 Tbx2 En1 En2 Hnf1a Tbx4 Zfp423 Elf1 Foxb1 Elf2 Elf4 Mxd1 Wt1 Rfx4 Bhlhe41 Sox13 Taf4b Rfx2 Sox17 Ahr Sall4 Med14 Smyd1 Sall3 Arid2 Zfp64 Pgr Trps1 Hoxa1 Bach2 Bach1 Notch3 Pknox1 Pknox2 Sin3a Etv3 Smad9 Smad5 Alx1 Egf Mn1 Nkx3-1 Rbak Gabpa Nfkbiz Zscan21 Trp73 E2f7 Esrrg Rbpjl Nfatc4 Nr5a1 Neurod4 Esrrb Tbx21 Rorc Mitf Pax7 Pax6 Pax1 Pax3 Pax2 Pax9 Zkscan17 Gfi1 Mzf1 Runx3 Smarca4 Foxd4 Foxd3 Creb1 Srebf1 Sox11 Gmeb2 Irx4 Pou3f2 Ikzf1 Tcf23 Mtf2 Npas3 Nfatc3 Nfil3 Phox2b Plag1 E2f2 Ddx3x Taf2 Pou4f1 Trim33 Tsc2 Lmx1a Nr2f2 Eomes Wwtr1 Foxo1 Ar Zfp354a Elk4 Foxo4 Sall1 Mycn Maml3 Foxp3 Atm Uaca Tbr1 Pml Lhx3 Atr Zbtb33 Ptch1 Lhx5 Barhl1 Irx5 Tfap2b Tfap2e Rxra Rxrb Gli2 Gli3 Zic4 Zic5 Zic2 Zic3 Satb1 Onecut2 Foxn4 Mnat1 Foxn1 Dlx2 Vezf1 sncg sst th vip xdh slc17a8 slc5a7 slc6a3 slc6a8 smad3 opalin pdgfra palvb reln slc17a7 lyve mfge8 mog myl14 ndnf ctss foxj1 gad1 htr3a igtp acta2 alldh1l1 camk2 chat cldn5 ngef tiam1 slc1a2 gja1 fbll1
444x342 14 13 5 6 0 23 9 18 8 8 4 5 5 10 18 5 7 9 11 23 24 8 3 5 7 7 1 8 2 1 2 15 5 14 3 5 8 0 15 7 2 18 12 23 2 5 7 4 10 9 5 7 10 6 10 20 7 8 8 3 29 19 15 15 7 3 1 2 7 3 9 7 17 6 3 3 6 5 1 13 9 9 7 3 0 8 10 3 2 16 0 1 6 9 9 0 4 14 4 20 12 3 8 11 8 5 10 9 7 9 8 15 10 27 11 16 0 4 2 13 7 7 4 4 8 8 4 9 4 4 5 0 3 11 13 16 2 6 9 5 7 9 7 7 9 4 0 24 9 7 19 6 0 13 0 7 8 9 2 0 15 9 6 2 2 12 17 5 12 20 6 20 8 4 2 14 18 5 11 12 8 1 0 15 19 2 5 3 13 1 7 5 20 21 14 10 11 0 10 7 10 4 11 13 9 11 6 11 1 3 15 8 9 3 20 2 17 9 26 11 20 10 15 18 10 18 22 13 30 6 25 18 17 17 7 17 13 15 10 17 10 32 10 9 9 20 31 10 11
462x404 2 7 9 14 37 68 4 8 16 23 16 12 12 10 6 18 19 1 11 15 16 20 1 21 11 13 2 10 6 11 14 8 4 12 11 10 11 2 5 16 8 15 8 42 9 16 14 10 11 7 11 13 4 8 27 4 23 6 15 4 5 10 11 11 4 3 16 25 17 0 26 14 20 27 6 3 14 5 8 4 7 21 10 6 1 4 16 5 12 11 3 7 11 8 20 8 8 11 11 11 13 5 22 6 21 6 15 15 8 12 8 11 8 14 13 27 5 22 7 7 11 22 10 18 5 12 18 3 15 8 10 18 17 14 16 11 2 3 13 3 18 7 12 11 10 2 7 25 7 9 42 1 6 14 13 17 8 10 5 3 4 5 9 15 13 14 7 24 13 9 6 14 23 6 6 11 11 12 27 24 29 1 3 8 22 16 11 15 3 9 7 19 18 17 11 19 7 6 11 20 18 11 15 9 10 15 15 4 13 18 3 12 7 14 53 5 39 10 40 9 30 16 18 38 8 30 27 23 83 13 10 30 43 26 14 43 19 27 18 26 26 40 22 12 12 19 15 5 30
442x438 11 18 0 12 23 53 5 38 21 24 27 28 21 3 22 5 21 9 10 12 11 7 5 0 12 3 12 10 8 13 6 15 3 30 6 6 13 5 11 9 13 15 11 11 2 2 21 15 1 16 16 23 13 3 15 21 27 2 7 11 4 17 10 9 12 19 10 17 4 9 20 9 10 24 12 31 13 8 10 9 10 9 10 19 7 23 2 11 14 5 5 10 10 12 2 3 10 11 5 8 20 9 17 6 12 12 17 11 8 3 9 13 6 3 14 12 11 17 11 8 14 22 4 31 13 8 15 2 14 6 17 16 21 9 7 10 9 15 2 0 17 7 23 4 14 16 18 19 9 5 18 7 13 16 2 13 12 2 18 6 6 12 10 12 9 15 1 14 29 11 10 7 28 10 12 18 8 5 19 9 12 10 6 7 34 14 7 9 10 1 9 0 7 18 17 10 15 2 10 5 14 6 4 18 10 23 8 14 8 0 16 17 7 17 17 8 35 15 40 11 24 13 9 24 17 22 23 16 73 11 14 20 27 23 18 29 24 23 20 19 18 50 19 13 10 11 18 7 16
802x646 4 8 6 11 2 51 7 14 3 7 3 10 10 2 11 12 9 5 25 12 23 18 10 17 3 4 18 10 19 1 18 14 5 18 2 8 14 12 19 18 14 11 13 18 6 5 6 17 9 3 6 18 20 6 14 16 28 15 15 19 12 8 14 1 6 6 9 20 7 12 2 11 7 20 9 11 12 13 0 8 11 16 12 6 4 8 10 10 11 8 14 12 5 1 10 8 11 19 12 13 10 8 6 14 15 3 7 18 13 13 10 6 9 18 5 12 7 11 12 17 13 9 9 5 14 8 8 10 19 11 14 12 6 10 7 13 4 16 7 6 1 5 14 6 12 7 9 3 4 17 24 5 11 11 3 19 4 6 6 7 5 15 15 8 11 12 7 4 12 19 10 8 16 8 11 19 7 22 16 27 16 23 6 3 14 3 5 20 16 3 9 5 13 9 10 1 10 10 19 15 5 7 9 10 11 4 9 6 5 6 33 14 1 10 19 2 23 9 37 6 20 21 10 19 15 25 29 8 59 5 13 16 31 18 15 24 16 24 20 14 22 38 26 10 15 18 23 3 25
456x684 10 16 24 7 0 67 0 18 4 18 21 11 16 8 2 14 3 6 32 16 13 12 5 5 8 11 3 17 9 17 8 9 1 5 10 13 7 5 2 20 8 12 8 11 11 16 15 2 7 5 16 9 10 13 16 15 11 8 34 14 10 20 21 19 15 18 13 35 14 3 13 37 13 19 12 8 2 5 12 18 16 9 16 11 1 7 15 7 7 3 24 10 18 15 13 13 17 5 12 11 36 12 13 6 15 18 13 16 11 8 15 21 13 16 10 41 14 17 25 29 6 19 9 14 4 12 1 10 12 7 3 18 7 24 7 25 7 9 4 6 4 11 0 8 4 6 13 17 20 5 61 9 14 17 15 11 7 8 8 8 13 11 21 11 9 15 9 12 27 9 15 28 26 13 15 20 20 6 18 17 7 11 20 8 8 8 13 1 14 15 4 7 8 6 7 11 13 3 12 10 7 19 11 14 14 14 32 25 6 27 17 11 10 22 29 9 25 8 41 12 20 15 3 31 5 33 33 8 91 7 12 20 37 19 11 37 24 34 27 17 6 44 20 10 13 19 17 6 23
206x722 17 7 9 9 26 69 20 33 22 24 24 28 15 22 4 8 8 40 10 27 17 26 11 17 30 13 16 28 17 28 11 31 6 19 11 21 28 10 23 14 22 35 12 28 14 20 11 10 8 14 17 15 13 14 24 32 9 10 35 10 18 24 22 26 9 14 26 31 17 28 31 34 33 25 18 17 19 5 9 20 38 28 32 2 17 24 8 4 12 21 9 11 20 18 38 5 9 8 22 15 24 14 17 20 28 14 7 6 11 16 30 31 19 33 22 26 4 17 12 25 23 27 4 22 19 14 20 5 30 19 14 24 14 13 20 26 9 18 3 9 22 17 34 25 16 21 30 31 4 24 43 22 3 17 11 30 9 7 10 3 14 13 30 4 13 22 25 4 41 24 9 23 22 19 15 15 49 21 40 34 18 14 8 21 20 20 23 20 1 5 30 6 33 11 14 29 9 12 14 38 18 13 24 24 15 18 23 18 15 18 30 19 16 20 40 10 52 8 61 12 31 33 16 44 13 45 40 31 100 15 31 28 54 47 15 38 20 30 29 24 23 43 37 29 15 14 37 16 37
296x774 19 24 27 6 3 66 32 13 6 17 17 21 6 12 12 18 12 20 11 16 8 23 3 28 22 24 5 12 4 13 38 12 3 27 12 6 9 12 16 19 7 20 20 33 1 13 22 11 7 22 4 3 5 17 25 27 23 7 15 12 16 26 18 28 6 9 16 20 12 18 13 17 11 18 18 2 34 3 6 14 25 9 5 13 13 9 12 10 12 20 17 9 14 12 13 5 1 12 7 10 25 5 12 16 18 7 8 9 9 18 10 5 12 33 5 25 8 18 22 11 20 3 12 8 16 12 13 6 35 9 19 26 8 28 7 8 8 15 6 7 13 12 22 11 20 11 13 14 7 12 34 6 13 13 21 14 7 10 17 4 16 6 21 8 23 16 6 11 8 26 7 14 28 14 10 37 22 42 19 17 11 7 8 36 7 25 18 9 20 8 14 0 28 24 26 15 8 20 11 18 9 14 21 27 15 17 13 9 20 17 36 11 5 27 25 5 38 11 48 12 33 26 19 38 7 31 30 22 74 14 25 30 41 37 9 34 13 31 33 11 25 39 21 11 16 28 29 20 27
610x782 6 6 21 14 30 85 14 21 1 5 17 24 27 10 12 17 19 8 9 16 3 17 19 3 19 10 22 10 34 1 18 21 12 22 17 13 9 20 11 6 22 13 9 19 9 9 10 11 14 15 10 12 10 19 33 18 10 19 14 21 26 35 6 25 12 15 17 26 18 7 6 13 22 18 18 14 11 2 3 14 12 6 1 10 4 10 19 8 10 20 15 6 11 6 11 3 10 16 7 4 18 9 7 16 20 7 32 18 9 7 23 8 19 5 14 29 15 14 14 33 5 24 24 11 9 10 21 12 20 0 15 14 12 12 4 7 3 7 10 14 14 12 7 11 20 39 23 10 14 6 38 6 6 20 18 11 9 9 18 4 10 2 4 4 14 16 6 3 11 15 7 28 21 22 25 10 18 13 22 20 15 14 5 19 7 3 10 6 1 18 29 12 22 18 38 18 9 24 15 20 12 6 27 14 9 18 19 15 11 13 17 2 2 23 25 7 34 9 38 8 29 16 18 33 10 30 45 13 76 10 23 22 32 22 12 31 21 35 24 14 17 42 16 10 14 11 44 8 32
457x794 2 20 7 9 13 38 11 14 3 9 11 9 4 5 9 0 9 18 2 13 23 8 6 7 8 18 7 6 5 8 8 14 4 15 5 7 15 25 7 5 7 14 7 15 8 16 1 9 14 17 6 10 11 19 0 6 20 3 10 11 14 6 7 21 10 11 8 11 16 9 21 14 2 5 11 14 24 6 10 4 10 20 3 6 4 14 11 2 14 0 6 7 8 9 10 12 6 2 4 4 12 11 9 18 5 4 22 8 3 11 15 1 9 7 3 17 12 17 10 6 5 21 6 26 13 2 5 1 20 4 4 6 9 13 13 14 5 10 0 6 5 7 13 4 11 12 5 13 1 9 18 2 11 5 11 10 3 11 20 3 14 5 9 3 10 7 5 7 22 24 2 30 12 18 2 13 13 30 15 20 8 5 9 8 20 12 7 4 8 14 13 8 10 34 9 9 11 8 10 10 3 22 7 16 14 14 20 1 4 7 7 11 6 15 9 6 10 11 16 13 15 15 13 12 13 18 20 5 24 6 15 16 17 14 10 22 16 21 14 6 11 33 15 17 10 6 34 15 19
741x809 6 4 6 3 13 24 2 12 11 16 10 13 5 8 3 3 12 5 5 0 11 15 12 8 6 4 5 1 12 11 7 9 1 3 7 1 18 11 4 13 5 9 8 12 7 12 15 1 1 7 4 6 1 12 2 5 7 4 13 10 6 15 4 5 3 2 4 13 12 10 14 25 19 15 12 6 4 6 2 10 2 7 15 1 0 5 6 8 11 1 5 6 7 3 6 14 16 3 7 23 7 8 10 9 1 0 3 11 1 13 8 14 7 25 6 11 11 1 25 9 4 4 3 14 0 5 10 0 2 3 13 2 7 4 6 3 3 10 3 5 3 6 1 6 11 7 13 6 4 11 15 6 9 11 5 2 6 3 6 5 6 11 2 7 3 2 1 16 15 15 7 0 14 17 8 16 18 3 3 5 1 10 5 7 12 4 19 0 4 10 4 4 1 6 14 0 1 8 4 8 1 1 8 0 17 14 3 4 5 8 10 21 7 8 13 4 24 3 25 10 12 10 10 13 5 12 18 10 37 6 6 10 14 5 4 19 7 15 7 8 6 21 11 10 10 15 15 2 15
