,x,y,z,field,total_count
1639,502,148,1,44,3179
1640,354,240,1,44,2614
1641,438,269,1,44,2065
1642,102,332,1,44,2143
1643,576,333,1,44,2474
1644,470,357,1,44,3058
1645,674,365,1,44,4251
1646,170,378,1,44,1586
1647,341,420,1,44,2513
1648,374,435,1,44,1898
1649,700,504,1,44,2210
1650,769,517,1,44,2129
1651,101,555,1,44,1431
1652,725,565,1,44,1896
1653,793,567,1,44,3131
1654,779,647,1,44,2278
1655,665,715,1,44,1300
1656,889,846,1,44,1396
1657,640,961,1,44,1383
1658,163,63,2,44,1158
1659,376,93,2,44,2851
1660,610,252,2,44,4032
1661,413,343,2,44,1946
1662,211,356,2,44,2662
1663,800,406,2,44,4323
1664,828,591,2,44,3157
1665,1010,628,2,44,1141
1666,517,674,2,44,1586
1667,785,731,2,44,3656
1668,896,922,2,44,365
1669,861,981,2,44,448
1670,306,15,3,44,2495
1671,66,144,3,44,872
1672,58,228,3,44,999
1673,393,244,3,44,2736
1674,11,338,3,44,487
1675,686,413,3,44,3977
1676,529,426,3,44,3721
1677,448,466,3,44,2441
1678,629,486,3,44,4167
1679,418,499,3,44,3408
1680,559,512,3,44,3621
1681,556,740,3,44,2785
1682,224,87,4,44,2356
1683,326,121,4,44,2988
1684,100,142,4,44,817
1685,282,205,4,44,4412
1686,58,289,4,44,1371
1687,330,355,4,44,2558
1688,970,476,4,44,2846
1689,871,531,4,44,4179
1690,949,591,4,44,2559
1691,859,745,4,44,3087
1692,802,779,4,44,3780
1693,579,834,4,44,1674
1694,280,127,5,44,3039
1695,539,258,5,44,1777
1696,242,433,5,44,2962
1697,477,513,5,44,1958
1698,684,563,5,44,3691
1699,416,218,6,44,2962
1700,411,380,6,44,2753
1701,567,389,6,44,3006
1702,44,393,6,44,1030
1703,107,427,6,44,1949
1704,165,497,6,44,3378
1705,984,581,6,44,2059
1706,567,607,6,44,1398
1707,886,656,6,44,2780
1708,688,729,6,44,1657
1709,1003,769,6,44,1653
1710,777,953,6,44,2107
1711,76,99,7,44,1127
1712,132,122,7,44,1070
1713,185,150,7,44,2380
1714,389,191,7,44,2540
1715,473,308,7,44,2943
1716,299,430,7,44,3547
1717,737,430,7,44,3377
1718,211,510,7,44,1660
1719,913,578,7,44,3538
1720,767,862,7,44,2515
1721,888,1014,7,44,208
1722,50,47,8,44,1040
1723,126,94,8,44,1099
1724,214,283,8,44,2646
1725,677,333,8,44,4413
1726,662,520,8,44,2866
1727,867,575,8,44,2767
1728,628,663,8,44,4443
1729,952,675,8,44,3807
1730,523,704,8,44,1876
1731,740,728,8,44,2226
1732,593,750,8,44,3305
1733,18,141,9,44,441
1734,165,190,9,44,3432
1735,540,191,9,44,7396
1736,96,224,9,44,2904
1737,330,235,9,44,3407
1738,296,351,9,44,3788
1739,782,363,9,44,3604
1740,666,608,9,44,2973
1741,740,658,9,44,3827
1742,878,793,9,44,3123
1743,944,902,9,44,782
1744,166,35,10,44,2561
1745,453,343,10,44,3267
1746,788,459,10,44,4074
1747,994,520,10,44,2377
1748,558,655,10,44,2240
1749,699,913,10,44,2914
1750,384,56,11,44,3645
1751,556,233,11,44,3076
1752,423,278,11,44,2352
1753,719,379,11,44,5787
1754,273,470,11,44,3531
1755,12,489,11,44,1331
1756,233,504,11,44,2215
1757,74,518,11,44,2416
1758,612,623,11,44,3969
1759,941,769,11,44,3299
1760,678,784,11,44,3903
1761,1002,863,11,44,928
1762,836,979,11,44,843
1763,339,16,12,44,3153
1764,328,172,12,44,4272
1765,515,291,12,44,2102
1766,597,345,12,44,3989
1767,585,450,12,44,4806
1768,757,483,12,44,3080
1769,494,717,12,44,1631
1770,897,865,12,44,868
1771,994,912,12,44,602
1772,54,392,13,44,1170
1773,124,393,13,44,1327
1774,623,419,13,44,5794
1775,187,446,13,44,3035
1776,536,462,13,44,4445
1777,110,565,13,44,1554
1778,997,685,13,44,2575
1779,839,693,13,44,3236
1780,772,824,13,44,2216
1781,655,852,13,44,1909
1782,799,866,13,44,1063
1783,707,1003,13,44,1634
1784,252,177,14,44,4110
1785,90,264,14,44,2121
1786,617,288,14,44,3584
1787,821,363,14,44,5599
1788,243,370,14,44,2160
1789,324,513,14,44,3097
1790,509,517,14,44,2100
1791,621,578,14,44,4676
1792,936,850,14,44,814
1793,833,870,14,44,1813
1794,723,949,14,44,2487
1795,393,105,15,44,3578
1796,181,271,15,44,4541
1797,572,271,15,44,2545
1798,122,296,15,44,3152
1799,399,315,15,44,4867
1800,554,320,15,44,4271
1801,694,453,15,44,3941
1802,359,475,15,44,3802
1803,791,529,15,44,4087
1804,580,647,15,44,1435
1805,624,732,15,44,2019
1806,858,826,15,44,1955
1807,916,897,15,44,237
1808,450,52,16,44,3301
1809,295,125,16,44,2154
1810,497,243,16,44,2861
1811,395,430,16,44,2216
1812,108,478,16,44,3694
1813,293,497,16,44,3859
1814,914,514,16,44,4056
1815,956,548,16,44,3393
1816,889,739,16,44,2707
1817,972,798,16,44,1314
1818,886,890,16,44,356
1819,106,13,17,44,999
1820,250,43,17,44,3615
1821,10,65,17,44,245
1822,363,188,17,44,2027
1823,299,257,17,44,4822
1824,232,281,17,44,3520
1825,683,290,17,44,3329
1826,745,311,17,44,6028
1827,120,343,17,44,2465
1828,130,441,17,44,1188
1829,900,620,17,44,3896
1830,854,646,17,44,1758
1831,771,752,17,44,3226
1832,100,65,18,44,1104
1833,441,136,18,44,5476
1834,365,357,18,44,2797
1835,842,459,18,44,5061
1836,274,540,18,44,2029
1837,741,561,18,44,3005
1838,781,602,18,44,3509
1839,830,610,18,44,3418
1840,577,622,18,44,789
1841,580,679,18,44,3589
1842,568,800,18,44,3782
1843,717,827,18,44,2836
1844,880,984,18,44,390
1845,196,63,19,44,1768
1846,224,115,19,44,2370
1847,527,157,19,44,5134
1848,430,189,19,44,3484
1849,629,315,19,44,2727
1850,297,396,19,44,2514
1851,847,505,19,44,4596
1852,545,514,19,44,1782
1853,709,515,19,44,1984
1854,682,644,19,44,2862
1855,541,714,19,44,2447
1856,998,957,19,44,619
1857,357,222,20,44,2001
1858,407,359,20,44,1751
1859,134,369,20,44,982
1860,745,512,20,44,1962
1861,412,51,21,44,2635
1862,203,184,21,44,2103
1863,669,264,21,44,5028
1864,57,284,21,44,737
1865,539,391,21,44,3092
1866,483,436,21,44,4017
1867,980,442,21,44,1301
1868,243,520,21,44,1989
1869,791,644,21,44,2190
1870,683,686,21,44,2409
1871,713,718,21,44,2179
1872,647,749,21,44,2375
1873,709,778,21,44,3665
1874,821,822,21,44,1640
1875,596,828,21,44,1882
1876,921,1009,21,44,444
1877,298,62,22,44,3835
1878,499,306,22,44,1554
1879,733,437,22,44,1387
1880,992,491,22,44,1182
1881,875,578,22,44,1550
1882,676,598,22,44,1721
1883,178,105,23,44,1309
1884,482,187,23,44,3631
1885,628,252,23,44,4354
1886,443,392,23,44,2609
1887,373,499,23,44,1556
1888,518,742,23,44,1567
1889,683,846,23,44,1741
1890,972,889,23,44,406
1891,315,119,24,44,1719
1892,223,154,24,44,1174
1893,468,273,24,44,3199
1894,724,598,24,44,1865
1895,523,679,24,44,1442
1896,149,95,25,44,594
1897,356,148,25,44,2600
1898,719,397,25,44,1966
1899,462,499,25,44,1953
1900,639,820,25,44,2139
1901,750,710,26,44,2333
1902,423,251,27,44,1724
1903,286,162,28,44,2384
1904,343,501,28,44,1045
1905,999,569,28,44,552
1906,994,636,28,44,1154
1907,1012,671,28,44,464
1908,615,787,28,44,2706
