,x,y,z,field,total_count
366,452,505,2,36,1530
367,762,530,2,36,3446
368,500,536,2,36,3184
369,742,566,2,36,3696
370,474,889,2,36,3652
371,688,42,3,36,1250
372,808,170,3,36,3687
373,710,384,3,36,2272
374,876,464,3,36,5065
375,905,65,4,36,4030
376,825,81,4,36,4005
377,810,130,4,36,3750
378,766,174,4,36,5115
379,765,218,4,36,5917
380,726,497,4,36,3438
381,286,824,4,36,4467
382,374,837,4,36,4414
383,542,881,4,36,7807
384,717,625,5,36,3737
385,436,706,5,36,4312
386,249,912,6,36,1618
387,552,433,7,36,5404
388,757,485,7,36,4617
389,466,666,7,36,8034
390,846,465,8,36,3585
391,546,676,8,36,8337
392,914,2,9,36,1793
393,974,10,9,36,1854
394,857,20,9,36,3980
395,693,97,9,36,2123
396,866,368,9,36,8369
397,830,525,9,36,7020
398,294,962,9,36,4132
399,432,974,9,36,3930
400,737,73,10,36,4413
401,800,309,10,36,8732
402,633,437,10,36,6846
403,285,724,10,36,4485
404,578,738,10,36,7342
405,828,225,11,36,7094
406,673,286,11,36,9021
407,633,325,11,36,6406
408,672,361,11,36,5518
409,832,397,11,36,7004
410,730,584,11,36,5682
411,637,737,11,36,8266
412,470,1016,11,36,742
413,952,48,12,36,2976
414,773,138,12,36,6634
415,768,366,12,36,7173
416,597,473,12,36,4967
417,552,618,12,36,6893
418,352,710,12,36,4521
419,410,933,12,36,8128
420,753,273,13,36,7980
421,889,304,13,36,8019
422,570,566,13,36,6642
423,418,758,13,36,5389
424,452,817,13,36,4663
425,472,869,13,36,5546
426,477,926,13,36,4754
427,473,988,13,36,2579
428,386,1008,13,36,2578
429,841,138,14,36,5278
430,528,536,14,36,2775
431,664,772,14,36,3712
432,830,50,15,36,4050
433,822,569,15,36,5050
434,604,625,15,36,4702
435,380,685,15,36,3293
436,694,685,15,36,10455
437,466,772,15,36,6399
438,565,944,15,36,6831
439,522,961,15,36,4349
440,857,180,16,36,5136
441,717,322,16,36,6833
442,756,633,16,36,6344
443,242,846,16,36,3419
444,292,901,16,36,3627
445,586,988,16,36,2289
446,512,1004,16,36,1860
447,329,1016,16,36,1563
448,521,570,17,36,3760
449,690,629,17,36,4889
450,318,765,17,36,5524
451,400,794,17,36,3911
452,501,716,18,36,7410
453,342,808,18,36,4670
454,726,385,19,36,2737
455,789,624,19,36,6017
456,416,670,19,36,5497
457,638,477,20,36,4307
458,716,494,20,36,7039
459,772,549,20,36,4625
460,496,806,20,36,7029
461,852,429,21,36,5352
462,794,496,21,36,5874
463,560,749,21,36,6930
464,362,844,21,36,2775
465,258,972,21,36,1235
466,578,597,22,36,2943
467,494,853,24,36,4713
468,753,242,25,36,6499
469,860,338,25,36,5360
470,837,374,25,36,4074
471,760,314,26,36,4374
472,552,798,27,36,9615
473,489,913,27,36,3052
