,x,y,z,field,total_count
2890,370,641,1,52,1931
2891,577,212,2,52,900
2892,401,436,2,52,2271
2893,578,586,2,52,1116
2894,357,594,2,52,2428
2895,429,597,2,52,2432
2896,521,614,2,52,1644
2897,448,686,2,52,1452
2898,516,731,2,52,1128
2899,391,781,2,52,1729
2900,463,793,2,52,2179
2901,570,812,2,52,1119
2902,612,827,2,52,1241
2903,431,883,2,52,1685
2904,667,885,2,52,895
2905,504,978,2,52,813
2906,727,85,3,52,815
2907,459,87,3,52,1964
2908,524,188,3,52,1305
2909,653,305,3,52,824
2910,651,351,3,52,827
2911,603,404,3,52,1302
2912,447,405,3,52,2189
2913,542,435,3,52,1098
2914,712,440,3,52,2940
2915,411,471,3,52,2358
2916,365,502,3,52,2242
2917,615,524,3,52,1647
2918,611,566,3,52,1052
2919,458,616,3,52,1893
2920,692,859,3,52,910
2921,407,943,3,52,1994
2922,517,957,3,52,862
2923,554,958,3,52,846
2924,419,978,3,52,2869
2925,712,61,4,52,1083
2926,693,136,4,52,1185
2927,423,153,4,52,2821
2928,725,163,4,52,1707
2929,655,164,4,52,976
2930,440,189,4,52,2334
2931,614,264,4,52,1236
2932,457,303,4,52,2964
2933,683,306,4,52,1539
2934,513,318,4,52,2495
2935,466,485,4,52,1385
2936,365,548,4,52,3923
2937,636,556,4,52,1200
2938,558,617,4,52,1383
2939,592,711,4,52,1258
2940,547,714,4,52,1365
2941,358,733,4,52,2638
2942,599,746,4,52,1769
2943,498,766,4,52,1513
2944,416,774,4,52,2464
2945,645,796,4,52,936
2946,468,912,4,52,1691
2947,591,914,4,52,1288
2948,662,919,4,52,611
2949,575,983,4,52,1591
2950,705,1015,4,52,287
2951,634,1017,4,52,247
2952,671,101,5,52,1096
2953,722,122,5,52,1211
2954,604,132,5,52,1906
2955,654,192,5,52,1396
2956,609,206,5,52,1350
2957,425,210,5,52,4084
2958,341,268,5,52,2170
2959,640,448,5,52,1260
2960,528,467,5,52,2259
2961,612,477,5,52,1138
2962,588,643,5,52,1505
2963,531,679,5,52,1214
2964,479,726,5,52,2289
2965,681,756,5,52,948
2966,712,812,5,52,1502
2967,584,848,5,52,1268
2968,633,929,5,52,630
2969,621,973,5,52,851
2970,681,12,6,52,1787
2971,520,22,6,52,3509
2972,665,52,6,52,1762
2973,533,72,6,52,2816
2974,521,118,6,52,2136
2975,474,220,6,52,2950
2976,644,229,6,52,1570
2977,631,325,6,52,1308
2978,502,358,6,52,1856
2979,628,385,6,52,1371
2980,537,401,6,52,1597
2981,600,443,6,52,1508
2982,623,667,6,52,1275
2983,645,686,6,52,784
2984,653,734,6,52,1153
2985,667,825,6,52,1319
2986,495,936,6,52,1395
2987,692,989,6,52,997
2988,720,34,7,52,1379
2989,559,110,7,52,2731
2990,542,281,7,52,2433
2991,459,368,7,52,2872
2992,673,377,7,52,2880
2993,524,502,7,52,2694
2994,582,558,7,52,1961
2995,550,661,7,52,1534
2996,673,666,7,52,2602
2997,558,753,7,52,1825
2998,706,766,7,52,1895
2999,762,887,7,52,907
3000,352,303,8,52,2453
3001,587,335,8,52,1443
3002,405,363,8,52,3942
3003,622,422,8,52,1774
3004,488,612,8,52,2437
3005,633,632,8,52,1331
3006,372,684,8,52,2016
3007,581,691,8,52,985
3008,593,771,8,52,1476
3009,530,822,8,52,2204
3010,366,841,8,52,2820
3011,610,877,8,52,1607
3012,445,933,8,52,2433
3013,730,1005,8,52,682
3014,616,73,9,52,2307
3015,655,139,9,52,1605
3016,573,176,9,52,1893
3017,514,243,9,52,3111
3018,317,285,9,52,1000
3019,420,326,9,52,4159
3020,569,420,9,52,2015
3021,498,423,9,52,2570
3022,657,511,9,52,1981
3023,522,550,9,52,2688
3024,532,595,9,52,1554
3025,417,625,9,52,3293
3026,664,712,9,52,1335
3027,640,767,9,52,1694
3028,513,793,9,52,2315
3029,604,797,9,52,1144
3030,686,933,9,52,977
3031,490,979,9,52,915
3032,635,994,9,52,764
3033,611,244,10,52,1502
3034,602,365,10,52,1509
3035,371,426,10,52,2298
3036,572,492,10,52,1421
3037,416,672,10,52,2616
3038,466,679,10,52,2156
3039,441,848,10,52,3369
3040,505,907,10,52,2195
3041,657,945,10,52,891
3042,692,962,10,52,1458
3043,647,16,11,52,2180
3044,737,195,11,52,2528
3045,507,198,11,52,2752
3046,755,234,11,52,2190
3047,673,309,11,52,363
3048,660,493,11,52,1347
3049,620,502,11,52,1368
3050,661,548,11,52,2389
3051,618,578,11,52,1145
3052,673,607,11,52,2401
3053,528,730,11,52,1161
3054,635,847,11,52,1187
3055,739,865,11,52,1188
3056,617,952,11,52,1281
3057,739,20,12,52,1394
3058,698,88,12,52,1186
3059,567,254,12,52,1758
3060,649,277,12,52,2205
3061,490,288,12,52,2825
3062,576,463,12,52,1766
3063,443,497,12,52,2072
3064,443,532,12,52,3363
3065,617,606,12,52,1931
3066,500,670,12,52,2317
3067,396,704,12,52,1854
3068,463,765,12,52,2758
3069,484,857,12,52,3022
3070,532,883,12,52,2603
3071,751,923,12,52,1515
3072,526,1009,12,52,1363
3073,590,26,13,52,3304
3074,588,156,13,52,2161
3075,587,279,13,52,1467
3076,613,299,13,52,1513
3077,551,384,13,52,1650
3078,375,389,13,52,3734
3079,652,619,13,52,1401
3080,360,646,13,52,2170
3081,608,698,13,52,1409
3082,558,793,13,52,1965
3083,629,811,13,52,1157
3084,373,876,13,52,1875
3085,448,889,13,52,2176
3086,460,978,13,52,2127
3087,587,86,14,52,2964
3088,683,169,14,52,1740
3089,385,294,14,52,3551
3090,567,356,14,52,1873
3091,628,468,14,52,1438
3092,479,519,14,52,3077
3093,644,583,14,52,1288
3094,377,591,14,52,3045
3095,441,716,14,52,2733
3096,736,807,14,52,2820
3097,550,42,15,52,3536
3098,635,54,15,52,1947
3099,473,82,15,52,2598
3100,635,118,15,52,1787
3101,627,160,15,52,1628
3102,546,202,15,52,2001
3103,576,220,15,52,1167
3104,374,230,15,52,4346
3105,644,360,15,52,994
3106,665,422,15,52,2983
3107,461,432,15,52,2902
3108,412,558,15,52,3967
3109,587,596,15,52,1492
3110,584,663,15,52,997
3111,621,733,15,52,1586
3112,478,819,15,52,2721
3113,550,844,15,52,1538
3114,743,904,15,52,1161
3115,601,998,15,52,1009
3116,661,1013,15,52,445
3117,701,42,16,52,1188
3118,475,135,16,52,3584
3119,315,259,16,52,2138
3120,521,342,16,52,2333
3121,496,478,16,52,2365
3122,572,515,16,52,2038
3123,352,698,16,52,1491
3124,693,742,16,52,1481
3125,586,826,16,52,1120
3126,668,851,16,52,825
3127,597,903,16,52,1137
3128,771,950,16,52,1039
3129,743,976,16,52,1480
3130,522,168,17,52,2550
3131,607,191,17,52,1288
3132,657,206,17,52,1110
3133,636,222,17,52,805
3134,459,242,17,52,3702
3135,574,302,17,52,1800
3136,644,337,17,52,693
3137,554,437,17,52,1121
3138,451,467,17,52,2249
3139,662,480,17,52,1483
3140,691,525,17,52,1889
3141,641,696,17,52,801
3142,407,737,17,52,2871
3143,420,801,17,52,3308
3144,675,812,17,52,1250
3145,647,860,17,52,715
3146,550,865,17,52,1653
3147,634,903,17,52,822
