,info,Tal1,Dmbx1,Emx2,Uncx,Paxip1,Ctnnb1,Prdm1,Rybp,Nfkb2,Tfdp2,Grhl1,Sp8,Irf2,Zfp287,Esr2,Zfp128,Vav1,Sp1,Ppargc1b,Sp7,Pin1,Nfya,Vsx1,Klf1,Vsx2,Mybl1,Mybl2,Rnf2,Blzf1,Topors,Nr3c2,Nfia,Taf6l,Nr4a3,Hoxd12,Hoxd13,Ttf1,Sox9,Nr2e1,Polr2b,Hltf,Sox6,Pbx3,Sox5,Foxa1,Cdc5l,Cebpg,Ciita,Rest,Ets1,Mafk,Tbx15,Scml2,Myb,Clock,Rbpj,Foxc1,Zfp422,Pias3,Runx1,Ppara,Relb,Vdr,Cdc6,Arid3a,Lhx1,Hoxb8,Hoxb9,Hic1,Lhx6,Six4,Hoxb3,Zfp263,Cbfa2t3,Ehf,Nhlh1,Gata6,Gata4,Gata5,Lpp,Nfe2l3,Nfe2l2,Tmf1,Gli1,Tbx2,En1,En2,Hnf1a,Tbx4,Zfp423,Elf1,Foxb1,Elf2,Elf4,Mxd1,Wt1,Rfx4,Bhlhe41,Sox13,Taf4b,Rfx2,Sox17,Ahr,Sall4,Med14,Smyd1,Sall3,Arid2,Zfp64,Pgr,Trps1,Hoxa1,Bach2,Bach1,Notch3,Pknox1,Pknox2,Sin3a,Etv3,Smad9,Smad5,Alx1,Egf,Mn1,Nkx3-1,Rbak,Gabpa,Nfkbiz,Zscan21,Trp73,E2f7,Esrrg,Rbpjl,Nfatc4,Nr5a1,Neurod4,Esrrb,Tbx21,Rorc,Mitf,Pax7,Pax6,Pax1,Pax3,Pax2,Pax9,Zkscan17,Gfi1,Mzf1,Runx3,Smarca4,Foxd4,Foxd3,Creb1,Srebf1,Sox11,Gmeb2,Irx4,Pou3f2,Ikzf1,Tcf23,Mtf2,Npas3,Nfatc3,Nfil3,Phox2b,Plag1,E2f2,Ddx3x,Taf2,Pou4f1,Trim33,Tsc2,Lmx1a,Nr2f2,Eomes,Wwtr1,Foxo1,Ar,Zfp354a,Elk4,Foxo4,Sall1,Mycn,Maml3,Foxp3,Atm,Uaca,Tbr1,Pml,Lhx3,Atr,Zbtb33,Ptch1,Lhx5,Barhl1,Irx5,Tfap2b,Tfap2e,Rxra,Rxrb,Gli2,Gli3,Zic4,Zic5,Zic2,Zic3,Satb1,Onecut2,Foxn4,Mnat1,Foxn1,Dlx2,Vezf1,sncg,sst,th,vip,xdh,slc17a8,slc5a7,slc6a3,slc6a8,smad3,opalin,pdgfra,palvb,reln,slc17a7,lyve,mfge8,mog,myl14,ndnf,ctss,foxj1,gad1,htr3a,igtp,acta2,alldh1l1,camk2,chat,cldn5,ngef,tiam1,slc1a2,gja1,fbll1
388,757x485,4,24,20,15,22,48,20,22,7,22,15,18,1,4,11,23,3,1,8,36,7,16,17,2,13,7,16,23,7,13,34,11,13,20,5,6,9,23,20,18,13,21,11,42,10,18,23,12,4,3,21,9,14,11,13,36,7,6,11,19,13,26,18,24,21,16,16,29,18,8,26,5,19,32,10,13,4,15,17,13,13,17,28,18,18,23,14,23,20,9,2,28,21,5,20,9,24,22,25,19,22,18,10,18,22,11,12,23,9,15,10,18,13,35,8,30,10,24,4,20,20,17,10,24,8,16,14,16,12,21,22,37,24,15,29,27,7,9,3,3,11,20,22,15,14,27,15,21,12,16,30,7,3,12,11,18,13,24,13,9,7,10,33,6,13,9,15,37,24,13,18,25,20,16,13,21,27,15,25,10,17,30,7,19,22,22,18,12,9,4,30,16,28,9,16,21,15,12,7,21,41,22,24,5,12,10,13,35,6,16,17,2,17,35,68,11,69,13,40,16,38,24,15,31,15,75,33,26,75,15,19,37,46,36,6,41,29,45,21,35,24,28,38,14,17,40,13,4,25
389,466x666,26,19,33,4,37,83,16,52,12,39,55,35,31,23,19,3,29,43,21,50,9,24,18,29,27,24,12,25,50,45,95,42,10,40,25,21,26,29,26,39,25,34,13,52,16,21,31,12,19,24,37,31,34,42,65,35,30,5,25,16,21,38,38,20,11,25,32,30,24,14,35,25,15,45,27,20,16,20,24,42,20,17,37,7,26,39,25,12,27,27,16,26,25,17,28,18,28,29,10,24,47,19,30,19,44,21,14,23,12,48,28,17,15,40,23,24,23,42,28,27,26,21,10,41,17,18,19,16,51,13,23,29,23,36,13,26,23,43,13,27,17,21,23,13,29,31,33,50,30,17,64,35,19,30,10,27,18,27,18,10,23,15,33,36,17,22,35,36,37,41,15,76,40,17,18,37,34,50,37,28,12,27,21,25,23,42,22,22,18,24,18,19,43,47,29,28,35,30,19,15,29,54,29,21,24,26,10,21,38,15,30,14,29,52,112,30,104,31,74,27,74,46,46,81,16,78,70,57,177,19,82,60,64,65,19,96,42,66,51,59,64,96,93,42,23,47,47,35,36
391,546x676,19,22,35,30,56,111,34,63,30,20,32,47,15,36,33,35,12,23,41,36,22,30,35,23,23,17,25,44,24,27,67,31,18,41,12,17,28,20,17,36,24,34,20,71,13,21,34,11,22,10,52,20,32,26,40,31,19,17,22,27,28,21,32,42,12,9,19,47,28,25,38,29,27,20,42,6,11,12,28,43,22,14,12,17,20,42,13,31,12,34,12,23,34,16,22,26,32,21,13,17,23,13,25,35,63,18,12,17,17,29,29,17,25,39,9,39,26,44,26,19,37,28,15,37,31,23,16,27,58,31,32,56,34,19,30,16,12,9,18,20,22,17,35,18,22,14,36,40,41,21,85,30,30,31,13,56,20,15,30,20,12,29,31,21,42,17,38,29,34,54,29,63,57,13,20,40,31,13,36,27,24,23,11,18,27,52,45,18,30,40,24,20,45,28,33,17,38,27,66,30,38,20,43,31,18,15,39,32,51,21,33,19,20,37,121,29,119,36,74,31,69,33,39,99,14,85,81,67,179,36,37,60,81,66,33,84,47,89,53,67,55,119,94,21,29,52,57,6,51
401,800x309,40,16,16,35,52,107,18,46,15,25,33,44,23,26,19,25,23,36,49,54,23,70,27,30,21,22,15,21,40,44,73,32,29,71,15,21,52,35,19,48,31,43,24,40,10,46,46,13,8,27,59,19,41,18,55,46,26,26,37,11,23,52,15,25,48,26,26,21,21,27,48,47,20,71,34,41,20,14,23,16,37,43,52,18,21,46,35,17,17,17,24,28,19,25,39,34,6,13,26,20,39,24,26,19,52,39,38,28,49,29,14,29,58,25,22,23,27,39,31,13,23,46,23,41,24,46,31,17,53,24,30,26,22,36,28,23,17,30,31,20,34,30,43,19,31,21,33,43,20,39,85,33,30,34,16,22,18,15,41,19,21,12,48,24,19,36,53,39,37,34,24,53,42,18,23,12,24,37,50,33,37,29,28,25,26,32,35,9,31,37,26,31,41,33,29,54,24,16,32,34,11,18,32,15,9,28,29,22,25,22,25,23,12,35,114,30,113,56,84,27,60,46,42,54,27,96,91,70,146,23,43,61,77,69,32,80,53,91,71,63,49,90,58,33,51,53,36,8,49
402,633x437,13,3,21,25,15,120,18,40,26,20,15,26,23,29,13,9,20,27,16,18,18,21,10,17,11,12,21,41,33,39,64,19,22,30,20,14,28,11,12,30,37,31,9,35,16,28,23,17,9,26,43,30,20,29,55,15,13,23,18,9,14,28,23,12,36,8,30,47,23,31,39,41,12,47,34,12,16,21,32,9,18,9,27,19,21,5,22,18,18,40,16,15,23,29,18,11,3,14,19,26,7,35,28,31,13,21,30,50,31,33,23,14,31,32,18,41,36,30,33,21,14,44,19,29,10,20,26,22,32,20,33,9,29,22,20,19,27,28,22,10,21,29,16,23,19,25,27,41,32,17,48,11,16,41,26,26,9,14,15,3,29,20,31,22,35,37,50,19,40,19,14,52,37,30,6,10,22,9,26,30,26,20,13,16,33,30,29,10,12,12,38,16,42,35,37,21,25,19,37,14,24,21,43,21,6,14,27,13,24,16,18,21,27,25,108,25,96,27,64,14,64,51,40,66,22,60,84,57,115,35,20,52,55,68,22,54,48,50,43,48,47,64,60,19,38,47,13,7,26
403,285x724,26,5,9,8,24,33,18,39,8,20,20,7,10,15,12,20,6,9,17,13,20,12,3,17,23,8,9,11,13,12,13,19,20,6,9,5,4,16,13,26,10,22,12,19,3,22,24,11,16,6,39,4,8,23,47,11,5,23,6,24,2,18,19,15,14,11,11,21,8,14,21,20,19,29,11,16,6,14,23,20,18,6,24,13,16,24,13,6,17,10,19,14,13,22,9,15,17,14,4,5,33,2,28,15,22,22,7,11,10,33,2,1,17,14,5,9,15,9,13,17,16,23,8,15,21,25,19,21,35,9,16,4,14,8,12,20,16,10,19,7,7,30,20,16,28,20,22,10,1,17,19,13,4,36,18,30,8,7,18,17,23,22,10,19,7,14,5,10,33,21,12,28,14,6,24,13,16,15,27,12,18,7,6,25,6,13,7,17,11,13,11,18,12,39,17,17,8,10,27,4,6,33,16,18,11,25,18,9,11,8,8,11,10,18,52,11,69,17,50,11,31,26,36,38,6,52,46,28,105,15,16,24,42,43,23,54,20,58,36,23,38,66,56,34,15,27,21,5,24
404,578x738,15,32,37,23,45,77,17,27,21,25,25,35,6,53,42,19,20,21,28,41,16,39,35,14,23,13,29,7,44,48,33,15,30,37,16,7,10,23,41,38,34,43,16,43,19,22,28,15,36,14,39,39,16,15,36,35,15,24,40,16,22,23,9,31,24,6,28,30,29,13,28,22,19,35,31,24,17,13,16,17,33,21,33,10,14,30,21,18,35,43,12,8,21,33,12,24,25,19,5,19,45,22,52,43,45,16,23,19,28,34,20,17,44,19,36,31,34,32,21,24,54,28,5,35,16,38,27,14,32,20,42,24,33,26,16,22,26,24,10,15,41,33,23,16,18,27,22,20,15,23,25,20,22,27,14,40,20,10,18,17,19,18,15,27,19,25,36,22,20,29,16,86,16,23,15,18,13,24,30,14,42,23,31,17,48,22,43,24,19,19,35,11,33,35,38,32,20,24,41,14,32,19,29,28,13,29,21,24,49,15,15,16,21,20,105,20,97,32,81,26,62,39,34,58,17,83,59,44,159,21,31,53,73,50,26,74,45,68,63,47,58,101,60,29,28,51,16,3,34
406,673x286,28,8,55,68,37,147,27,51,9,57,30,38,31,30,25,32,46,31,32,36,22,26,22,34,21,32,55,26,24,21,74,30,20,52,26,11,24,20,23,19,15,27,25,58,8,35,43,15,22,7,31,35,15,34,32,48,40,23,67,27,35,30,27,40,24,22,44,54,26,29,36,27,21,64,19,7,29,18,31,22,60,33,37,25,24,39,33,19,21,39,16,21,50,15,43,21,17,25,11,23,52,27,28,29,49,17,47,40,48,22,22,26,17,40,22,27,23,46,29,32,42,36,27,44,35,31,62,23,62,34,22,23,22,41,33,26,27,41,17,18,48,37,28,20,49,34,18,40,23,28,100,20,25,35,8,29,10,23,43,36,32,37,26,21,23,55,27,25,49,30,14,74,36,11,11,33,30,25,33,37,42,40,20,18,32,18,48,21,27,21,10,25,36,34,52,21,16,27,42,38,52,31,22,34,15,33,31,28,37,48,36,11,27,53,143,20,129,33,74,31,72,61,40,83,22,99,100,55,224,30,42,69,70,54,31,93,41,57,54,62,52,84,72,28,47,56,20,9,42
407,633x325,25,20,26,49,34,75,11,39,10,15,47,35,27,32,11,18,16,18,34,30,20,17,13,25,14,21,16,27,17,15,27,30,7,36,14,26,37,21,4,37,36,26,18,45,8,36,12,20,19,23,30,17,12,10,39,20,16,14,26,19,16,36,31,8,14,16,23,21,28,20,17,28,15,34,25,19,13,19,5,11,23,15,27,8,26,36,22,14,5,21,15,7,39,20,23,18,11,20,11,14,33,24,24,17,38,24,13,33,22,21,2,17,22,26,13,16,13,30,32,32,32,40,21,26,10,7,34,12,29,26,12,32,31,21,25,11,3,24,8,17,21,35,18,35,23,10,54,23,15,15,42,12,17,16,11,11,26,6,14,12,18,18,23,22,19,18,34,26,35,51,23,61,46,25,5,26,11,11,24,27,13,16,28,12,32,28,37,8,32,26,4,15,37,32,20,25,8,20,19,20,40,11,41,14,23,21,21,17,48,23,25,34,12,24,106,18,107,31,63,30,54,49,38,85,13,59,57,37,140,25,20,44,64,45,27,73,31,52,47,33,31,45,50,19,19,36,14,1,29
408,672x361,28,8,17,23,28,71,31,31,17,12,28,8,41,10,6,24,16,20,25,16,26,18,25,12,13,11,14,22,39,49,62,20,5,23,23,16,8,19,4,15,17,24,12,22,5,37,11,10,0,13,68,15,9,14,32,25,18,16,27,12,3,8,17,21,19,14,12,22,8,13,26,21,18,23,17,7,15,31,26,11,26,30,39,8,24,13,10,21,16,35,12,14,21,15,22,18,13,15,14,19,14,29,14,29,28,20,13,28,26,16,11,3,31,16,12,21,18,39,27,10,34,19,21,10,26,17,29,15,31,21,17,5,20,18,22,11,12,10,17,14,31,17,15,6,17,21,30,15,7,24,22,15,15,38,5,17,0,20,30,3,10,24,27,9,19,20,30,23,22,43,18,49,33,8,24,14,12,14,13,21,29,12,7,16,15,8,14,9,20,6,23,15,20,21,4,21,15,15,30,14,20,18,23,14,9,26,15,9,30,5,15,8,15,34,75,20,91,21,44,20,48,30,28,38,15,96,49,42,106,21,23,40,39,51,21,62,37,55,45,31,40,50,55,27,11,28,18,7,36
