,x,y,z,field,total_count
1,490,760,2,33,6131
5,432,722,3,33,4440
6,250,740,3,33,4719
10,352,754,4,33,4221
12,820,244,5,33,2224
15,262,468,5,33,5331
17,752,690,5,33,8923
18,700,716,5,33,4537
19,732,724,5,33,5082
21,234,558,6,33,4293
22,390,582,6,33,6236
23,646,636,6,33,9364
24,614,704,6,33,3924
25,546,766,6,33,2779
27,360,588,7,33,2965
30,710,420,8,33,4106
32,780,342,9,33,6624
33,542,424,9,33,4292
36,554,714,9,33,2988
38,466,564,10,33,7242
40,468,476,11,33,4712
41,430,484,11,33,8020
42,268,634,11,33,7761
46,714,592,12,33,4782
48,256,702,12,33,6177
49,464,702,12,33,4674
50,692,328,13,33,3143
53,790,560,13,33,6912
54,554,638,13,33,6563
55,492,642,13,33,9689
56,598,668,13,33,4258
57,380,672,13,33,4639
59,500,814,13,33,7731
60,232,440,14,33,6838
61,698,546,14,33,7513
62,646,576,14,33,8957
63,610,608,14,33,7391
64,340,708,14,33,7004
67,302,496,15,33,7184
68,566,536,15,33,8346
72,692,376,16,33,3641
73,566,440,16,33,5025
75,736,458,16,33,6714
76,780,508,16,33,6854
77,750,540,16,33,4222
79,534,586,16,33,8068
80,476,448,17,33,6049
81,624,500,17,33,9482
83,734,326,18,33,7300
84,768,380,18,33,4280
86,298,666,18,33,5641
87,344,568,19,33,6371
88,342,628,19,33,6313
90,296,590,20,33,6262
92,806,432,21,33,7956
93,732,508,21,33,5935
94,438,546,21,33,4977
95,604,444,23,33,5548
97,362,744,23,33,4094
