,x,y,z,field,total_count
2495,544,360,1,49,7950
2496,361,437,1,49,5445
2497,470,698,1,49,4314
2498,394,708,1,49,9626
2499,450,772,1,49,5852
2500,526,778,1,49,5801
2505,337,380,2,49,5789
2506,221,393,2,49,4134
2507,381,472,2,49,4033
2508,456,520,2,49,6074
2509,314,597,2,49,5224
2510,752,774,2,49,7031
2517,528,473,3,49,8336
2519,436,288,4,49,2008
2522,313,320,5,49,3268
2523,342,333,5,49,1286
2524,572,390,5,49,6101
2525,348,558,5,49,8649
2526,530,613,5,49,7657
2527,718,712,5,49,9208
2528,372,786,5,49,5203
2529,422,257,6,49,2576
2530,437,322,6,49,2005
2534,326,734,7,49,4991
2542,448,604,8,49,10043
2543,558,668,8,49,4153
2544,370,677,8,49,9836
2548,624,666,9,49,9849
2550,401,362,10,49,5212
2551,574,532,10,49,9725
2552,620,730,10,49,6231
2553,494,749,10,49,5282
2554,293,770,10,49,1400
2557,304,269,11,49,12023
2559,490,428,11,49,11980
2560,600,588,11,49,8288
2561,604,778,11,49,9109
2563,393,516,12,49,8040
2569,410,312,13,49,3045
2570,357,320,13,49,2591
2571,253,393,13,49,4321
2572,290,414,13,49,7055
2573,388,437,13,49,6919
2574,332,490,13,49,6185
2577,501,261,14,49,12640
2578,241,335,14,49,5804
2579,234,446,14,49,2449
2580,476,545,14,49,7302
2581,660,710,14,49,6996
2582,697,769,14,49,5007
2586,444,308,15,49,1922
2587,437,484,15,49,7918
2588,501,701,15,49,5463
2590,437,217,16,49,7539
2591,294,494,16,49,3368
2592,322,604,16,49,5675
2593,713,797,16,49,4145
2599,362,634,17,49,8697
2600,560,638,17,49,6251
2601,464,710,17,49,5548
2605,210,284,18,49,7512
2606,486,353,18,49,9444
2607,620,545,18,49,7048
2608,424,246,19,49,2034
2609,402,600,19,49,9997
2610,276,620,19,49,10515
2611,494,644,19,49,7985
2612,461,810,19,49,9634
2618,468,760,21,49,3538
2620,550,685,22,49,6452
2623,597,740,24,49,5349
2624,621,573,26,49,4658
2625,548,776,28,49,5778
