,x,y,z,field,total_count
1911,592,288,1,45,1634
1912,560,308,1,45,3055
1913,466,368,1,45,1782
1914,373,377,1,45,4309
1915,445,436,1,45,3182
1916,342,757,1,45,3170
1917,492,812,1,45,3640
1920,349,305,2,45,3224
1921,521,430,2,45,3515
1922,426,557,2,45,4032
1923,441,607,2,45,3504
1924,389,720,2,45,3916
1925,585,811,2,45,3379
1933,254,369,3,45,2902
1934,349,423,3,45,4151
1935,623,557,3,45,2159
1936,647,594,3,45,4947
1937,313,657,3,45,3447
1938,632,776,3,45,4772
1942,407,479,4,45,4170
1943,632,499,4,45,6061
1944,698,611,4,45,5789
1945,213,737,4,45,3745
1948,356,333,5,45,2380
1949,245,399,5,45,2760
1950,273,678,5,45,3445
1951,624,682,5,45,3152
1952,770,748,5,45,9296
1954,561,473,6,45,5574
1955,236,528,6,45,3917
1956,421,569,6,45,3310
1958,303,718,6,45,2856
1959,597,738,6,45,3993
1960,513,741,6,45,5152
1961,549,788,6,45,4054
1965,375,266,7,45,5593
1966,306,461,7,45,4136
1967,264,480,7,45,5192
1968,362,538,7,45,3072
1969,648,539,7,45,3025
1970,792,800,7,45,5095
1973,616,250,8,45,5477
1974,544,425,8,45,2687
1975,494,600,8,45,5941
1976,311,685,8,45,1971
1982,405,215,9,45,4235
1983,231,381,9,45,1879
1984,297,382,9,45,6153
1985,551,611,9,45,4268
1986,634,712,9,45,3498
1987,352,720,9,45,2366
1995,521,382,10,45,3903
1996,242,434,10,45,3984
1997,570,543,10,45,4432
1998,456,732,10,45,1730
1999,393,785,10,45,4527
2000,292,252,11,45,5718
2001,580,268,11,45,3124
2002,399,336,11,45,5707
2003,488,521,11,45,7099
2006,439,280,12,45,4804
2007,397,554,12,45,4205
2010,258,313,13,45,3618
2011,333,365,13,45,4451
2012,472,709,13,45,2221
2014,566,502,14,45,4098
2015,228,562,14,45,4406
2016,350,621,14,45,4862
2017,451,622,14,45,3592
2018,257,646,14,45,1794
2019,206,659,14,45,3600
2020,473,671,14,45,3098
2021,436,745,14,45,2416
2023,514,299,15,45,2367
2024,604,546,15,45,3200
2026,273,617,15,45,4541
2029,504,276,16,45,2453
2030,585,754,16,45,4283
2037,487,212,17,45,4280
2038,354,232,17,45,4743
2039,226,269,17,45,5160
2041,459,325,17,45,3180
2042,585,340,17,45,3880
2043,212,450,17,45,2199
2044,395,453,17,45,4390
2045,330,553,17,45,3565
2046,570,682,17,45,6047
2047,454,784,17,45,2729
2048,656,792,17,45,7167
2051,265,208,18,45,4482
2052,230,344,18,45,1950
2053,444,504,18,45,4326
2058,313,292,19,45,4017
2059,441,372,19,45,3635
2060,456,468,19,45,3770
2061,653,697,19,45,4840
2068,494,361,20,45,3013
2069,326,514,20,45,2897
2070,529,523,20,45,4916
2071,445,686,20,45,2979
2072,377,759,20,45,2558
2076,482,428,21,45,4727
2077,594,634,21,45,3522
2078,501,777,21,45,3466
2082,548,234,22,45,4987
2083,348,478,22,45,3991
2086,557,429,24,45,3624
2087,525,587,24,45,4107
2088,564,615,24,45,2895
2089,574,781,24,45,2487
2090,346,336,26,45,2440
2091,421,417,26,45,4663
2092,369,421,26,45,3341
2093,317,446,26,45,3342
2094,425,234,29,45,3535
2095,445,720,29,45,873
