,info,Tal1,Dmbx1,Emx2,Uncx,Paxip1,Ctnnb1,Prdm1,Rybp,Nfkb2,Tfdp2,Grhl1,Sp8,Irf2,Zfp287,Esr2,Zfp128,Vav1,Sp1,Ppargc1b,Sp7,Pin1,Nfya,Vsx1,Klf1,Vsx2,Mybl1,Mybl2,Rnf2,Blzf1,Topors,Nr3c2,Nfia,Taf6l,Nr4a3,Hoxd12,Hoxd13,Ttf1,Sox9,Nr2e1,Polr2b,Hltf,Sox6,Pbx3,Sox5,Foxa1,Cdc5l,Cebpg,Ciita,Rest,Ets1,Mafk,Tbx15,Scml2,Myb,Clock,Rbpj,Foxc1,Zfp422,Pias3,Runx1,Ppara,Relb,Vdr,Cdc6,Arid3a,Lhx1,Hoxb8,Hoxb9,Hic1,Lhx6,Six4,Hoxb3,Zfp263,Cbfa2t3,Ehf,Nhlh1,Gata6,Gata4,Gata5,Lpp,Nfe2l3,Nfe2l2,Tmf1,Gli1,Tbx2,En1,En2,Hnf1a,Tbx4,Zfp423,Elf1,Foxb1,Elf2,Elf4,Mxd1,Wt1,Rfx4,Bhlhe41,Sox13,Taf4b,Rfx2,Sox17,Ahr,Sall4,Med14,Smyd1,Sall3,Arid2,Zfp64,Pgr,Trps1,Hoxa1,Bach2,Bach1,Notch3,Pknox1,Pknox2,Sin3a,Etv3,Smad9,Smad5,Alx1,Egf,Mn1,Nkx3-1,Rbak,Gabpa,Nfkbiz,Zscan21,Trp73,E2f7,Esrrg,Rbpjl,Nfatc4,Nr5a1,Neurod4,Esrrb,Tbx21,Rorc,Mitf,Pax7,Pax6,Pax1,Pax3,Pax2,Pax9,Zkscan17,Gfi1,Mzf1,Runx3,Smarca4,Foxd4,Foxd3,Creb1,Srebf1,Sox11,Gmeb2,Irx4,Pou3f2,Ikzf1,Tcf23,Mtf2,Npas3,Nfatc3,Nfil3,Phox2b,Plag1,E2f2,Ddx3x,Taf2,Pou4f1,Trim33,Tsc2,Lmx1a,Nr2f2,Eomes,Wwtr1,Foxo1,Ar,Zfp354a,Elk4,Foxo4,Sall1,Mycn,Maml3,Foxp3,Atm,Uaca,Tbr1,Pml,Lhx3,Atr,Zbtb33,Ptch1,Lhx5,Barhl1,Irx5,Tfap2b,Tfap2e,Rxra,Rxrb,Gli2,Gli3,Zic4,Zic5,Zic2,Zic3,Satb1,Onecut2,Foxn4,Mnat1,Foxn1,Dlx2,Vezf1,sncg,sst,th,vip,xdh,slc17a8,slc5a7,slc6a3,slc6a8,smad3,opalin,pdgfra,palvb,reln,slc17a7,lyve,mfge8,mog,myl14,ndnf,ctss,foxj1,gad1,htr3a,igtp,acta2,alldh1l1,camk2,chat,cldn5,ngef,tiam1,slc1a2,gja1,fbll1
1640,354x240,7,12,18,7,6,27,7,26,9,8,13,18,11,8,21,7,7,6,5,5,7,12,7,8,4,2,15,4,8,5,2,14,18,10,4,6,5,0,6,6,0,5,12,11,5,7,10,8,5,5,6,2,2,7,24,11,9,10,17,24,8,20,6,19,12,17,11,12,4,21,0,16,7,9,5,15,17,9,6,6,4,9,10,7,3,6,16,10,9,10,7,25,16,0,19,9,8,6,2,8,24,5,10,2,6,1,2,20,1,19,5,2,14,5,0,15,3,14,20,15,6,7,4,22,2,6,13,12,9,0,6,12,10,6,6,3,7,6,15,3,14,8,6,19,2,12,16,10,14,5,14,19,3,13,12,9,4,7,9,14,4,12,5,10,17,5,5,9,3,8,11,11,13,11,9,5,23,10,17,29,13,7,1,5,4,6,22,9,3,9,5,5,16,14,7,4,10,8,5,23,4,3,8,8,7,11,14,7,0,7,10,4,4,17,18,3,25,9,38,12,23,16,10,17,7,24,15,6,48,4,14,12,27,22,9,25,21,25,11,8,18,24,8,16,13,34,22,7,23
1641,438x269,14,4,10,9,6,7,5,21,4,0,4,12,6,7,3,2,6,9,8,8,11,13,7,4,7,5,5,13,8,5,11,12,16,11,3,2,6,2,4,18,3,10,5,10,1,3,23,4,11,12,8,4,7,11,10,3,9,11,5,7,10,10,16,3,5,3,0,8,0,11,2,3,9,7,8,6,14,8,5,6,11,9,5,1,6,7,2,3,11,8,13,0,16,2,8,2,3,4,12,11,5,1,6,5,4,0,18,2,0,6,2,4,1,2,5,10,12,16,11,5,5,10,0,8,7,1,10,15,10,4,9,19,6,1,5,13,1,0,3,0,5,3,4,1,10,3,14,12,6,7,20,8,14,4,6,6,3,6,3,4,6,0,4,7,3,4,11,2,6,13,8,9,4,6,4,6,8,5,2,5,5,8,4,6,9,6,19,0,1,10,5,1,5,15,13,3,6,3,10,4,4,0,2,4,3,13,9,9,10,8,8,7,3,9,25,2,30,9,28,8,21,19,11,24,7,38,15,17,33,6,18,17,17,24,9,32,6,28,26,7,17,24,18,9,10,18,12,5,26
1643,576x333,14,14,4,3,23,21,5,11,9,12,8,7,6,10,0,4,6,5,3,10,16,5,7,9,12,3,17,2,1,15,11,14,10,8,2,1,7,8,7,13,10,14,6,22,1,12,11,12,4,9,6,0,3,5,12,17,3,8,5,16,4,2,15,6,2,15,8,18,21,10,11,5,5,20,11,5,9,5,4,2,12,12,18,3,3,1,1,2,4,24,6,15,15,17,9,6,7,5,3,15,13,13,4,2,6,4,5,9,0,12,7,5,4,8,2,17,7,7,8,6,16,5,9,14,2,1,2,2,12,5,1,3,13,6,0,3,9,22,0,2,11,15,9,10,13,10,9,4,11,0,11,6,11,9,5,0,7,11,5,5,5,8,4,14,10,0,9,9,7,19,8,7,28,11,9,24,17,24,5,17,7,1,10,10,6,4,5,8,2,4,2,5,17,5,8,10,7,2,12,3,9,3,11,3,13,13,17,4,15,7,22,4,24,5,23,4,34,14,47,8,18,13,6,21,7,42,27,18,48,4,13,19,27,23,14,42,8,30,19,10,22,21,10,9,6,17,11,1,22
1644,470x357,10,11,11,23,7,23,19,18,19,20,4,20,11,6,8,1,14,17,3,26,14,5,1,5,12,24,14,6,4,7,23,3,7,16,20,12,13,4,7,11,4,4,12,14,2,26,12,6,13,9,4,15,7,17,17,13,2,1,18,4,12,21,7,28,2,8,13,7,18,0,5,9,2,13,1,9,5,0,7,5,11,19,6,2,3,6,6,6,5,15,1,3,9,6,19,15,5,4,9,13,15,4,5,7,36,0,5,16,12,3,17,22,3,14,10,9,4,9,10,24,7,7,3,13,8,2,13,5,2,4,9,22,11,7,11,12,10,3,2,6,16,16,9,8,10,2,19,18,27,3,12,9,7,22,8,15,8,8,13,10,14,0,12,15,8,9,5,11,19,11,11,14,8,14,21,10,14,26,11,14,9,8,4,0,13,3,20,8,2,4,12,11,15,24,10,2,1,9,8,13,14,4,3,7,14,7,11,24,9,6,9,31,10,7,31,8,42,14,55,12,21,22,7,28,14,42,28,20,59,13,20,20,35,22,20,44,11,27,23,22,21,28,18,11,11,21,34,3,36
1645,674x365,14,13,14,5,19,50,12,31,19,32,18,29,14,18,17,13,20,14,23,18,13,13,15,26,19,14,8,13,17,5,20,12,11,22,7,1,11,14,17,15,7,11,16,31,9,3,7,5,5,19,31,19,17,14,34,7,13,12,21,3,11,10,22,21,18,10,9,20,16,20,13,22,24,19,12,6,19,4,8,10,14,8,17,5,14,13,8,7,20,17,4,11,13,2,28,10,31,22,10,8,16,18,14,16,24,12,14,18,26,10,10,14,15,35,7,20,8,35,29,19,14,18,8,23,5,10,19,6,16,9,13,19,20,29,19,19,10,11,15,7,15,14,27,14,4,7,11,7,5,10,23,19,9,13,24,9,15,13,8,22,17,24,12,15,21,15,15,29,11,12,2,18,24,12,7,12,17,7,11,5,11,11,3,9,4,19,13,13,15,19,3,8,15,17,37,16,16,7,17,17,21,8,35,12,23,18,11,19,9,14,29,12,19,17,35,8,61,10,50,5,39,20,12,26,14,58,31,13,69,12,31,45,32,31,25,40,30,39,34,18,29,40,28,18,21,32,22,8,37
1647,341x420,18,7,0,2,14,42,7,16,1,0,10,4,8,9,9,17,3,12,11,8,7,8,8,11,5,10,8,7,6,4,14,11,1,16,8,2,2,9,2,4,3,8,7,16,13,4,3,7,14,6,6,1,10,0,15,23,3,0,6,1,9,19,13,21,2,5,5,1,2,4,6,10,8,3,3,7,5,15,6,0,9,10,7,5,6,7,6,4,9,26,4,2,11,10,2,12,14,11,12,4,10,12,0,13,24,4,5,2,18,4,4,8,8,5,2,15,4,11,9,12,0,5,3,9,8,9,3,0,0,3,5,22,9,4,7,10,13,11,6,5,7,5,9,1,3,17,11,8,10,12,16,6,3,12,11,13,4,12,14,6,11,7,10,16,7,5,0,4,13,8,6,21,24,4,7,15,21,31,7,0,6,6,12,5,11,13,20,10,5,8,14,8,6,16,9,11,11,3,13,19,18,12,4,12,8,12,33,7,12,3,30,13,0,5,16,3,29,7,33,8,21,20,13,26,9,27,20,11,40,8,22,19,22,12,13,25,7,17,17,14,23,34,9,8,11,18,37,13,25
1648,374x435,2,0,0,5,8,29,7,8,5,2,2,13,2,7,13,9,2,1,2,10,4,3,2,4,14,1,0,5,9,7,25,6,11,8,5,6,0,12,3,12,13,14,9,14,3,7,14,0,11,4,4,5,11,10,3,12,3,1,5,3,0,11,11,6,17,4,8,2,8,2,10,4,3,12,9,5,5,3,2,9,8,9,3,5,1,6,2,2,0,7,7,2,4,5,8,1,4,6,2,1,6,12,1,1,20,7,5,9,9,16,16,14,2,3,8,0,13,6,1,0,4,3,1,8,4,7,1,5,8,9,2,12,14,1,18,1,0,1,3,7,9,1,12,5,12,12,5,7,4,16,10,6,0,3,8,6,5,14,4,8,13,7,9,10,14,10,2,14,6,5,1,1,8,11,0,13,4,6,11,8,2,5,0,12,0,3,4,1,3,3,1,0,6,5,13,10,4,14,9,7,7,9,10,5,7,3,2,1,10,6,3,5,1,5,26,6,24,9,27,14,16,15,10,22,7,22,17,17,26,7,16,10,17,11,9,16,5,19,17,16,13,18,14,12,9,20,24,7,22
1649,700x504,15,0,9,4,0,31,5,24,1,7,6,8,8,13,14,10,7,15,5,4,7,4,2,5,7,3,7,5,7,7,7,6,6,11,5,1,2,1,7,10,7,11,3,22,7,13,18,2,3,3,5,9,10,9,7,10,27,11,11,1,3,13,7,12,3,9,4,6,14,1,16,11,0,1,4,5,6,9,0,2,3,9,3,1,3,5,0,0,12,7,2,3,13,6,11,10,4,12,5,1,21,7,11,5,10,4,1,4,15,7,11,1,4,17,7,9,8,4,8,10,7,14,0,2,10,7,8,2,11,3,3,4,7,5,1,18,4,11,5,3,10,8,18,12,6,5,5,9,19,3,20,6,0,14,7,9,3,3,10,2,5,3,15,8,3,2,11,4,5,23,6,5,9,9,14,5,14,16,3,4,11,13,7,17,2,6,13,5,2,0,7,12,15,9,8,7,4,7,10,15,12,4,5,3,11,12,2,13,15,5,13,4,0,9,25,1,44,5,40,7,28,11,9,21,6,24,16,8,48,5,7,17,24,22,9,20,15,21,14,13,13,15,5,10,6,33,23,3,21
1650,769x517,10,7,0,12,8,34,8,7,11,18,12,21,5,4,8,4,6,19,3,8,12,10,5,7,4,1,7,6,1,4,7,6,6,9,2,6,7,15,3,14,6,1,7,1,3,14,14,2,0,9,8,19,4,0,4,16,9,11,8,0,7,11,7,5,0,1,8,14,2,2,9,14,1,11,6,0,0,3,2,9,2,7,8,1,3,6,6,3,5,6,1,6,2,7,6,8,13,7,1,10,4,6,6,10,14,0,3,14,14,2,2,8,1,4,3,6,10,3,7,5,5,10,4,7,0,7,6,6,22,7,10,14,6,12,5,2,6,15,13,11,1,2,6,11,4,2,7,12,7,11,7,2,7,4,7,10,9,3,10,3,3,1,5,9,3,0,9,0,8,16,10,11,20,12,12,13,16,21,2,4,21,11,6,3,19,7,15,1,2,14,4,5,4,7,10,7,13,7,9,5,6,5,11,7,0,1,0,3,10,4,8,3,3,12,23,7,40,8,26,5,21,8,8,19,9,32,15,17,41,15,16,13,28,13,8,36,13,24,22,9,20,19,20,10,4,14,10,6,24
1652,725x565,7,6,7,7,4,16,4,11,8,9,8,4,5,8,6,7,6,3,6,7,3,2,1,13,10,1,1,3,1,0,1,6,6,8,9,13,4,0,9,6,0,9,9,13,4,16,21,2,4,14,5,2,0,1,6,3,6,17,16,4,8,4,17,6,8,7,3,12,13,10,5,7,7,11,0,1,3,4,7,8,7,7,8,13,6,7,0,1,12,0,5,8,12,7,2,18,3,9,7,9,7,1,4,6,10,3,7,12,5,1,2,3,2,12,12,3,2,4,3,8,10,2,7,14,16,7,14,4,11,12,1,9,4,2,8,4,2,10,9,5,1,5,10,3,5,18,3,6,10,12,8,10,5,9,3,2,9,5,4,6,6,5,1,0,8,1,17,0,6,15,6,12,8,10,2,2,15,26,6,9,5,0,5,5,11,15,6,3,7,1,1,0,3,18,18,8,6,1,6,6,1,4,6,5,5,12,4,8,3,2,7,2,10,13,18,4,27,6,27,3,15,11,9,13,3,23,19,10,26,7,10,9,30,16,9,22,7,17,27,13,16,15,6,9,6,8,9,5,17
