"","x","y"
"1",-438.999142512078,-312.475845410628
"2",-437.428581687612,-334.316858168761
"3",-432.65661810614,-438.886659729449
"4",-429.781787965617,-411.289793696274
"5",-412.916125108601,-358.068635968723
"6",-410.738893414799,-310.591167684996
"7",-404.533223487118,-388.6584182145
"8",-406.591446945338,-334.700021436227
"9",-395.142241871079,-430.60819167142
"10",-442.326329305136,-158.926027190332
"11",-436.491505823628,-194.094633943428
"12",-439.516092843327,-238.542379110251
"13",-426.268836758434,-271.763571151609
"14",-429.424076484947,-110.709421480879
"15",-424.191205673759,-219.083687943262
"16",-427.288216560509,-145.076496815287
"17",-402.686833910035,-227.782370242214
"18",-402.32913649025,-129.30708913649
"19",-445.013433628319,24.5770387610619
"20",-441.568507625272,-93.711665577342
"21",-445.819963235294,60.2723639705882
"22",-438.336577815993,-19.1772659957008
"23",-436.482979189486,-65.1469364731654
"24",-436.140592948717,81.2736322115385
"25",-431.535597484277,46.8273486073675
"26",-425.749099099099,5.87399710698198
"27",-419.109511952191,-50.0895169322709
"28",-409.781966647498,41.7585089131685
"29",-398.245283497884,103.083956558533
"30",-409.973913270637,-93.8478014629051
"31",-401.392279835391,-0.752539646090535
"32",-443.197135231317,210.21884341637
"33",-443.3294,176.970783333333
"34",-443.529412442396,111.122173963134
"35",-420.837807056722,143.920924519875
"36",-429.576684337349,245.770775903614
"37",-428.346580534022,216.301636520241
"38",-429.236339181287,186.610280701754
"39",-428.996946983546,160.142614259598
"40",-424.676109725685,113.527847049044
"41",-410.258017045454,297.442534090909
"42",-409.587375886525,169.499550827423
"43",-410.193641917294,269.87144736842
"44",-397.896637848223,185.950427473583
"45",-445.150479704797,388.936642066421
"46",-434.785206063477,318.418273330174
"47",-438.438976207643,465.661989906272
"48",-436.538035587188,420.920690391459
"49",-423.400731707317,385.523742160279
"50",-415.349294636297,361.375870683321
"51",-413.699471661863,436.349951969259
"52",-410.830980263158,469.994118421053
"53",-399.954215761285,408.31286151492
"54",-442.245722222223,507.680791666666
"55",-440.159104339797,550.899870729455
"56",-440.05879661017,590.135050847458
"57",-411.171835174172,536.122540356839
"58",-411.187492401216,584.089027355622
"59",-414.201482813749,503.784972022381
"60",-405.794925373134,561.654146658014
"61",-382.647745726496,528.595555555557
"62",-365.521004450095,589.904240305149
"63",-368.216755980861,563.251990430622
"64",-354.653282407407,532.790768518519
"65",-332.580798004988,559.223403990024
"66",-329.034883546206,497.426528925619
"67",-327.571441774492,533.651700554528
"68",-302.594828349944,585.406408268733
"69",-308.913741007194,549.263147482014
"70",-310.327183462532,570.081343669251
"71",-298.689769898152,509.320592229348
"72",-289.53965738758,555.30556745182
"73",-273.495879230259,536.439163901792
"74",-268.422083333333,568.949645833334
"75",-243.823448854109,511.994242593628
"76",-240.944401993355,562.541461794021
"77",-235.402806451613,591.150451612903
"78",-214.230404217926,571.524982425307
"79",-214.943955773956,519.889115479116
"80",-204.650437044745,538.462882414152
"81",-387.84252265861,310.610317220544
"82",-383.293827586207,339.074787356322
"83",-381.50499375,448.7248125
"84",-376.663793219201,494.022017455522
"85",-378.862580645162,379.514771968854
"86",-366.860519662921,420.983483146067
"87",-354.951461090524,301.663409211223
"88",-348.554332855093,465.978464849354
"89",-355.924988847584,359.825434944238
"90",-346.513469573116,327.809082652134
"91",-336.758958001063,426.388660287082
"92",-337.334701726845,383.728908948195
"93",-320.721671111111,349.380666666667
"94",-308.826435643565,386.994469589816
"95",-307.849432989691,325.374604810997
"96",-310.176817548746,413.571030640669
"97",-302.568014541387,459.155503355705
"98",-299.048528138528,372.225281385281
"99",-288.330145454545,351.690872727273
"100",-276.875180722892,420.042457831326
"101",-269.277219222462,449.271884449245
"102",-274.702525925925,328.12614074074
"103",-269.072888592395,396.705710473649
"104",-263.282753468517,369.643212379936
"105",-266.037823482428,495.081010383387
"106",-241.898039003251,320.161310942578
"107",-241.250032493907,357.820909829407
"108",-234.535357142857,387.210418367347
"109",-234.191043030869,425.537768942937
"110",-221.106168694922,486.908581619807
"111",-217.495842044135,333.588861788618
"112",-213.985187760779,361.371821974965
"113",-204.960708748616,433.488405315614
"114",-201.873657187994,387.05804107425
"115",-380.171600378787,136.0175
"116",-386.157396839333,234.353933274802
"117",-373.558478123018,282.419549778059
"118",-369.347566409597,170.673547557841
"119",-357.922159090909,231.560532024794
"120",-352.131265580056,105.09389613295
"121",-330.457424556554,200.025095600092
"122",-335.589500831947,150.403236272878
"123",-328.904424920128,256.123865814696
"124",-307.61976977815,123.637946839682
"125",-314.259688498402,299.506753194889
"126",-299.421187766714,254.727190611664
"127",-297.833626984127,160.645349206349
"128",-277.054226804124,295.977376861398
"129",-278.335819984745,117.220198321892
"130",-282.031463039014,219.350857289528
"131",-263.848230958231,257.22406019656
"132",-259.750129032258,187.116987096774
"133",-257.78247129579,124.244334062329
"134",-248.313645937813,289.546429287863
"135",-246.10556778679,145.973725376593
"136",-238.562417582417,230.635179168657
"137",-218.620737444374,112.636770502225
"138",-223.514678178964,162.794678178964
"139",-220.599664983938,284.623891693438
"140",-216.140333131436,195.873949121744
"141",-205.229203942381,226.523639120546
"142",-198.760942136499,140.82115727003
"143",-400.157097014925,-37.9173776119404
"144",-391.078918669131,-71.0741802218114
"145",-385.127321507761,70.9768709534368
"146",-383.470911743253,31.4593436907367
