,x,y,z,field,total_count
959,444,342,1,41,2317
960,462,404,1,41,3436
961,442,438,1,41,3276
962,802,646,1,41,2970
963,456,684,1,41,3546
964,206,722,1,41,5179
965,296,774,1,41,4115
966,610,782,1,41,3882
967,457,794,1,41,2686
968,741,809,1,41,2021
975,820,446,2,41,4490
976,278,456,2,41,3560
984,406,278,3,41,4096
985,344,513,3,41,3804
986,360,561,3,41,2198
987,349,578,3,41,1303
988,494,682,3,41,5264
997,413,390,4,41,6669
999,277,426,4,41,2872
1000,554,477,4,41,2783
1001,605,482,4,41,6204
1003,240,654,4,41,2939
1004,364,720,4,41,2543
1007,484,518,5,41,8929
1008,396,634,5,41,3998
1009,420,734,5,41,3954
1010,797,428,6,41,3878
1011,569,624,6,41,8671
1012,590,694,6,41,5957
1017,205,357,7,41,5959
1019,236,450,7,41,3205
1020,265,584,7,41,5932
1021,214,588,7,41,4694
1022,721,628,7,41,3098
1023,306,644,7,41,3331
1024,785,782,7,41,3512
1028,261,502,8,41,5235
1029,749,597,8,41,3169
1030,260,689,8,41,3129
1031,777,689,8,41,6443
1032,513,304,9,41,8213
1034,448,310,9,41,4297
1035,340,680,9,41,5466
1036,520,762,9,41,7327
1040,428,232,10,41,9714
1041,314,280,10,41,7127
1043,282,373,10,41,5044
1044,397,481,10,41,6366
1045,630,533,10,41,6196
1046,409,773,10,41,7050
1053,292,234,11,41,5495
1054,294,322,11,41,6740
1055,346,338,11,41,6239
1057,697,690,11,41,6782
1063,429,580,12,41,8746
1064,336,592,12,41,2402
1065,545,696,12,41,5982
1066,258,761,12,41,6666
1071,242,357,13,41,4322
1072,656,472,13,41,3928
1074,205,509,13,41,6482
1075,725,528,13,41,5786
1076,740,554,13,41,3568
1077,597,598,13,41,6972
1078,738,646,13,41,2461
1079,708,738,13,41,6797
1080,329,744,13,41,4701
1088,638,761,14,41,6144
1094,238,242,15,41,5551
1095,488,381,15,41,6043
1096,328,404,15,41,6897
1097,682,565,15,41,6211
1098,425,656,15,41,5449
1106,537,381,16,41,7702
1107,204,444,16,41,3974
1108,722,465,16,41,3672
1109,758,465,16,41,4203
1110,796,500,16,41,2971
1111,637,706,16,41,5724
1115,361,265,17,41,3803
1116,553,501,17,41,3800
1118,777,600,17,41,4027
1119,238,278,18,41,3852
1120,669,526,18,41,4739
1122,345,228,19,41,6753
1123,377,306,19,41,4227
1127,673,485,19,41,2979
1129,802,777,19,41,3016
1130,722,808,19,41,4205
1133,445,276,21,41,6224
1134,561,452,21,41,4451
1141,270,394,25,41,2529
1142,752,550,26,41,3494
