,x,y,z,field,total_count
2098,512,252,1,46,2644
2099,420,258,1,46,2961
2100,491,367,1,46,3879
2101,452,539,1,46,3625
2102,586,611,1,46,3104
2103,659,612,1,46,3967
2104,738,706,1,46,5315
2105,651,739,1,46,2072
2106,656,814,1,46,2526
2111,392,331,3,46,3839
2112,421,518,3,46,2687
2114,677,513,5,46,5796
2115,510,763,5,46,4566
2118,460,339,6,46,4916
2119,496,434,6,46,7898
2120,508,524,6,46,5491
2121,612,663,6,46,4296
2122,618,808,6,46,6278
2125,414,574,7,46,3724
2126,518,682,7,46,6366
2131,602,717,8,46,4636
2133,517,218,9,46,4964
2134,374,363,9,46,2802
2135,596,519,9,46,4625
2139,360,549,11,46,3469
2140,704,554,11,46,5472
2141,798,749,11,46,3176
2142,546,821,11,46,7078
2145,447,285,12,46,4552
2146,541,537,12,46,5903
2147,638,774,12,46,3808
2151,521,363,13,46,5703
2152,634,554,13,46,7286
2153,800,791,13,46,4173
2156,408,306,14,46,4078
2157,572,344,14,46,4403
2158,384,671,14,46,2372
2159,684,793,14,46,5105
2164,407,498,15,46,2993
2165,522,628,15,46,7791
2167,742,644,16,46,6394
2168,658,728,16,46,4638
2169,557,750,16,46,6734
2174,537,260,17,46,4620
2175,488,308,17,46,5556
2176,421,379,17,46,5364
2177,458,404,17,46,4826
2178,423,469,17,46,3344
2179,460,614,17,46,5738
2183,377,238,18,46,5702
2184,584,478,18,46,8237
2185,646,616,18,46,5407
2186,391,630,18,46,4507
2188,426,539,19,46,2348
2189,584,628,19,46,4434
2190,471,669,19,46,6127
2191,772,749,19,46,3140
2195,392,271,20,46,3122
2196,374,401,20,46,3480
2197,430,431,20,46,4023
2198,710,581,20,46,4109
2199,559,666,20,46,5255
2200,773,566,21,46,6232
2202,646,688,22,46,3574
2204,449,250,23,46,4344
2205,688,674,23,46,4607
2207,574,583,24,46,5438
2208,474,442,25,46,3719
2209,635,478,25,46,3890
2210,392,577,25,46,2999
2211,548,365,27,46,4451
2212,600,700,27,46,1954
2213,560,715,28,46,3974
2214,593,533,29,46,2110
2215,601,673,29,46,1546
2216,631,762,29,46,2720
