,x,y,z,field,total_count
1144,451,223,1,42,3066
1145,429,392,1,42,1777
1146,294,410,1,42,3818
1147,259,485,1,42,1561
1148,426,488,1,42,2843
1151,811,662,1,42,1002
1152,593,715,1,42,2881
1153,559,780,1,42,2632
1155,382,808,1,42,3127
1161,389,222,2,42,3725
1162,220,244,2,42,2985
1163,350,266,2,42,3127
1166,600,338,2,42,3125
1167,222,456,2,42,2818
1168,688,473,2,42,3432
1169,430,577,2,42,3518
1171,415,627,2,42,4169
1172,279,632,2,42,5363
1173,785,667,2,42,1961
1184,694,340,3,42,3802
1185,726,357,3,42,4798
1186,777,513,3,42,3371
1188,525,725,3,42,5997
1190,683,796,3,42,2787
1198,420,258,4,42,4917
1199,350,418,4,42,5243
1200,569,599,4,42,3129
1202,347,749,4,42,4546
1207,636,389,5,42,4298
1208,592,516,5,42,5268
1212,387,364,6,42,2547
1213,635,479,6,42,4066
1214,226,535,6,42,1937
1215,371,701,6,42,5913
1219,283,523,7,42,4048
1225,471,386,8,42,2858
1226,654,563,8,42,3849
1227,656,624,8,42,2917
1228,317,630,8,42,3070
1235,489,289,9,42,4558
1236,236,348,9,42,4821
1237,576,423,9,42,4991
1238,607,597,9,42,3834
1239,536,625,9,42,6099
1241,467,718,9,42,8716
1242,646,779,9,42,3926
1247,303,213,10,42,5780
1249,269,310,10,42,5920
1250,562,319,10,42,4131
1252,642,520,10,42,3946
1253,400,521,10,42,6780
1254,244,568,10,42,5133
1256,776,789,10,42,3847
1260,737,476,11,42,5464
1261,734,521,11,42,2176
1262,333,672,11,42,3782
1263,710,720,11,42,6430
1271,337,233,12,42,2333
1272,335,315,12,42,3362
1273,391,344,12,42,2171
1275,543,393,12,42,2275
1277,336,468,12,42,5164
1278,758,604,12,42,4827
1282,388,781,12,42,5616
1289,366,333,13,42,2660
1290,400,405,13,42,2796
1295,546,819,13,42,3565
1301,698,368,14,42,2328
1302,595,465,14,42,5837
1303,432,466,14,42,3062
1305,469,615,14,42,6145
1307,626,730,14,42,4650
1316,551,360,15,42,2566
1317,441,427,15,42,2383
1319,778,553,15,42,3569
1320,693,610,15,42,2622
1321,806,750,15,42,2301
1325,544,279,16,42,7123
1326,314,379,16,42,5453
1327,265,488,16,42,2007
1328,382,614,16,42,5782
1329,758,676,16,42,4013
1331,552,755,16,42,3928
1332,720,782,16,42,3362
1335,612,311,17,42,6386
1336,502,323,17,42,4541
1339,694,502,17,42,3942
1340,454,513,17,42,4627
1341,313,561,17,42,6498
1342,706,572,17,42,3180
1343,753,577,17,42,2000
1345,821,696,17,42,2149
1349,276,257,18,42,5910
1350,505,382,18,42,3841
1351,662,420,18,42,5871
1352,540,426,18,42,4132
1353,750,529,18,42,1500
1354,208,801,18,42,4886
1356,237,375,19,42,4822
1357,281,445,19,42,3838
1358,779,467,19,42,6258
1360,317,646,19,42,1127
1361,528,520,20,42,5695
1362,662,643,20,42,2967
1363,581,690,20,42,5569
1364,322,759,20,42,8394
1369,648,377,21,42,3378
1370,488,497,21,42,6013
1371,473,555,21,42,5747
1372,568,794,21,42,2311
1373,417,348,22,42,3612
1374,604,526,22,42,3365
