,info,Tal1,Dmbx1,Emx2,Uncx,Paxip1,Ctnnb1,Prdm1,Rybp,Nfkb2,Tfdp2,Grhl1,Sp8,Irf2,Zfp287,Esr2,Zfp128,Vav1,Sp1,Ppargc1b,Sp7,Pin1,Nfya,Vsx1,Klf1,Vsx2,Mybl1,Mybl2,Rnf2,Blzf1,Topors,Nr3c2,Nfia,Taf6l,Nr4a3,Hoxd12,Hoxd13,Ttf1,Sox9,Nr2e1,Polr2b,Hltf,Sox6,Pbx3,Sox5,Foxa1,Cdc5l,Cebpg,Ciita,Rest,Ets1,Mafk,Tbx15,Scml2,Myb,Clock,Rbpj,Foxc1,Zfp422,Pias3,Runx1,Ppara,Relb,Vdr,Cdc6,Arid3a,Lhx1,Hoxb8,Hoxb9,Hic1,Lhx6,Six4,Hoxb3,Zfp263,Cbfa2t3,Ehf,Nhlh1,Gata6,Gata4,Gata5,Lpp,Nfe2l3,Nfe2l2,Tmf1,Gli1,Tbx2,En1,En2,Hnf1a,Tbx4,Zfp423,Elf1,Foxb1,Elf2,Elf4,Mxd1,Wt1,Rfx4,Bhlhe41,Sox13,Taf4b,Rfx2,Sox17,Ahr,Sall4,Med14,Smyd1,Sall3,Arid2,Zfp64,Pgr,Trps1,Hoxa1,Bach2,Bach1,Notch3,Pknox1,Pknox2,Sin3a,Etv3,Smad9,Smad5,Alx1,Egf,Mn1,Nkx3-1,Rbak,Gabpa,Nfkbiz,Zscan21,Trp73,E2f7,Esrrg,Rbpjl,Nfatc4,Nr5a1,Neurod4,Esrrb,Tbx21,Rorc,Mitf,Pax7,Pax6,Pax1,Pax3,Pax2,Pax9,Zkscan17,Gfi1,Mzf1,Runx3,Smarca4,Foxd4,Foxd3,Creb1,Srebf1,Sox11,Gmeb2,Irx4,Pou3f2,Ikzf1,Tcf23,Mtf2,Npas3,Nfatc3,Nfil3,Phox2b,Plag1,E2f2,Ddx3x,Taf2,Pou4f1,Trim33,Tsc2,Lmx1a,Nr2f2,Eomes,Wwtr1,Foxo1,Ar,Zfp354a,Elk4,Foxo4,Sall1,Mycn,Maml3,Foxp3,Atm,Uaca,Tbr1,Pml,Lhx3,Atr,Zbtb33,Ptch1,Lhx5,Barhl1,Irx5,Tfap2b,Tfap2e,Rxra,Rxrb,Gli2,Gli3,Zic4,Zic5,Zic2,Zic3,Satb1,Onecut2,Foxn4,Mnat1,Foxn1,Dlx2,Vezf1,sncg,sst,th,vip,xdh,slc17a8,slc5a7,slc6a3,slc6a8,smad3,opalin,pdgfra,palvb,reln,slc17a7,lyve,mfge8,mog,myl14,ndnf,ctss,foxj1,gad1,htr3a,igtp,acta2,alldh1l1,camk2,chat,cldn5,ngef,tiam1,slc1a2,gja1,fbll1
720,699x587,8,12,18,1,17,53,12,7,12,21,8,18,11,6,11,5,10,14,14,9,8,17,2,6,10,7,20,7,6,11,35,13,11,10,11,9,3,1,27,25,6,15,13,20,5,9,3,26,24,0,8,7,4,11,9,12,12,17,11,15,9,11,13,17,10,5,14,5,11,5,13,9,14,20,12,7,5,9,0,10,14,18,7,16,5,11,11,9,6,11,4,7,12,14,6,6,8,5,19,8,26,3,11,9,14,8,16,20,16,17,9,3,16,17,27,13,6,12,23,14,8,9,15,28,6,19,12,8,28,20,10,27,9,18,5,17,19,5,3,17,5,10,10,14,7,10,6,13,9,14,41,5,10,11,6,5,11,5,32,9,11,18,5,16,6,9,5,12,23,10,7,27,19,11,14,5,15,5,16,23,13,13,3,17,11,27,22,5,21,21,16,13,39,8,14,9,5,15,2,13,2,12,14,21,17,12,20,17,23,23,22,6,0,14,69,10,52,9,43,12,29,22,15,39,13,37,33,18,76,8,14,32,60,27,9,28,15,36,28,22,24,61,24,15,19,41,20,2,28
721,743x668,20,8,9,13,12,56,23,33,4,14,24,25,14,5,15,17,25,2,11,20,16,17,6,3,37,10,10,10,8,2,22,3,9,17,5,8,6,10,7,15,3,16,21,28,5,6,17,7,8,11,3,7,21,17,24,24,15,10,15,11,7,6,30,23,10,4,6,12,14,14,11,9,17,4,1,2,13,10,11,28,10,15,7,8,3,19,10,8,11,21,7,16,5,4,20,5,8,19,10,14,37,9,10,13,15,11,14,9,8,7,13,32,3,17,15,15,5,13,15,15,13,2,10,26,18,25,6,5,10,16,9,14,7,18,4,23,9,17,16,9,10,11,15,6,15,8,1,14,6,21,19,0,10,17,3,10,12,3,29,6,8,17,13,15,18,9,8,17,19,7,11,25,38,12,7,12,39,31,9,18,9,10,16,16,14,24,13,11,2,0,20,10,31,16,19,7,12,3,6,29,9,5,10,16,21,20,8,10,7,12,42,6,3,33,51,10,52,4,58,7,35,19,16,39,17,38,31,24,73,8,13,20,41,24,10,35,20,31,25,19,15,52,37,18,12,28,27,8,17
722,692x729,20,19,12,12,21,60,11,28,17,39,17,26,19,24,29,4,18,22,13,25,28,16,20,31,16,9,8,14,16,12,57,35,24,29,12,18,23,13,19,17,2,18,19,47,14,19,22,29,9,14,28,20,18,24,20,54,25,12,26,20,19,36,30,17,16,15,21,10,18,30,26,18,28,42,23,17,12,11,14,34,21,13,10,16,4,22,7,13,5,21,10,21,15,16,19,13,13,20,16,10,31,4,2,21,32,21,21,30,22,15,7,19,15,21,11,29,10,7,7,26,17,19,14,16,30,25,22,13,25,11,15,16,20,22,28,21,19,1,22,8,23,14,22,34,8,18,15,27,24,24,42,30,13,29,19,27,13,25,27,23,3,20,14,17,13,4,28,15,27,31,13,23,27,25,25,21,35,16,32,27,14,8,12,15,25,9,33,9,27,8,15,15,19,29,28,6,15,4,20,9,13,32,26,12,17,27,16,18,29,13,27,11,8,21,64,12,81,8,60,13,56,45,22,53,17,58,61,27,72,14,27,40,50,40,27,49,27,54,43,32,47,52,47,25,28,32,17,9,34
725,704x415,18,18,19,8,20,53,17,38,17,19,31,38,15,16,22,13,15,19,16,19,17,31,27,6,28,27,5,20,25,23,21,18,8,27,14,10,42,13,10,31,16,18,14,15,27,25,10,3,6,14,5,11,8,12,44,24,13,35,6,8,36,36,24,34,12,12,15,13,14,26,20,18,17,18,8,15,23,10,20,23,13,13,29,16,17,10,14,6,15,26,2,33,14,8,40,17,12,15,23,11,33,6,28,23,22,26,15,16,12,5,14,15,17,21,8,41,5,10,26,25,26,13,14,11,19,25,11,11,44,15,14,21,22,12,23,16,16,21,20,9,16,12,20,7,11,4,13,12,28,7,46,18,5,27,8,18,9,23,13,16,13,11,12,13,8,22,22,29,25,25,21,25,45,4,16,4,13,27,26,25,29,6,9,25,15,8,34,12,23,2,30,19,19,20,26,10,27,26,21,15,11,23,17,20,16,19,21,24,7,16,23,4,12,18,81,17,58,11,53,15,33,29,32,40,20,59,52,18,85,18,32,43,62,41,20,41,22,52,36,32,33,60,37,27,17,29,11,6,39
726,629x473,21,13,12,9,11,89,12,37,4,16,18,32,10,25,17,7,8,9,13,28,15,19,20,4,18,7,3,18,29,13,18,29,14,14,13,7,18,7,18,21,9,25,37,19,14,16,14,10,5,10,10,10,9,26,24,30,19,11,12,27,28,7,42,6,3,9,26,20,18,11,18,22,24,6,16,3,10,5,7,18,10,18,22,12,18,16,13,8,20,20,5,3,15,12,18,2,11,14,14,4,8,9,8,38,27,11,6,32,14,8,7,5,7,31,15,11,2,28,24,24,20,7,11,23,14,25,13,15,25,17,13,26,30,8,12,19,15,8,17,7,23,9,10,14,12,23,15,25,26,18,54,12,3,34,14,25,4,1,23,11,9,9,22,16,9,7,7,28,12,30,6,24,14,7,23,19,34,9,13,23,9,19,4,22,17,44,20,9,23,6,4,8,14,6,22,24,17,15,25,16,6,15,26,23,21,29,24,16,7,23,6,12,16,22,72,5,66,4,55,15,34,34,24,62,16,50,50,42,80,11,25,45,38,43,19,58,25,46,25,18,37,59,40,19,18,30,21,7,25
727,476x590,15,10,7,17,19,84,18,32,27,23,23,26,13,6,9,14,13,10,10,10,18,25,11,7,15,7,3,10,23,15,10,20,7,24,21,8,22,5,21,7,5,18,9,26,15,31,12,15,7,17,19,1,19,16,26,18,29,19,8,21,7,28,25,17,18,21,27,24,5,17,19,13,18,24,23,10,28,12,4,19,26,18,26,7,18,9,16,11,15,19,32,17,14,4,22,5,21,11,26,21,36,5,5,9,8,17,9,31,28,19,13,10,12,14,10,32,13,30,11,28,16,20,23,14,21,19,21,4,34,14,16,24,30,28,7,21,16,18,4,6,12,16,15,15,13,13,9,14,21,17,40,5,14,21,7,9,13,6,21,13,31,6,14,24,16,15,13,15,22,24,15,43,40,23,19,14,20,6,26,37,37,24,6,11,25,11,13,5,3,14,19,7,27,28,27,23,30,16,17,19,14,8,18,16,34,21,20,18,18,30,24,7,13,48,38,13,59,10,54,9,28,23,10,35,14,39,37,16,55,16,24,40,30,25,19,42,26,34,29,23,25,58,44,21,13,28,45,12,37
729,756x774,31,19,15,19,23,78,27,33,12,29,29,16,24,18,15,26,15,17,27,17,30,15,20,30,27,8,10,18,14,33,43,20,14,31,19,12,29,7,13,28,11,25,11,27,24,18,29,17,5,20,24,25,31,31,32,21,28,23,21,13,26,24,25,30,26,22,16,36,20,17,20,37,13,26,34,13,16,8,16,26,13,17,32,22,16,18,26,12,8,36,19,11,20,31,38,16,11,15,18,25,14,23,16,13,23,21,15,9,6,18,38,26,23,12,25,40,14,26,23,41,23,24,12,36,18,32,32,22,53,17,26,22,13,21,17,15,24,26,6,20,19,11,30,17,17,20,38,14,12,23,73,17,16,36,21,12,13,14,29,22,19,19,14,24,29,15,14,16,24,13,28,29,35,20,24,23,18,31,24,38,16,19,15,30,19,26,19,22,10,8,19,25,38,35,25,15,12,18,25,11,10,13,30,36,22,34,21,20,23,30,21,19,18,31,84,21,106,15,71,18,56,30,33,76,8,72,65,42,90,15,28,32,67,66,27,45,39,85,53,36,45,61,61,29,27,40,22,8,35
730,593x806,12,24,10,2,12,25,6,15,19,16,11,11,7,12,20,15,1,24,30,6,31,7,9,15,16,13,12,23,11,9,6,10,5,14,6,5,22,4,17,17,0,21,21,18,15,20,11,3,4,9,13,10,10,29,17,26,10,11,19,19,8,15,19,13,7,9,1,16,12,13,4,9,10,15,16,12,7,4,9,20,4,20,7,6,4,26,10,0,2,15,19,11,17,14,8,18,10,12,2,13,12,10,26,10,16,12,14,13,8,17,18,7,19,12,9,14,5,17,10,22,6,22,4,14,12,8,17,13,24,10,8,8,12,10,10,10,2,16,4,14,14,20,25,7,16,11,6,20,8,2,32,8,9,30,11,17,4,4,14,4,14,5,9,23,14,13,11,4,37,10,13,34,35,16,7,8,28,26,10,22,19,12,3,9,6,17,25,9,1,7,7,9,23,24,16,18,13,9,10,14,9,9,18,35,27,17,10,12,4,3,7,22,21,10,31,12,28,4,46,11,27,19,12,37,9,32,37,15,63,8,15,21,29,12,14,22,17,24,22,12,22,52,39,17,14,20,31,6,24
737,486x413,32,16,34,8,34,87,23,18,13,32,18,11,10,10,26,22,13,20,21,21,24,28,9,17,10,18,24,16,34,16,36,34,16,22,28,20,30,20,22,17,9,31,38,22,18,15,30,9,20,7,15,20,11,47,26,25,37,13,16,10,22,62,26,37,26,14,24,21,20,35,14,39,45,29,20,20,26,16,16,39,24,24,28,23,5,31,11,21,14,34,10,18,13,11,21,10,16,16,32,9,30,25,12,23,41,26,19,34,12,24,27,22,14,16,16,17,16,23,21,34,24,36,17,30,25,32,15,15,31,17,30,30,18,29,16,41,12,32,16,26,29,29,19,9,34,20,7,38,19,34,58,13,9,31,14,29,2,42,18,18,17,29,14,11,25,15,17,24,47,18,37,21,58,29,3,42,43,19,37,44,24,32,8,51,24,37,36,18,20,31,33,4,45,34,23,10,36,15,30,28,4,9,29,11,7,26,18,22,22,28,47,19,16,63,66,18,71,20,63,15,40,50,27,52,27,98,61,29,84,30,46,54,61,33,27,45,34,50,47,22,33,114,63,26,22,53,81,21,46
738,743x574,12,18,8,16,19,79,26,26,10,19,23,13,7,33,22,5,8,12,19,5,3,13,23,11,12,18,13,25,30,8,32,26,9,20,28,8,20,17,17,10,2,26,12,32,13,10,6,2,16,15,14,23,16,9,33,39,16,13,15,12,16,21,12,5,18,11,17,17,23,24,9,12,10,17,22,24,7,12,9,7,19,11,12,7,12,21,4,14,7,43,5,12,5,16,31,6,27,11,26,7,31,12,26,12,24,19,17,16,8,21,33,10,26,18,26,20,17,35,2,17,19,20,6,26,4,18,14,24,22,17,6,12,23,22,3,12,14,28,15,19,15,10,35,13,6,34,15,16,16,25,56,19,11,35,6,15,7,10,14,13,21,22,8,16,13,4,18,19,17,21,12,16,27,22,2,29,15,20,26,10,19,17,17,17,12,26,12,14,7,14,8,18,6,11,27,27,24,15,12,15,9,19,18,15,3,17,16,10,16,19,26,20,5,42,59,14,64,10,42,17,43,26,34,54,13,68,48,39,52,17,43,39,48,48,23,41,33,44,41,19,34,80,47,28,26,33,33,15,24
