,x,y,z,field,total_count
824,510,373,1,40,6370
825,557,441,1,40,4501
827,354,320,2,40,5353
828,237,478,2,40,3982
829,402,665,2,40,6508
830,468,677,2,40,4853
831,529,724,2,40,4146
834,249,540,3,40,5021
835,644,657,3,40,7387
842,532,286,6,40,8250
843,658,446,6,40,6802
844,685,778,6,40,3899
845,504,792,6,40,3651
849,605,210,7,40,5942
850,445,304,7,40,2181
851,714,362,7,40,2709
853,260,676,7,40,2060
854,606,786,7,40,5668
855,692,576,8,40,11931
856,600,589,8,40,8748
857,681,700,8,40,4490
858,378,760,8,40,5471
859,329,786,8,40,2272
867,474,276,10,40,3414
868,412,297,10,40,5855
869,404,393,10,40,2900
870,438,398,10,40,2659
871,345,402,10,40,7553
872,456,458,10,40,7653
873,301,460,10,40,4436
874,758,758,10,40,5416
882,752,226,11,40,9738
883,512,340,11,40,3659
884,758,340,11,40,4229
885,457,353,11,40,2662
886,276,422,11,40,5050
887,637,514,11,40,8397
888,441,784,11,40,3654
889,417,208,12,40,7413
890,317,221,12,40,4061
891,389,248,12,40,5959
892,446,252,12,40,6409
893,670,256,12,40,7972
894,592,276,12,40,6456
895,597,330,12,40,6215
896,376,441,12,40,5506
897,392,494,12,40,2443
898,737,722,12,40,5944
905,762,268,13,40,8704
906,714,304,13,40,5693
907,658,337,13,40,5367
908,620,376,13,40,2292
909,478,506,13,40,6382
910,477,633,13,40,3822
911,404,716,13,40,6023
913,622,353,14,40,1759
914,711,451,14,40,6557
915,598,476,14,40,8022
916,562,540,14,40,8109
918,473,320,15,40,2113
919,272,362,15,40,7638
920,640,564,15,40,6849
921,738,673,15,40,5347
922,549,708,15,40,7688
923,642,754,15,40,6011
924,570,802,15,40,5931
925,465,817,15,40,3755
929,528,462,16,40,6836
930,305,585,16,40,9303
931,260,624,16,40,4792
932,293,673,16,40,6727
933,510,682,16,40,4020
934,349,810,17,40,1615
938,634,290,18,40,5444
939,345,297,18,40,5758
940,704,676,18,40,3402
941,648,710,18,40,4934
942,425,774,18,40,3532
945,530,510,19,40,5008
946,726,798,19,40,3771
947,700,760,20,40,4318
948,701,273,21,40,4449
951,565,237,22,40,5377
952,245,505,22,40,4210
954,772,809,23,40,5084
957,254,413,24,40,3589
958,692,661,27,40,4491
