,info,Tal1,Dmbx1,Emx2,Uncx,Paxip1,Ctnnb1,Prdm1,Rybp,Nfkb2,Tfdp2,Grhl1,Sp8,Irf2,Zfp287,Esr2,Zfp128,Vav1,Sp1,Ppargc1b,Sp7,Pin1,Nfya,Vsx1,Klf1,Vsx2,Mybl1,Mybl2,Rnf2,Blzf1,Topors,Nr3c2,Nfia,Taf6l,Nr4a3,Hoxd12,Hoxd13,Ttf1,Sox9,Nr2e1,Polr2b,Hltf,Sox6,Pbx3,Sox5,Foxa1,Cdc5l,Cebpg,Ciita,Rest,Ets1,Mafk,Tbx15,Scml2,Myb,Clock,Rbpj,Foxc1,Zfp422,Pias3,Runx1,Ppara,Relb,Vdr,Cdc6,Arid3a,Lhx1,Hoxb8,Hoxb9,Hic1,Lhx6,Six4,Hoxb3,Zfp263,Cbfa2t3,Ehf,Nhlh1,Gata6,Gata4,Gata5,Lpp,Nfe2l3,Nfe2l2,Tmf1,Gli1,Tbx2,En1,En2,Hnf1a,Tbx4,Zfp423,Elf1,Foxb1,Elf2,Elf4,Mxd1,Wt1,Rfx4,Bhlhe41,Sox13,Taf4b,Rfx2,Sox17,Ahr,Sall4,Med14,Smyd1,Sall3,Arid2,Zfp64,Pgr,Trps1,Hoxa1,Bach2,Bach1,Notch3,Pknox1,Pknox2,Sin3a,Etv3,Smad9,Smad5,Alx1,Egf,Mn1,Nkx3-1,Rbak,Gabpa,Nfkbiz,Zscan21,Trp73,E2f7,Esrrg,Rbpjl,Nfatc4,Nr5a1,Neurod4,Esrrb,Tbx21,Rorc,Mitf,Pax7,Pax6,Pax1,Pax3,Pax2,Pax9,Zkscan17,Gfi1,Mzf1,Runx3,Smarca4,Foxd4,Foxd3,Creb1,Srebf1,Sox11,Gmeb2,Irx4,Pou3f2,Ikzf1,Tcf23,Mtf2,Npas3,Nfatc3,Nfil3,Phox2b,Plag1,E2f2,Ddx3x,Taf2,Pou4f1,Trim33,Tsc2,Lmx1a,Nr2f2,Eomes,Wwtr1,Foxo1,Ar,Zfp354a,Elk4,Foxo4,Sall1,Mycn,Maml3,Foxp3,Atm,Uaca,Tbr1,Pml,Lhx3,Atr,Zbtb33,Ptch1,Lhx5,Barhl1,Irx5,Tfap2b,Tfap2e,Rxra,Rxrb,Gli2,Gli3,Zic4,Zic5,Zic2,Zic3,Satb1,Onecut2,Foxn4,Mnat1,Foxn1,Dlx2,Vezf1,sncg,sst,th,vip,xdh,slc17a8,slc5a7,slc6a3,slc6a8,smad3,opalin,pdgfra,palvb,reln,slc17a7,lyve,mfge8,mog,myl14,ndnf,ctss,foxj1,gad1,htr3a,igtp,acta2,alldh1l1,camk2,chat,cldn5,ngef,tiam1,slc1a2,gja1,fbll1
2495,544x360,21,19,49,20,28,137,17,34,18,24,32,36,34,25,40,36,32,18,32,26,25,52,23,34,14,21,19,28,29,18,31,24,21,60,35,17,16,12,7,48,15,33,29,55,21,46,26,15,25,21,41,14,35,21,38,36,24,31,38,29,28,36,23,37,32,10,31,45,28,15,14,18,42,30,14,15,22,22,10,35,36,32,28,19,26,27,25,7,25,44,28,28,26,22,13,22,17,21,13,26,53,25,26,18,27,22,32,34,18,43,11,32,22,31,16,38,19,42,24,26,37,35,34,38,21,26,34,29,41,25,26,52,21,40,23,27,18,27,12,13,24,14,28,32,13,15,17,21,16,43,68,8,19,41,20,46,8,23,28,40,14,2,12,49,30,23,22,40,50,38,33,50,74,36,23,32,31,36,35,32,16,17,13,24,39,67,31,7,18,24,24,15,42,26,21,11,32,45,36,41,12,17,32,40,29,26,36,13,33,40,25,17,21,33,77,12,100,29,84,22,63,41,25,74,22,111,87,29,151,18,37,68,71,45,22,81,48,71,57,53,39,80,39,22,29,50,74,24,51
2496,361x437,19,28,35,23,12,69,29,28,10,29,21,32,31,23,13,28,35,11,27,5,22,11,21,12,28,11,15,23,17,22,26,16,13,42,12,3,28,15,23,21,16,14,29,21,4,21,17,18,12,9,33,23,22,6,43,17,5,28,10,16,11,31,29,19,21,2,24,13,23,13,11,27,13,29,6,17,15,0,14,24,19,14,27,9,12,11,19,10,17,17,7,25,25,12,19,15,15,16,11,19,19,14,16,14,20,6,13,20,13,11,23,15,24,22,9,27,4,24,24,25,19,19,15,39,6,4,28,14,27,21,17,43,11,31,14,22,15,9,12,15,12,16,19,12,14,14,11,26,29,12,68,8,15,35,11,30,13,17,17,13,22,14,17,23,21,12,12,10,22,14,21,27,38,26,21,35,19,38,20,27,15,26,15,7,20,29,26,10,5,10,7,16,47,24,27,14,18,13,9,27,30,10,18,15,22,16,17,31,30,19,24,4,14,28,57,10,69,20,62,21,44,25,15,43,16,57,50,23,151,11,24,37,72,37,15,45,29,55,60,33,33,59,22,19,15,25,38,0,41
2497,470x698,17,0,13,9,24,92,13,45,12,19,2,26,16,8,12,22,18,8,31,16,5,25,13,16,22,14,10,22,7,16,36,20,5,20,5,2,13,13,8,29,16,11,15,21,15,19,15,13,14,10,20,6,10,15,26,34,16,9,14,8,5,16,17,8,6,10,14,20,6,17,10,15,21,11,10,11,16,6,10,27,17,19,7,24,5,12,5,12,5,13,12,20,17,14,6,11,8,9,13,9,38,25,6,12,16,13,19,12,1,13,21,8,14,13,12,19,2,10,18,14,8,14,15,19,7,30,27,5,36,11,9,13,8,13,13,8,6,6,21,11,5,16,10,13,13,6,8,34,11,10,31,10,5,24,12,12,15,10,4,10,11,5,7,16,13,21,18,10,24,15,12,19,10,15,6,27,13,19,23,24,14,5,4,29,5,14,21,19,11,11,2,8,17,21,24,0,3,8,17,8,10,8,17,12,11,25,19,16,9,16,29,0,3,17,57,4,54,12,55,11,34,23,16,49,13,58,42,19,118,10,23,41,46,43,16,48,25,50,65,53,31,70,26,16,15,32,22,5,41
2498,394x708,46,20,24,30,38,119,35,63,34,42,29,48,23,16,13,32,21,28,28,44,30,58,21,49,59,26,34,34,21,72,65,32,26,54,33,15,25,12,12,30,19,8,28,44,13,43,33,19,17,42,38,15,32,28,51,47,28,26,21,21,40,63,42,40,16,26,38,46,27,25,22,59,40,53,21,22,33,25,30,39,6,38,32,12,14,11,25,19,36,44,7,26,34,23,24,20,32,21,22,37,52,14,34,32,79,40,37,49,35,39,81,7,27,62,10,36,17,38,53,40,30,40,23,47,31,27,29,16,35,26,27,47,23,30,18,36,26,30,36,18,26,33,44,22,44,21,27,46,31,16,71,33,17,23,28,48,14,27,28,28,36,29,21,45,18,15,29,12,40,35,29,72,73,38,40,41,52,57,32,61,27,40,24,39,39,41,73,24,33,32,35,10,27,39,22,26,47,27,35,46,59,16,36,29,43,34,44,59,32,27,37,32,37,38,134,13,108,33,121,25,64,39,30,83,17,104,80,40,253,26,35,70,123,71,19,80,43,97,100,70,44,148,67,40,21,56,71,11,98
2499,450x772,9,18,24,19,28,51,47,34,10,30,11,24,4,16,16,12,14,8,12,31,20,19,9,26,22,21,12,30,12,24,35,35,10,25,22,19,31,12,8,27,29,23,16,35,15,13,29,11,17,19,25,28,28,20,16,26,41,14,47,16,21,36,23,28,8,25,12,21,22,13,16,29,24,35,20,12,14,15,13,23,24,13,14,8,2,31,12,25,18,35,6,17,29,8,19,7,6,19,23,11,28,8,18,28,16,21,16,26,15,18,38,9,25,31,20,27,13,34,44,11,11,15,7,26,12,16,30,16,21,21,17,25,38,15,8,16,8,14,13,13,16,14,21,12,22,26,21,31,24,19,74,13,13,41,17,16,16,15,18,2,17,17,12,31,15,24,18,29,40,22,15,19,38,21,28,24,22,22,23,25,24,7,14,22,24,13,33,18,22,13,2,22,27,41,21,27,21,30,10,25,26,17,17,31,20,23,20,20,28,12,17,16,7,16,44,11,70,28,71,12,28,22,21,44,10,61,59,32,130,10,28,41,75,46,15,64,26,64,53,35,39,86,36,21,13,43,49,2,54
2500,526x778,25,7,20,20,16,56,23,34,12,19,18,34,44,25,15,19,20,11,29,46,12,10,16,19,16,8,18,28,10,27,29,17,2,49,19,16,20,7,26,38,15,24,24,24,7,34,18,13,26,17,16,5,11,7,24,23,29,26,36,8,9,10,39,18,20,15,27,36,29,18,23,6,36,19,19,14,27,8,5,18,10,26,26,17,12,21,31,7,22,12,12,17,14,9,6,8,11,12,13,22,40,23,14,26,19,20,8,18,4,13,19,29,33,17,11,21,22,16,26,18,24,23,17,38,8,9,34,9,37,30,16,39,17,35,13,25,7,22,16,12,24,11,24,12,11,21,9,38,18,11,34,9,22,21,7,4,13,16,16,6,11,17,21,28,10,14,13,24,29,19,18,22,26,24,29,17,31,21,17,15,7,6,5,24,17,28,29,31,6,14,6,11,22,36,14,22,14,22,16,34,25,12,18,29,18,11,42,19,11,28,12,19,22,14,76,14,91,26,66,10,56,37,27,53,18,74,52,45,119,15,29,42,65,53,17,69,37,63,61,42,50,79,65,23,19,48,34,4,46
2505,337x380,24,16,34,22,31,71,15,39,6,20,16,25,24,27,15,12,28,24,15,25,21,24,10,39,11,17,7,15,19,13,50,25,7,43,19,7,23,18,13,46,14,12,13,42,15,18,19,15,23,21,26,21,21,21,41,19,17,8,16,9,20,35,32,20,25,21,14,11,9,11,19,20,30,30,13,11,14,19,10,17,23,24,29,16,8,12,22,3,9,4,9,22,18,17,20,15,17,14,35,5,26,12,13,20,27,13,13,31,25,14,62,1,12,30,11,55,17,17,12,39,10,11,7,20,8,12,21,16,35,13,12,18,12,30,13,34,14,27,13,29,12,11,23,33,12,21,10,28,22,4,50,18,21,29,7,14,23,7,18,18,12,21,26,35,16,14,12,12,17,20,29,16,58,38,15,25,36,37,22,22,4,9,5,18,13,22,37,15,25,12,34,7,14,28,22,18,27,41,12,13,14,18,19,25,18,16,27,30,21,25,29,13,7,10,63,11,87,29,70,26,34,33,24,53,15,63,49,36,134,18,31,42,58,41,18,61,21,74,70,22,30,59,28,19,14,35,44,8,42
2506,221x393,24,13,10,2,4,48,33,14,16,11,11,12,18,8,10,16,23,15,5,19,10,9,5,7,11,10,17,14,11,25,38,35,9,41,23,4,12,11,7,15,19,15,28,18,7,14,7,8,6,11,16,11,21,12,25,23,11,18,13,21,13,18,12,41,13,4,14,12,20,15,5,6,16,10,2,18,9,7,5,21,10,13,18,16,9,10,12,5,8,15,8,7,18,7,14,11,12,9,9,13,13,13,13,21,22,15,16,18,14,18,16,11,9,12,12,35,5,16,41,10,1,0,11,28,8,14,16,11,18,2,17,24,19,11,1,18,15,42,7,12,11,10,18,12,11,7,15,32,24,8,28,8,6,21,23,28,6,3,18,14,14,10,29,14,14,15,16,7,23,20,9,25,38,25,24,26,8,19,13,11,12,8,3,6,3,26,10,9,13,10,6,13,38,30,21,6,10,10,0,16,12,5,20,9,35,23,18,33,14,9,23,27,13,26,29,2,61,21,46,9,29,11,9,38,16,40,35,20,90,7,23,27,42,35,8,38,14,36,36,17,19,47,19,10,11,24,22,8,35
2507,381x472,11,14,14,6,10,47,12,14,10,16,20,30,28,6,5,13,5,12,17,20,24,5,12,9,3,34,10,11,15,17,29,23,9,51,4,6,12,15,13,29,22,11,17,9,1,8,9,18,2,7,13,6,10,15,16,21,6,3,7,4,1,11,9,24,18,21,17,23,5,5,15,9,6,8,15,6,7,29,10,12,21,6,27,11,2,14,10,5,15,15,13,13,11,4,14,10,17,18,21,9,5,16,17,15,15,11,18,21,12,14,27,11,12,9,1,17,22,9,47,12,2,10,6,15,8,23,31,7,13,7,12,16,20,17,16,16,6,9,4,11,9,8,11,12,16,14,4,15,0,11,12,5,14,14,3,7,9,6,14,12,5,26,7,23,14,16,9,14,13,21,3,42,44,4,14,30,20,18,13,6,8,8,6,8,8,21,15,11,3,5,22,2,18,6,14,1,19,15,14,22,12,7,18,4,12,20,13,19,14,9,5,11,7,16,56,11,67,22,49,17,31,30,23,45,14,65,30,34,77,11,27,38,42,41,10,55,27,66,32,20,47,45,38,19,16,31,21,4,28
2508,456x520,14,11,19,13,16,57,26,25,12,31,19,29,11,16,15,24,23,22,8,9,18,21,7,16,19,21,7,14,13,27,40,30,27,55,26,17,17,14,17,26,17,22,22,36,18,20,30,19,11,14,28,17,25,10,39,18,27,12,23,18,17,32,25,8,22,12,26,28,27,15,30,16,13,12,16,23,20,18,25,24,17,22,27,17,11,21,14,13,28,23,5,21,31,28,13,5,19,21,24,10,21,27,10,0,47,13,25,37,19,21,32,18,24,8,8,55,16,39,25,5,11,17,21,15,14,26,23,22,31,29,8,14,43,29,9,27,12,11,4,8,14,12,22,17,19,10,18,23,27,13,46,14,17,28,10,12,25,15,32,14,25,21,15,27,9,16,10,36,19,31,13,13,40,17,15,52,26,24,17,26,16,18,4,11,35,30,30,24,13,21,14,7,27,12,27,16,11,13,31,26,28,28,32,16,24,17,8,26,16,19,40,17,7,24,97,10,100,29,81,22,46,34,22,54,14,80,55,48,144,18,40,43,83,49,19,59,29,66,63,46,44,80,41,22,19,39,37,5,47
