"","AFAP1","AFF4","AGAP1","AGO3","AGPS","AHDC1","AKAP11","ALPK2","AMOTL1","ANKH","ANKRD52","ARL10","ASCC3","BRCA2","BSN","BUB3","Blank.1","Blank.10","Blank.2","Blank.3","Blank.4","Blank.5","Blank.6","Blank.7","Blank.8","Blank.9","C14orf132","C17orf51","CBL","CBX5","CCDC113","CDYL2","CEMIP","CENPF","CEP250","CHST3","CKAP5","CNR2","COL5A1","CREBBP","CRTAP","DIEXF","DIP2B","DNAJC13","DOPEY1","DSEL","DYNC1H1","EGFR","FAF2","FAM184B","FAM208B","FASN","FBN1","FBN2","FYCO1","FZD4","FZD5","GPR107","GTF3C4","HEATR5B","HERC2","IGF2R","IL17RA","ITPR2","KIAA1147","KIAA1462","KIF13B","KLHL9","KPNA4","LMTK2","LRP1","LUZP1","MALAT1","MAN1A2","MCF2L","MED14","MYH10","NHSL2","NKTR","NOTCH2","NRIP1","PAPPA","PHIP","PIK3CA","PLXNA1","PLXNA2","POLQ","PRDM2","PRKCA","PRKDC","PROSER1","PRPF8","PRRC2B","PTPN14","RAB3B","RAD51D","RBM20","RNF152","RNF169","RP4.671O14.6","SAMD12","SCUBE3","SIPA1L3","SKP1","SLC35B4","SLC38A1","SLC5A3","SLC7A11","SLC9A2","SMARCA5","SMIM5","SOD2","SPTBN1","SRRM2","SSH1","STARD9","SULT1C2","THBS1","THSD4","TLN1","TMOD2","TNRC6A","TPR","TSPAN3","TSTD2","TTPAL","UBR2","UBR5","UMPS","USP24","USP34","USP8","USP9X","VPS13D","XDH","XKR5","YIPF4","ZBTB43","ZCCHC6","ZNF592"
"435.382510245901 x -236.013514344262",2,12,15,2,6,8,10,2,6,5,14,0,3,2,5,4,0,5,4,3,1,4,10,5,5,1,7,4,4,13,4,5,1,29,7,6,9,5,14,15,8,3,8,4,2,1,14,3,9,1,4,43,6,19,3,11,1,9,6,3,9,5,3,4,2,3,5,4,5,8,12,3,26,5,0,0,17,6,5,12,12,5,5,2,11,1,2,8,5,24,4,25,10,7,0,5,2,4,4,2,5,3,2,5,4,4,3,6,4,11,5,3,24,25,7,6,3,15,5,21,3,5,11,2,4,7,3,15,9,6,14,3,12,5,6,5,5,0,8,5
"442.374019448946 x -259.444197730956",2,7,4,3,4,2,5,1,5,1,8,1,5,2,1,4,2,6,0,2,1,1,0,4,2,1,4,7,6,5,2,6,3,13,3,2,5,8,7,4,3,1,6,3,2,0,7,1,5,1,2,21,8,11,5,4,2,2,6,2,5,1,3,2,4,0,4,5,3,3,8,5,24,3,4,9,6,1,4,6,2,1,2,0,8,1,1,10,2,11,5,15,10,3,4,5,0,1,6,4,1,2,5,2,5,3,1,3,2,6,3,4,18,19,8,4,1,10,7,11,3,3,4,7,3,1,4,5,1,5,9,0,8,1,4,2,2,2,4,2
"447.19830840046 x -213.833222094361",5,6,4,4,6,10,8,0,2,4,11,8,2,2,5,6,3,2,4,1,4,1,4,5,1,2,1,5,6,6,6,8,3,15,4,12,2,5,5,15,8,5,15,6,3,4,9,5,4,3,8,21,5,18,5,9,1,4,8,2,10,5,1,4,10,4,9,2,3,9,10,6,30,6,2,5,15,2,8,14,8,3,7,5,10,0,3,5,5,25,4,14,7,10,1,1,7,5,4,4,3,3,6,4,2,6,3,8,6,8,5,8,25,17,8,3,4,4,5,17,4,5,7,6,1,5,4,8,3,4,9,6,6,1,7,3,7,3,1,5
"455.53028901734 x -285.437369942196",7,9,5,2,8,5,13,5,9,3,8,3,2,1,3,3,3,3,0,2,2,2,2,6,1,4,3,5,6,17,5,9,4,17,5,7,11,12,13,15,6,7,4,5,6,3,15,1,5,3,6,38,3,20,6,9,5,5,2,10,9,7,4,1,5,2,6,5,3,13,10,6,40,6,1,9,11,3,3,14,9,0,4,0,4,1,4,8,17,30,6,32,9,13,3,7,6,5,9,5,4,1,3,1,4,6,1,7,3,9,5,6,26,24,6,8,1,25,5,27,2,6,13,5,2,10,6,11,3,9,11,4,23,3,3,3,2,6,11,4
"466.361348435815 x -156.341413160733",1,9,4,3,6,11,1,1,6,3,17,3,6,4,6,8,3,2,3,2,1,1,6,3,3,3,1,4,3,12,0,5,2,29,5,16,28,4,7,10,7,0,7,4,2,6,15,1,6,2,7,25,4,13,6,4,4,4,6,4,5,6,3,2,0,5,5,1,6,14,3,8,34,6,2,6,19,1,8,6,3,3,4,5,9,1,3,11,9,14,6,16,9,5,9,3,5,5,6,1,2,6,4,3,3,3,3,7,2,18,1,6,37,27,5,5,3,17,7,27,3,4,9,3,2,6,7,5,5,11,8,1,12,5,1,2,4,4,5,8
"464.853839563863 x -245.175895638629",4,10,13,4,7,5,9,3,17,7,18,8,6,5,3,10,3,6,5,2,2,3,12,3,5,2,4,5,6,12,8,7,5,31,9,16,13,5,28,20,8,6,10,5,3,3,11,3,9,4,9,25,3,26,7,9,1,8,14,4,16,8,7,2,9,4,2,3,6,15,9,11,108,5,3,8,12,4,9,8,1,5,5,6,6,2,9,16,11,34,4,11,10,7,9,5,3,5,8,4,6,3,12,6,7,7,2,2,2,12,3,5,23,35,7,3,3,60,5,15,5,7,6,8,5,8,1,14,6,8,20,3,13,2,11,3,7,5,4,11
"473.657940503432 x -208.694645308925",17,6,13,9,6,11,18,4,18,5,13,7,9,7,3,10,3,8,4,3,6,5,8,4,6,5,7,7,9,23,11,7,6,11,4,14,18,12,14,21,7,8,17,10,4,5,17,6,7,4,11,34,3,14,9,6,6,12,10,3,9,3,1,1,6,5,6,6,5,11,9,10,37,4,3,10,26,2,6,14,2,2,5,2,10,5,8,17,9,35,9,23,13,7,12,8,8,6,13,3,6,3,7,2,6,8,4,11,4,14,4,2,34,29,5,8,8,31,5,35,2,9,14,4,6,7,2,15,5,11,12,5,10,5,7,8,7,7,6,7
"476.1434682861 x -274.249244264507",3,6,4,5,6,12,2,3,8,2,10,3,2,1,4,9,3,1,2,1,1,2,4,3,0,2,2,4,3,12,4,2,1,6,2,9,5,4,3,10,7,0,10,7,4,2,12,4,5,3,4,24,2,10,3,5,3,4,6,4,7,5,8,4,1,4,6,7,3,6,9,1,38,4,0,3,13,3,3,7,4,0,4,4,7,2,3,7,5,21,5,14,9,8,1,3,0,0,4,4,5,4,4,4,2,3,4,2,4,11,2,3,12,15,9,7,5,11,0,21,5,7,6,4,2,4,0,10,4,4,9,3,10,2,7,2,3,4,3,2
"477.831575091575 x -176.900805860806",2,8,1,2,2,3,7,0,7,2,15,1,2,1,5,3,3,5,2,2,3,5,6,2,2,1,2,4,6,17,3,4,4,19,5,17,28,7,8,9,2,5,7,4,3,1,10,7,2,4,1,24,2,11,2,7,5,11,1,3,13,2,4,3,1,7,5,4,3,8,6,12,33,5,1,7,8,3,4,9,5,6,7,2,7,2,6,3,7,12,7,14,7,3,4,4,4,4,4,2,3,1,4,1,3,1,5,4,1,9,4,10,26,16,6,4,2,21,3,15,3,7,4,3,1,8,3,8,3,7,7,0,5,4,4,3,6,5,4,10
"494.514305555556 x -136.563828125",2,11,7,7,19,3,10,6,22,0,11,2,10,6,1,7,3,6,3,3,0,3,4,5,1,5,6,4,11,22,4,10,1,2,8,11,7,2,24,14,3,5,11,7,3,1,20,3,7,2,9,38,7,14,6,8,3,7,11,5,4,7,2,3,6,2,1,10,2,9,17,12,68,6,1,6,20,6,5,5,6,3,4,5,9,3,6,10,12,28,5,15,12,9,4,6,1,4,2,4,4,8,8,2,6,6,13,7,3,11,4,5,16,32,3,10,7,65,4,31,6,13,9,3,5,11,7,2,3,1,7,2,14,5,4,6,6,2,3,5
