"","AFAP1","AFF4","AGAP1","AGO3","AGPS","AHDC1","AKAP11","ALPK2","AMOTL1","ANKH","ANKRD52","ARL10","ASCC3","BRCA2","BSN","BUB3","Blank.1","Blank.10","Blank.2","Blank.3","Blank.4","Blank.5","Blank.6","Blank.7","Blank.8","Blank.9","C14orf132","C17orf51","CBL","CBX5","CCDC113","CDYL2","CEMIP","CENPF","CEP250","CHST3","CKAP5","CNR2","COL5A1","CREBBP","CRTAP","DIEXF","DIP2B","DNAJC13","DOPEY1","DSEL","DYNC1H1","EGFR","FAF2","FAM184B","FAM208B","FASN","FBN1","FBN2","FYCO1","FZD4","FZD5","GPR107","GTF3C4","HEATR5B","HERC2","IGF2R","IL17RA","ITPR2","KIAA1147","KIAA1462","KIF13B","KLHL9","KPNA4","LMTK2","LRP1","LUZP1","MALAT1","MAN1A2","MCF2L","MED14","MYH10","NHSL2","NKTR","NOTCH2","NRIP1","PAPPA","PHIP","PIK3CA","PLXNA1","PLXNA2","POLQ","PRDM2","PRKCA","PRKDC","PROSER1","PRPF8","PRRC2B","PTPN14","RAB3B","RAD51D","RBM20","RNF152","RNF169","RP4.671O14.6","SAMD12","SCUBE3","SIPA1L3","SKP1","SLC35B4","SLC38A1","SLC5A3","SLC7A11","SLC9A2","SMARCA5","SMIM5","SOD2","SPTBN1","SRRM2","SSH1","STARD9","SULT1C2","THBS1","THSD4","TLN1","TMOD2","TNRC6A","TPR","TSPAN3","TSTD2","TTPAL","UBR2","UBR5","UMPS","USP24","USP34","USP8","USP9X","VPS13D","XDH","XKR5","YIPF4","ZBTB43","ZCCHC6","ZNF592"
"-438.999142512078 x -312.475845410628",5,11,10,1,5,5,4,6,8,1,7,6,4,2,3,3,2,5,1,1,1,4,3,2,1,2,6,4,4,8,6,4,2,0,3,5,5,6,6,8,5,8,5,4,1,1,8,5,3,9,5,14,3,4,4,10,5,13,4,3,7,5,2,3,3,2,7,4,3,4,10,6,44,12,4,5,9,3,4,6,4,4,6,8,9,1,3,13,11,10,5,19,6,7,5,1,5,3,6,6,6,6,6,2,0,6,1,5,1,10,7,2,15,20,4,6,6,55,4,21,0,3,5,3,4,2,2,5,2,4,12,6,11,4,8,3,1,6,2,3
"-437.428581687612 x -334.316858168761",2,1,5,3,2,5,2,6,5,0,2,2,4,4,0,2,1,4,4,3,1,4,7,4,1,3,5,2,8,3,3,1,0,1,2,7,4,3,11,3,2,3,7,4,3,5,3,2,2,6,5,10,6,10,1,4,3,3,2,2,2,4,5,6,5,7,3,6,2,3,7,2,41,4,1,1,5,2,3,1,2,2,0,2,10,3,3,7,5,9,3,7,7,8,4,3,3,3,6,2,3,6,1,3,0,1,2,1,1,4,6,5,6,6,4,8,1,6,3,8,1,5,5,1,4,1,2,5,1,8,12,1,8,3,3,1,2,0,2,5
"-432.65661810614 x -438.886659729449",6,12,20,4,8,1,9,4,10,5,15,7,4,5,6,5,4,2,4,1,2,4,4,1,4,5,8,2,7,10,2,7,6,3,3,6,6,5,20,8,4,4,6,1,1,3,14,4,6,5,7,10,12,28,8,7,0,3,9,4,20,4,8,2,4,8,2,7,5,4,12,7,86,7,3,7,14,3,8,8,4,4,2,1,5,5,4,14,3,15,7,9,12,8,7,2,0,4,3,1,1,7,4,0,2,6,5,5,3,11,2,5,24,12,5,10,1,21,4,20,1,5,8,4,2,5,3,3,5,6,11,2,12,4,4,4,5,3,4,12
"-429.781787965617 x -411.289793696274",6,11,11,9,9,10,14,17,9,5,38,4,17,6,9,7,6,7,3,5,9,9,6,5,2,5,13,15,14,10,8,13,11,3,5,14,11,14,44,17,17,7,18,12,4,3,25,5,11,14,11,26,15,36,11,15,10,11,12,4,20,7,8,7,12,16,3,12,16,15,21,20,95,20,10,15,15,13,7,21,11,9,6,6,6,10,8,16,9,38,12,14,26,19,4,7,10,8,10,5,6,6,4,7,2,11,10,9,5,15,11,8,37,22,9,11,8,11,12,33,2,13,15,11,7,12,3,17,6,5,23,3,21,11,16,14,9,7,18,10
"-412.916125108601 x -358.068635968723",5,12,16,7,10,8,6,7,17,3,16,6,2,2,3,6,2,3,2,5,4,1,1,3,3,3,5,5,10,13,1,10,4,18,5,11,7,7,12,26,6,5,13,7,1,3,8,6,8,5,8,23,6,19,3,9,2,4,12,4,9,1,3,3,9,5,3,5,6,10,13,9,43,3,3,8,20,6,7,13,5,2,3,2,11,2,5,15,6,41,6,23,14,14,7,6,2,4,4,2,6,5,3,2,2,2,5,4,3,10,7,3,24,14,6,3,8,84,3,28,2,7,9,2,4,14,5,13,3,6,17,1,15,8,4,1,2,5,15,4
"-410.738893414799 x -310.591167684996",8,10,14,4,12,20,12,8,18,4,19,7,7,3,8,7,9,6,6,3,8,4,3,11,2,5,8,9,8,16,6,7,3,3,6,16,11,9,31,17,13,7,12,9,2,4,10,1,13,4,12,31,5,24,4,12,2,10,9,18,6,12,4,7,7,9,9,6,6,12,9,16,65,9,5,3,15,10,8,7,6,4,8,4,14,6,3,26,14,29,9,22,13,12,6,8,17,11,13,3,4,10,7,5,6,5,5,17,13,21,12,9,21,18,14,7,8,47,2,32,3,8,22,3,4,8,4,11,6,11,18,7,26,3,11,7,3,12,9,11
"-404.533223487118 x -388.6584182145",7,28,16,7,4,11,17,9,11,3,16,7,14,8,9,5,1,9,4,3,2,5,8,2,3,7,13,7,14,10,6,12,7,11,6,18,12,6,40,20,15,8,19,10,13,5,11,6,9,9,12,20,9,17,8,13,12,12,14,4,13,9,12,9,15,5,9,9,5,11,15,22,52,14,5,9,20,7,10,18,5,7,18,7,8,5,9,16,20,25,10,26,19,17,4,6,9,5,10,6,11,3,8,7,6,4,7,11,3,16,13,8,39,28,12,12,7,98,9,36,4,9,15,4,9,15,3,21,3,9,17,11,15,7,6,10,11,10,13,14
"-406.591446945338 x -334.700021436227",2,11,6,1,6,9,7,4,18,6,8,3,4,6,7,7,2,4,3,1,2,4,4,5,1,3,9,2,6,13,3,3,6,7,6,7,8,2,17,14,3,5,9,5,3,3,16,3,6,2,6,15,2,21,6,9,4,10,8,3,9,5,5,8,7,4,4,3,2,11,15,6,44,4,1,5,15,4,7,10,6,1,2,3,10,3,2,10,4,17,2,14,9,12,3,7,5,4,12,4,0,8,1,3,1,2,6,4,3,9,0,7,16,11,4,6,4,17,2,23,3,7,10,3,4,8,4,11,4,6,16,6,9,4,5,2,6,6,12,5
"-395.142241871079 x -430.60819167142",21,15,13,3,17,19,10,18,14,5,16,4,7,7,15,7,4,10,2,6,3,4,9,6,6,2,8,2,9,20,12,12,5,11,11,24,13,7,22,11,14,5,13,10,7,10,24,9,3,13,3,28,5,37,4,15,11,11,9,12,17,10,11,2,17,10,9,16,13,10,12,14,135,8,6,16,17,10,14,14,7,12,9,1,18,6,10,11,27,39,6,14,21,16,5,13,9,4,8,7,4,11,8,7,7,7,14,11,2,18,13,9,43,15,6,11,11,41,9,36,3,14,13,7,9,2,5,10,11,12,32,6,20,17,7,6,6,6,14,13
"-442.326329305136 x -158.926027190332",5,9,5,4,2,14,4,3,9,4,6,0,4,4,7,1,3,3,5,1,1,2,3,8,1,5,6,5,7,5,1,6,4,1,3,10,7,3,5,9,4,0,18,3,5,0,12,1,1,1,5,9,1,11,1,3,1,1,6,1,9,4,5,2,4,3,2,3,2,3,17,8,28,2,1,5,7,6,4,8,5,3,4,4,3,0,1,6,9,4,5,6,9,8,4,3,7,3,4,1,2,4,1,0,1,2,2,5,2,11,2,3,12,12,4,7,0,21,0,20,2,1,6,0,4,4,0,4,1,3,5,7,11,1,1,3,1,5,5,6
"-436.491505823628 x -194.094633943428",5,11,9,4,10,19,8,4,16,6,12,5,12,11,6,9,4,3,1,0,1,5,5,4,7,3,4,6,6,18,6,6,3,10,7,18,10,7,24,16,8,5,16,5,1,0,19,6,3,4,4,20,3,23,3,7,3,6,9,7,11,1,6,3,5,2,4,8,6,4,7,8,46,16,6,8,16,6,6,13,5,4,6,3,5,4,12,18,10,34,6,25,9,14,11,6,8,6,7,7,2,1,3,3,3,5,7,17,2,18,3,4,30,34,2,5,3,26,3,29,3,8,16,3,9,9,4,10,6,4,11,3,10,10,4,8,8,4,8,9
"-439.516092843327 x -238.542379110251",2,5,3,2,5,7,6,3,3,2,5,0,2,3,1,6,1,0,1,2,1,1,0,2,1,1,4,4,5,2,3,2,3,21,2,4,9,2,5,2,2,2,7,3,0,4,4,7,4,1,5,5,2,6,2,4,4,3,3,1,5,3,6,4,2,2,1,1,2,6,5,4,20,2,1,1,10,1,3,9,3,2,4,0,6,2,1,3,1,7,3,6,5,2,0,6,2,2,3,1,0,0,0,5,0,4,3,2,6,6,2,2,15,11,1,1,0,26,2,7,2,7,5,0,6,5,1,6,4,1,3,6,6,2,2,3,5,0,7,4
"-426.268836758434 x -271.763571151609",16,28,35,13,18,28,11,10,24,9,32,12,23,14,7,11,5,7,9,3,6,9,13,12,6,14,12,17,25,25,13,17,12,19,12,36,19,13,17,27,17,11,16,13,8,13,38,17,13,9,19,35,7,24,4,31,11,12,25,16,22,16,13,9,9,7,10,11,12,13,13,23,67,20,15,20,44,13,16,11,10,3,9,9,31,13,15,18,27,57,17,54,8,27,14,26,14,6,20,14,6,10,11,11,9,9,9,24,12,34,18,20,54,56,9,14,17,87,14,71,12,21,24,8,10,21,5,32,11,7,48,17,30,17,15,22,9,9,14,18
"-429.424076484947 x -110.709421480879",4,14,12,6,5,18,8,5,17,1,13,4,8,7,8,4,6,5,5,3,3,6,4,3,3,2,7,5,10,18,5,4,4,9,5,13,13,4,14,17,10,4,13,6,4,4,20,6,3,6,7,22,2,11,4,7,1,12,11,6,9,4,2,5,11,4,10,9,5,9,9,18,81,14,4,10,11,7,12,10,8,6,7,2,10,4,9,6,11,18,7,19,19,25,5,8,2,9,6,6,8,7,6,5,6,14,6,7,1,11,5,5,22,22,9,4,8,10,1,20,2,8,10,6,4,8,7,6,4,7,20,5,17,6,9,9,7,11,6,8
"-424.191205673759 x -219.083687943262",6,16,13,3,9,8,3,2,9,2,7,3,3,5,5,4,0,4,4,1,1,2,7,7,1,3,1,8,10,12,4,6,5,59,3,9,24,6,3,14,5,2,4,4,2,5,14,5,5,8,4,11,1,7,4,7,8,7,14,6,10,3,3,7,5,8,2,1,1,7,5,5,77,4,0,6,10,3,8,12,2,1,7,6,6,5,3,11,11,17,5,17,10,6,5,3,5,6,4,5,1,5,0,1,1,3,1,6,0,14,5,5,27,29,0,5,2,13,6,21,2,8,16,1,2,6,2,12,5,6,7,3,11,5,8,1,3,3,4,10
"-427.288216560509 x -145.076496815287",6,16,7,6,7,15,10,2,19,11,14,4,8,4,7,3,1,7,6,4,2,3,6,9,6,4,8,5,7,10,2,3,4,26,3,13,16,3,19,16,8,5,7,7,4,1,21,7,5,0,6,20,5,16,2,11,2,9,10,4,8,3,4,2,9,4,7,6,5,16,10,15,64,9,1,14,25,5,7,14,4,3,7,6,7,5,13,15,4,41,7,28,10,7,6,3,8,8,10,3,4,6,7,1,2,8,3,13,5,12,7,7,24,40,10,5,3,13,7,26,5,8,20,7,5,15,5,16,5,6,6,5,15,2,5,5,3,5,11,9
"-402.686833910035 x -227.782370242214",6,16,11,1,14,11,4,2,13,4,15,9,3,3,4,4,4,2,6,3,5,5,2,3,5,2,4,9,13,11,3,7,7,38,8,20,29,4,11,17,5,4,15,8,6,5,15,6,3,6,7,23,7,10,3,12,4,11,6,7,8,7,5,8,10,10,7,4,11,12,10,17,26,11,1,10,10,6,7,11,4,4,7,7,8,5,4,10,16,19,9,11,12,6,3,5,4,10,12,2,4,3,3,3,0,4,6,3,4,9,1,4,21,32,10,6,2,24,5,23,3,9,15,3,5,9,5,10,7,6,17,2,16,8,2,1,2,10,4,5
"-402.32913649025 x -129.30708913649",9,14,7,5,4,12,5,10,25,4,10,9,6,2,8,3,8,5,2,2,2,3,6,4,3,4,11,4,7,9,9,6,8,4,4,10,10,7,19,23,8,10,18,4,2,3,18,5,12,9,11,13,9,28,7,15,0,6,8,6,10,10,7,8,10,11,7,7,2,11,25,7,124,9,3,7,17,9,6,9,11,2,9,5,14,5,5,15,15,34,5,15,14,14,1,9,5,10,13,9,7,9,8,2,5,3,13,11,4,10,4,5,16,30,11,5,3,57,7,33,2,19,18,6,6,13,5,22,7,11,12,3,19,1,11,3,7,6,6,12
"-445.013433628319 x 24.5770387610619",2,7,5,1,4,6,4,4,12,5,7,1,4,2,2,1,1,1,1,1,0,3,4,3,2,2,2,5,6,9,4,1,0,5,1,7,6,3,3,4,3,1,2,5,3,0,9,2,2,1,4,14,2,11,1,4,5,2,2,1,2,5,2,1,3,1,2,4,2,5,2,2,36,8,0,5,9,4,2,1,3,3,8,2,5,1,0,6,5,8,3,11,5,4,6,3,2,1,7,3,1,3,5,1,1,3,3,7,2,5,2,3,10,8,7,1,2,7,2,17,3,3,5,2,4,5,4,6,1,4,8,3,7,1,4,3,3,3,5,4
"-441.568507625272 x -93.711665577342",2,13,10,4,2,11,7,7,10,0,6,4,4,3,5,6,0,3,4,4,2,1,5,2,3,3,3,2,5,15,4,7,3,7,6,10,8,4,10,15,7,2,3,3,0,5,10,8,8,5,6,23,5,16,3,7,3,7,12,4,11,4,4,4,4,3,9,4,2,8,8,6,62,5,4,4,14,3,12,8,7,5,7,1,6,4,6,12,6,21,8,14,18,6,4,5,5,4,4,1,0,2,0,2,4,7,7,9,7,7,4,9,2,9,7,6,0,13,6,25,3,7,11,4,3,4,1,10,3,5,13,5,11,6,4,1,2,4,5,10
"-445.819963235294 x 60.2723639705882",1,2,2,0,2,2,2,0,2,0,7,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,2,1,5,0,1,1,9,0,3,7,2,2,6,0,1,1,1,1,2,5,4,3,1,0,5,1,5,1,3,1,1,1,2,3,4,2,2,1,0,0,0,1,2,0,1,40,3,0,0,2,2,4,2,2,1,3,1,0,0,0,2,0,5,0,3,2,1,1,1,0,0,2,1,2,1,1,1,0,0,1,2,2,2,1,1,5,9,1,2,0,4,2,10,0,2,3,0,0,1,0,4,2,2,2,2,1,0,2,0,2,2,2,2
"-438.336577815993 x -19.1772659957008",18,5,13,4,5,5,10,8,14,6,14,5,6,6,3,2,5,5,5,0,2,5,1,4,1,1,10,6,9,10,1,5,4,13,2,15,15,2,13,17,5,1,6,9,1,3,20,9,11,9,4,31,5,15,5,10,6,10,5,6,12,3,7,6,5,7,6,5,1,8,9,9,50,7,6,9,22,6,8,7,9,8,15,3,14,2,11,10,13,34,12,19,16,7,13,7,3,2,6,5,3,5,6,1,4,6,2,4,5,15,1,5,17,28,5,8,3,42,5,38,3,3,7,3,5,3,5,5,2,4,9,3,16,4,4,5,5,5,10,11
"-436.482979189486 x -65.1469364731654",2,8,11,7,2,12,6,3,13,2,4,0,8,2,6,7,6,2,2,4,3,5,5,4,3,6,10,3,8,12,3,6,6,6,6,8,4,1,14,13,5,4,6,3,3,5,13,7,10,7,8,31,2,20,5,15,3,8,7,4,5,3,8,5,4,3,7,3,2,5,10,9,51,10,3,8,10,5,4,6,5,5,4,3,3,9,7,9,11,19,6,14,11,5,2,8,6,4,6,3,4,1,4,3,0,4,8,4,1,11,7,4,11,16,8,7,8,9,1,12,2,8,6,3,6,3,3,9,0,2,5,4,4,5,0,4,9,5,6,6
"-436.140592948717 x 81.2736322115385",5,11,6,3,4,15,7,3,7,2,25,6,7,5,3,1,0,4,4,3,4,1,5,7,2,1,5,5,8,13,6,4,7,54,8,14,35,1,11,19,8,5,10,6,3,3,24,4,4,4,9,24,3,9,2,15,7,5,13,10,12,4,7,7,5,6,3,6,3,9,6,9,38,6,2,14,11,5,4,14,3,1,14,6,8,5,2,9,8,37,10,24,12,15,4,6,5,1,5,8,6,4,8,2,10,7,7,5,0,20,4,9,44,35,4,5,3,15,3,49,3,6,22,2,4,5,2,13,1,4,17,3,21,4,6,4,4,3,9,22
"-431.535597484277 x 46.8273486073675",2,5,10,7,8,16,11,7,15,3,12,3,7,7,6,3,5,5,3,2,4,0,5,7,0,2,4,4,9,13,2,4,1,10,5,9,11,5,8,14,8,4,9,4,3,7,15,1,4,5,8,22,4,25,2,9,5,5,10,7,15,5,7,3,6,2,5,5,6,10,9,10,65,5,2,7,20,4,10,18,4,5,3,4,11,6,7,14,7,38,8,22,10,11,3,5,3,4,11,3,2,3,5,1,3,2,5,3,1,18,6,8,27,28,5,2,2,27,5,31,6,8,12,5,3,6,5,5,4,10,9,1,13,5,4,4,4,7,8,6
"-425.749099099099 x 5.87399710698198",3,13,3,6,10,7,7,2,10,2,12,4,9,8,4,4,5,2,1,2,0,3,4,5,0,4,6,5,6,6,5,4,3,5,4,9,9,6,9,14,7,5,9,7,2,1,15,6,4,7,3,13,3,20,5,5,5,6,5,6,5,3,4,4,0,2,6,6,3,7,6,6,40,13,2,6,16,6,4,2,8,4,5,6,11,5,4,6,4,27,6,16,12,4,5,2,6,3,5,8,4,1,6,1,3,5,5,5,2,7,3,3,21,19,5,8,2,7,1,26,5,8,4,3,4,8,1,6,5,2,10,5,11,3,4,9,4,5,5,9
"-419.109511952191 x -50.0895169322709",5,12,12,2,4,11,7,8,8,1,12,1,3,6,5,3,3,6,2,5,4,1,6,2,3,5,5,4,11,8,4,6,3,5,4,7,5,4,9,19,4,4,14,7,4,3,24,4,5,3,4,16,6,23,1,14,4,6,8,3,8,6,3,7,5,3,8,5,2,9,8,9,48,12,6,6,16,10,7,11,11,7,6,3,5,3,4,14,8,19,3,12,15,6,6,6,5,2,6,3,6,5,2,3,2,1,6,2,4,16,11,6,16,9,4,8,4,5,7,30,10,5,7,7,4,5,9,5,3,5,9,5,15,5,6,10,2,6,9,9
"-409.781966647498 x 41.7585089131685",12,18,15,4,14,5,9,10,20,4,32,6,12,6,11,7,4,4,4,7,7,4,12,10,2,4,13,8,17,21,4,11,5,27,9,18,19,12,18,23,9,8,15,14,5,4,24,12,9,5,13,53,6,44,5,8,7,9,24,9,16,6,4,4,7,7,7,5,7,16,10,15,55,13,4,14,35,11,7,16,12,6,13,5,12,8,10,12,14,45,8,26,27,13,20,6,13,10,8,4,6,7,7,5,6,7,4,7,4,13,10,14,30,40,10,13,8,34,9,47,4,9,21,6,6,8,8,20,1,8,17,8,19,3,15,5,5,6,8,19
"-398.245283497884 x 103.083956558533",10,23,12,24,33,53,32,4,29,10,48,14,13,14,9,19,13,7,9,6,15,13,20,7,5,8,7,13,23,43,9,23,28,77,32,49,68,18,16,40,22,19,36,15,19,13,29,18,23,7,16,60,20,27,8,32,15,20,38,15,46,11,11,11,13,17,25,22,20,41,19,25,264,17,9,23,47,12,21,18,15,10,12,9,40,8,6,31,41,92,22,57,29,17,14,23,6,20,32,9,11,8,12,8,17,30,19,28,11,61,13,16,71,87,17,19,11,59,13,95,11,26,29,12,9,20,15,45,16,29,22,8,47,18,19,11,11,14,24,40
"-409.973913270637 x -93.8478014629051",15,17,18,7,14,21,22,4,30,3,23,10,11,17,10,8,8,3,9,2,5,5,5,4,5,3,9,7,12,23,8,12,7,17,11,21,21,8,18,28,8,13,11,8,3,8,32,15,12,3,9,69,13,34,11,14,10,11,17,7,16,8,10,6,10,11,18,14,4,15,13,9,69,16,9,17,30,10,8,17,16,9,14,12,11,10,9,24,25,54,6,22,20,17,8,6,6,3,2,9,2,14,5,8,4,10,11,8,5,19,10,10,28,34,12,9,3,69,10,52,5,17,11,4,5,5,4,16,3,3,28,12,31,5,5,18,7,6,9,15
"-401.392279835391 x -0.752539646090535",4,7,5,8,7,19,9,10,18,4,12,4,5,6,8,2,2,5,2,3,1,1,9,6,2,4,4,9,12,13,8,8,5,9,10,20,16,3,22,13,8,2,4,11,1,4,20,9,4,5,10,34,4,30,1,13,5,10,7,9,7,4,6,3,8,2,8,2,5,12,10,12,51,12,3,8,20,7,15,12,5,5,7,6,10,3,4,11,6,40,8,14,14,10,5,4,10,3,7,7,4,4,3,6,0,6,12,3,6,10,6,4,19,25,9,8,7,17,2,34,4,10,12,3,6,8,3,12,3,2,14,5,13,3,5,5,4,6,7,13
"-443.197135231317 x 210.21884341637",3,6,4,1,4,7,1,5,11,1,7,1,6,0,2,2,0,1,0,2,0,3,3,1,0,0,4,4,2,2,2,3,2,15,3,5,4,4,8,9,5,1,1,1,1,2,3,1,5,2,1,9,1,19,0,0,3,4,3,6,2,1,5,2,2,1,5,0,0,5,4,0,47,9,0,1,7,2,5,6,2,1,3,1,5,1,2,7,7,16,2,14,4,1,2,6,4,0,4,0,0,1,4,2,2,0,1,4,3,3,1,1,13,17,4,4,0,16,5,12,1,5,10,3,4,3,2,7,2,1,5,2,11,3,5,4,1,3,4,1
"-443.3294 x 176.970783333333",8,4,4,3,2,3,1,2,7,0,10,1,0,4,0,4,2,1,3,2,1,0,4,0,3,0,2,0,3,4,0,4,3,12,2,11,10,2,7,5,5,2,3,2,1,2,4,3,2,2,4,8,2,9,3,2,1,4,7,2,10,5,3,1,2,5,6,2,2,5,0,4,112,4,1,1,6,1,3,5,0,1,2,1,5,3,4,8,3,15,0,5,2,2,2,1,1,1,5,2,1,8,1,2,3,1,2,5,1,4,2,1,11,13,2,2,1,13,0,5,1,5,7,1,6,3,1,5,4,2,6,1,8,4,9,0,3,1,8,4
"-443.529412442396 x 111.122173963134",5,7,2,3,4,16,10,4,21,2,18,2,3,1,2,5,0,0,0,1,1,6,3,2,1,6,3,11,5,5,2,4,2,23,1,12,13,3,4,11,4,1,12,5,2,1,8,1,3,2,5,26,0,16,0,4,1,7,4,6,16,4,5,1,9,5,3,3,3,6,5,3,50,9,1,7,15,5,5,17,4,0,4,1,13,0,8,7,6,31,5,16,8,4,6,6,2,2,6,4,4,1,3,2,1,6,2,6,2,5,3,3,10,18,3,5,3,32,2,17,0,8,5,5,2,6,1,13,2,6,10,5,9,3,10,5,1,2,3,7
"-420.837807056722 x 143.920924519875",19,17,20,6,12,20,9,7,26,10,39,4,19,6,9,17,4,2,4,2,4,4,11,7,12,6,5,19,11,27,12,11,11,63,16,27,33,15,8,27,22,9,14,5,2,7,29,12,20,6,17,34,14,28,5,15,13,19,25,7,28,13,13,5,6,11,10,13,9,21,19,9,125,22,0,11,29,7,9,13,9,7,14,6,18,6,7,20,22,68,7,42,18,9,7,8,4,6,9,11,8,4,4,6,6,10,8,9,9,29,9,5,47,66,9,11,8,68,4,62,11,11,31,11,9,11,6,19,10,12,26,8,33,13,18,16,8,7,15,27
"-429.576684337349 x 245.770775903614",13,23,15,8,9,15,8,8,27,9,24,9,9,8,9,13,4,5,6,5,1,2,9,12,6,4,5,10,14,34,4,7,9,103,13,26,58,13,21,35,17,4,12,10,6,7,23,7,16,5,9,15,5,34,4,18,13,11,20,4,22,7,7,12,7,8,8,9,14,18,9,18,111,15,3,12,32,6,9,21,7,4,7,13,17,4,3,16,13,63,10,41,19,19,19,5,4,6,16,5,5,7,9,3,11,9,4,9,4,23,8,11,38,48,13,5,7,47,12,53,7,10,36,9,13,14,1,15,6,11,24,4,36,11,12,5,6,5,11,21
"-428.346580534022 x 216.301636520241",9,13,7,1,10,14,4,5,18,4,18,2,6,6,6,2,0,3,4,2,1,4,4,2,1,2,4,8,11,18,1,4,5,47,6,16,29,3,4,21,9,6,4,13,4,4,16,7,9,6,8,17,0,21,2,6,8,9,15,3,7,6,2,6,3,5,7,9,9,9,8,5,38,8,1,9,19,3,9,7,7,0,4,2,14,6,2,7,9,40,6,18,6,10,7,8,5,3,5,2,8,2,4,1,1,3,5,6,6,12,7,3,23,38,7,4,3,22,8,35,3,3,8,9,5,5,4,5,4,7,17,2,19,4,4,5,6,7,10,13
"-429.236339181287 x 186.610280701754",9,8,8,4,10,11,2,3,18,0,17,1,4,2,5,1,2,2,0,1,0,0,3,2,3,2,1,5,8,7,1,4,3,31,7,11,14,4,10,14,1,2,8,2,4,6,10,3,5,2,3,18,2,19,2,5,7,10,7,4,13,2,2,2,1,7,9,5,8,3,3,6,26,11,0,11,16,2,2,5,5,3,6,6,8,2,5,8,8,18,5,16,5,6,6,5,0,3,5,3,3,0,3,1,3,4,1,8,3,8,6,4,6,27,2,2,0,6,1,22,2,8,16,3,6,7,4,6,1,8,8,3,16,5,2,1,3,7,9,15
"-428.996946983546 x 160.142614259598",3,6,3,0,0,4,6,0,4,2,12,4,3,3,4,4,1,0,1,1,2,3,3,1,2,4,6,3,4,6,0,0,4,5,3,8,5,1,2,1,5,3,5,2,2,1,3,6,6,4,8,7,2,7,5,6,4,3,4,2,8,1,6,4,1,2,2,2,4,2,5,5,50,5,2,1,3,1,5,6,1,3,2,2,4,2,1,6,5,13,1,10,3,5,1,3,3,1,2,2,0,4,0,1,1,0,0,2,0,7,1,1,13,14,0,2,2,23,2,11,3,2,7,2,4,3,1,5,1,4,4,2,8,6,2,4,1,2,4,4
"-424.676109725685 x 113.527847049044",4,9,7,3,7,15,8,3,17,7,19,3,4,5,7,5,5,5,2,5,2,3,6,5,5,2,2,8,9,12,3,12,3,16,9,15,13,3,7,24,11,6,5,6,4,3,15,5,11,0,15,30,4,23,2,5,3,7,11,6,12,4,10,3,6,2,10,9,7,8,10,9,56,6,1,3,16,7,4,14,8,5,7,4,7,7,15,7,5,34,11,30,8,11,3,8,6,4,13,2,4,2,10,4,3,5,5,7,3,15,4,1,17,28,5,2,4,28,3,36,2,8,20,5,5,10,2,12,5,7,15,4,17,3,9,11,6,1,5,7
"-410.258017045454 x 297.442534090909",1,5,19,5,16,19,9,6,27,9,16,1,4,14,7,14,2,6,2,7,6,11,5,4,4,4,10,7,12,22,10,16,11,40,11,16,18,11,9,15,14,4,21,14,5,9,14,14,4,4,13,38,9,17,6,14,8,4,11,7,17,12,15,7,8,8,7,3,9,20,9,12,171,10,3,11,17,6,13,11,8,3,11,5,12,3,8,13,13,36,11,37,19,18,8,12,13,8,5,12,4,7,3,6,7,6,6,11,2,26,7,8,31,37,17,3,5,19,6,47,2,8,27,4,12,7,3,18,5,17,19,7,24,9,6,7,7,7,8,20
"-409.587375886525 x 169.499550827423",3,4,1,0,1,5,1,1,7,2,7,0,2,1,0,2,0,2,2,2,1,3,1,0,3,1,1,4,1,3,2,1,3,23,2,5,11,2,2,7,5,3,3,1,1,4,1,2,1,0,2,1,1,6,2,5,2,3,5,5,4,3,3,0,3,3,4,2,2,6,3,3,31,4,0,3,9,1,4,4,2,0,3,1,1,1,0,4,4,7,2,6,5,3,3,2,1,1,0,1,4,0,1,1,0,2,1,2,2,6,0,3,6,10,0,2,1,11,2,7,1,1,6,1,2,1,1,4,1,3,2,3,5,2,2,1,3,1,2,9
"-410.193641917294 x 269.87144736842",14,14,10,10,12,24,13,6,35,8,28,5,11,4,7,13,3,7,5,7,1,5,6,7,2,4,6,6,14,33,9,10,7,118,11,17,77,9,22,38,9,5,24,11,11,6,30,10,13,4,12,49,5,21,11,14,13,17,14,13,11,8,8,8,7,6,9,4,7,22,15,11,114,16,4,12,32,5,9,13,5,9,14,4,15,5,9,16,14,79,10,29,22,13,11,15,9,7,18,4,14,3,7,5,8,14,11,8,3,17,8,7,40,39,12,7,6,8,9,81,5,14,36,7,10,13,3,22,2,14,22,6,33,9,7,10,5,5,20,19
"-397.896637848223 x 185.950427473583",11,12,8,14,22,17,17,7,33,4,33,5,9,6,9,12,5,11,6,4,8,5,12,4,3,3,6,6,13,19,11,11,10,89,11,23,47,10,11,28,8,5,21,8,8,10,23,9,10,4,10,35,9,18,13,14,10,22,27,10,26,5,6,9,3,16,12,9,12,14,14,26,127,11,4,18,33,7,9,18,13,10,14,4,16,11,10,14,20,53,14,31,34,16,6,14,9,7,16,3,6,12,13,4,7,8,9,15,9,14,7,11,36,35,15,13,3,6,8,51,7,21,22,5,13,12,9,19,4,10,16,6,28,10,11,13,2,10,19,20
