,x,y,z,field,total_count
720,699,587,1,39,3662
721,743,668,1,39,3778
722,692,729,1,39,5536
725,704,415,2,39,5174
726,629,473,2,39,4692
727,476,590,2,39,4788
729,756,774,2,39,6341
730,593,806,2,39,3608
737,486,413,3,39,6706
738,743,574,3,39,4911
739,622,657,3,39,7882
744,656,602,6,39,8937
745,517,682,6,39,3247
746,524,756,6,39,1847
748,696,758,7,39,3690
749,411,550,8,39,5324
754,538,235,9,39,7249
755,627,241,9,39,10272
756,609,431,9,39,8592
757,481,243,10,39,3532
758,509,503,10,39,6635
759,800,786,10,39,6634
766,583,367,11,39,10948
767,409,476,11,39,6656
768,560,507,11,39,7862
769,457,512,11,39,4495
770,765,512,11,39,6464
771,479,533,11,39,2685
772,523,774,11,39,1968
773,653,792,11,39,2340
775,458,280,12,39,5986
776,672,324,12,39,4913
777,683,564,12,39,5618
778,518,616,12,39,6902
779,702,687,12,39,8584
784,559,287,13,39,9618
785,637,301,13,39,5771
786,705,319,13,39,4476
787,438,337,13,39,5961
788,677,384,13,39,8568
789,744,553,13,39,4442
790,404,651,13,39,6592
791,412,724,13,39,3013
797,439,381,15,39,5133
798,645,510,15,39,6233
799,512,650,15,39,3117
800,640,694,15,39,6691
801,603,722,15,39,6811
802,366,732,15,39,4716
805,462,748,16,39,4541
806,742,458,17,39,6764
807,406,505,17,39,3283
808,479,695,17,39,3992
809,733,790,17,39,5010
811,726,395,18,39,7758
812,644,648,18,39,5919
813,751,654,18,39,5225
814,441,696,18,39,2442
815,382,790,18,39,4162
817,786,490,19,39,7118
818,674,775,19,39,3851
819,702,531,20,39,4873
820,411,580,20,39,3800
821,731,606,21,39,4354
822,378,678,22,39,3310
