,x,y,z,field,total_count
1640,354,240,1,44,2614
1641,438,269,1,44,2065
1643,576,333,1,44,2474
1644,470,357,1,44,3058
1645,674,365,1,44,4251
1647,341,420,1,44,2513
1648,374,435,1,44,1898
1649,700,504,1,44,2210
1650,769,517,1,44,2129
1652,725,565,1,44,1896
1653,793,567,1,44,3131
1654,779,647,1,44,2278
1655,665,715,1,44,1300
1660,610,252,2,44,4032
1661,413,343,2,44,1946
1662,211,356,2,44,2662
1663,800,406,2,44,4323
1666,517,674,2,44,1586
1667,785,731,2,44,3656
1673,393,244,3,44,2736
1675,686,413,3,44,3977
1676,529,426,3,44,3721
1677,448,466,3,44,2441
1678,629,486,3,44,4167
1679,418,499,3,44,3408
1680,559,512,3,44,3621
1681,556,740,3,44,2785
1685,282,205,4,44,4412
1687,330,355,4,44,2558
1692,802,779,4,44,3780
1695,539,258,5,44,1777
1696,242,433,5,44,2962
1697,477,513,5,44,1958
1698,684,563,5,44,3691
1699,416,218,6,44,2962
1700,411,380,6,44,2753
1701,567,389,6,44,3006
1706,567,607,6,44,1398
1708,688,729,6,44,1657
1715,473,308,7,44,2943
1716,299,430,7,44,3547
1717,737,430,7,44,3377
1718,211,510,7,44,1660
1724,214,283,8,44,2646
1725,677,333,8,44,4413
1726,662,520,8,44,2866
1728,628,663,8,44,4443
1730,523,704,8,44,1876
1731,740,728,8,44,2226
1732,593,750,8,44,3305
1737,330,235,9,44,3407
1738,296,351,9,44,3788
1739,782,363,9,44,3604
1740,666,608,9,44,2973
1741,740,658,9,44,3827
1745,453,343,10,44,3267
1746,788,459,10,44,4074
1748,558,655,10,44,2240
1751,556,233,11,44,3076
1752,423,278,11,44,2352
1753,719,379,11,44,5787
1754,273,470,11,44,3531
1756,233,504,11,44,2215
1758,612,623,11,44,3969
1760,678,784,11,44,3903
1765,515,291,12,44,2102
1766,597,345,12,44,3989
1767,585,450,12,44,4806
1768,757,483,12,44,3080
1769,494,717,12,44,1631
1774,623,419,13,44,5794
1776,536,462,13,44,4445
1786,617,288,14,44,3584
1787,821,363,14,44,5599
1788,243,370,14,44,2160
1789,324,513,14,44,3097
1790,509,517,14,44,2100
1791,621,578,14,44,4676
1797,572,271,15,44,2545
1799,399,315,15,44,4867
1800,554,320,15,44,4271
1801,694,453,15,44,3941
1802,359,475,15,44,3802
1803,791,529,15,44,4087
1804,580,647,15,44,1435
1805,624,732,15,44,2019
1810,497,243,16,44,2861
1811,395,430,16,44,2216
1813,293,497,16,44,3859
1823,299,257,17,44,4822
1824,232,281,17,44,3520
1825,683,290,17,44,3329
1826,745,311,17,44,6028
1831,771,752,17,44,3226
1834,365,357,18,44,2797
1836,274,540,18,44,2029
1837,741,561,18,44,3005
1838,781,602,18,44,3509
1840,577,622,18,44,789
1841,580,679,18,44,3589
1842,568,800,18,44,3782
1849,629,315,19,44,2727
1850,297,396,19,44,2514
1852,545,514,19,44,1782
1853,709,515,19,44,1984
1854,682,644,19,44,2862
1855,541,714,19,44,2447
1857,357,222,20,44,2001
1858,407,359,20,44,1751
1860,745,512,20,44,1962
1863,669,264,21,44,5028
1865,539,391,21,44,3092
1866,483,436,21,44,4017
1868,243,520,21,44,1989
1869,791,644,21,44,2190
1870,683,686,21,44,2409
1871,713,718,21,44,2179
1872,647,749,21,44,2375
1873,709,778,21,44,3665
1878,499,306,22,44,1554
1879,733,437,22,44,1387
1882,676,598,22,44,1721
1885,628,252,23,44,4354
1886,443,392,23,44,2609
1887,373,499,23,44,1556
1888,518,742,23,44,1567
1893,468,273,24,44,3199
1894,724,598,24,44,1865
1895,523,679,24,44,1442
1898,719,397,25,44,1966
1899,462,499,25,44,1953
1900,639,820,25,44,2139
1901,750,710,26,44,2333
1902,423,251,27,44,1724
1904,343,501,28,44,1045
1908,615,787,28,44,2706
